url,Description,Colour,Rating,Price ,Offers
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,Sony Micro Vault USM16M1/W 16 GB Pen Drive,White,3.8,₹389\n₹455\n14% off,Combo Offer
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,HP 1 TB Wired External Hard Disk Drive,Grey,4.3,₹4299\n₹6449\n33% off,
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,Sony USM32GR/B 32 GB Pen Drive,Black,3.8,₹599\n₹750\n20% off,Combo Offer
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,SanDisk Cruzer Blade Pack of 2 16 GB Pen Drive,"Red, Black",4.2,₹699\n₹778\n10% off,Combo Offer
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,WD My Passport Ultra 1 TB Wired External Hard Disk Drive,Blue,4.4,₹4599\n₹6449\n28% off,
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,Sony USM32GR/W 32 GB Pen Drive,White,4,₹599\n₹750\n20% off,Combo Offer
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,Lenovo Slim 1 TB Wired External Hard Disk Drive,Black,4.2,₹3999\n₹5999\n33% off,
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,WD My Passport Ultra 1 TB Wired External Hard Disk Drive,Berry,4.3,₹4599\n₹6449\n28% off,
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,HP 15 inch Laptop Backpack,"Black, Blue",3.8,₹599\n₹1108\n45% off,Bank Offer
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,Philips SPA150/94 Laptop/Desktop Speaker,"Black, 2.1 Channel",3.5,₹1319\n₹1499\n12% off,
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,Toshiba TransMemory - U202 32 GB Pen Drive,White,4.2,₹560,Combo Offer
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,WD Elements 2.5 inch 2 TB External Hard Drive,Black,4.5,₹6799\n₹8550\n20% off,
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,HP V152W 16 GB Pen Drive,Blue,4.2,₹372\n₹450\n17% off,Combo Offer
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,Sandisk Cruzer Blade 32 GB,Multicolor,4.2,₹619\n₹650\n4% off,Combo Offer
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,SanDisk SDCZ50-064g-I35 /SDCZ50-064g-B35 64 GB Pen Drive,Black,4.1,₹899\n₹1300\n30% off,Combo Offer
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,Sennheiser CX 275s In-the-ear Headset,Black,4.3,₹1739\n₹2190\n20% off,
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,Strontium Ammo SR16GSLAMMO 16 GB Pen Drive,Silver,4.3,₹379\n₹999\n62% off,Combo Offer
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,HP V 215 B 32 GB USB Utility Pendrive,Multicolor,4.2,₹795\n₹925\n14% off,Combo Offer
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,KINGSTON DT106 16 GB Pen Drive,White,3.8,₹325\n₹375\n13% off,Combo Offer
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,Seagate Backup Plus Slim 1 TB Wired External Hard Disk Drive with...,"Black, Mobile Backup Enabled",4.4,₹4599\n₹6999\n34% off,
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,WD Elements 2.5 inch 1 TB External Hard Drive,Black,4.4,₹4399\n₹5500\n20% off,
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,Lenovo 500 Wireless Laptop Keyboard,Black,4.5,₹1599\n₹1899\n15% off,
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,Logitech B175 Wireless,USB,4.5,₹699\n₹949\n26% off,
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,Sandisk Cruzer Blade USB Utility Pendrive 8 GB,Multicolor,4.2,₹225\n₹289\n22% off,Combo Offer
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,HP V 215 B 16 GB Utility Pendrive,Multicolor,4.2,₹539\n₹550\n2% off,Combo Offer
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,Sandisk Cruzer Blade 16 GB Utility Pendrive,Multicolor,4.2,₹389,Combo Offer
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,Strontium Pollex 16 GB Pen Drive,Black,4.1,₹360\n₹599\n39% off,Combo Offer
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,SanDisk Ultra USB 3.0 32 GB Pen Drive,Black,4.4,₹799\n₹1299\n38% off,Combo Offer
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,Sony USM16GR/B 16 GB Pen Drive,Black,3.9,₹379\n₹425\n10% off,Combo Offer
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,Seagate Backup Plus Slim 1 TB Wired External Hard Disk Drive with...,"Blue, Mobile Backup Enabled",4.4,₹4599\n₹6999\n34% off,
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,WD My Passport Ultra 1 TB Wired External Hard Disk Drive,Black,4.3,₹4499\n₹6449\n30% off,
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,Portronics Quest Wireless Laser Mouse,"USB, Black",3.8,₹299\n₹349\n14% off,
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,SanDisk SDCZ48-064G-U46 64 GB Pen Drive,Black,4.2,₹1199\n₹1999\n40% off,Combo Offer
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,TacGears M18-Ebang Wireless Optical Mouse,"USB, Black",3.8,₹349\n₹699\n50% off,
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,TacGears WKBCB-2002 Wireless Laptop Keyboard,Black,4,₹1199\n₹1350\n11% off,
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,Seagate 2 TB Wired External Hard Disk Drive with 200 GB Cloud S...,"Black, Mobile Backup Enabled",4.2,₹7299\n₹11660\n37% off,
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,Lenovo F309 2 TB External Hard Disk Drive,Grey,4.2,₹6499\n₹7999\n18% off,
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,JBL C150SI Dynamic Wired Headphones,"Black, In the Ear",4.2,₹944\n₹1499\n37% off,Special Price
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,HP Classic Desktop LV290AA Wireless Multimedia Keyboard & Mouse C...,6,3.9,₹1399\n₹1848\n24% off,
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,Rapoo 1860 Wireless Keyboard & Mouse combo,Common Nano Receiver,4.2,₹999\n₹1450\n31% off,
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,WD My Passport Ultra 2 TB Wired External Hard Disk Drive,White,4.5,₹6999\n₹7900\n11% off,
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,WD My Passport Ultra 2 TB Wired External Hard Disk Drive,Black,4.5,₹6899\n₹7900\n12% off,
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,HP X3500 Wireless Comfort Mouse,USB,4.3,₹699\n₹888\n21% off,
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,Toshiba Hayabusa 16 GB Pen Drive,White,4,₹350,Combo Offer
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,Sony Micro Vault USM8M1/B 8 GB Pen Drive,Black,4,₹285\n₹305\n6% off,Combo Offer
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,Sony Micro Vault USM16GR 16 GB Pen Drive,White,3.9,₹379\n₹390\n2% off,Combo Offer
