Product ,Complete Description,,1uozlx images_alt,Product Description,Screen + Colour,Ratings,Number of Ratings,Number of Reviews,Brief Description,Complete Description,Price,,,,,,,,,,,,,,,,,,,,,/
https://www.flipkart.com/laptops/~exclusive-laptops/pr?sid=6bo%2Cb5g&p%5B%5D=facets.filter_standard%255B%255D%3D1&wid=pmuWidget6,"Add to Compare\nHP Core i3 - (4 GB/1 TB HDD/DOS) X5Q17PA 15-be005TU Notebook\n15.6 inch, Turbo SIlver, 2.19 kg\n3.9★\n3.9\n★\n1077 Ratings\n306 Reviews\n5\n★\n509\n4\n★\n275\n3\n★\n127\n2\n★\n40\n1\n★\n126\n1077 Ratings & 306 Reviews\nIntel Core i3 Processor ( 5th Gen )\n4 GB DDR3 RAM\nDOS Operating System\n1 TB HDD\n15.6 inch Display\n1 Year Onsite Warranty\n₹26990",,; https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/fa_8b4b59.png,HP Core i3 - (4 GB/1 TB HDD/DOS) X5Q17PA 15-be005TU Notebook,"15.6 inch, Turbo SIlver, 2.19 kg",3.9,1077,306 Reviews,https://www.flipkart.com/hp-core-i3-4-gb-1-tb-hdd-dos-x5q17pa-15-be005tu-notebook/p/itmehyh7rrrzhgch?pid=COMEHYH7UQQSG6WH&srno=b_1_1&otracker=browse&lid=LSTCOMEHYH7UQQSG6WH7YLVDA,Intel Core i3 Processor ( 5th Gen ); 4 GB DDR3 RAM; DOS Operating System; 1 TB HDD; 15.6 inch Display; 1 Year Onsite Warranty,26990,,,,,,,,,,,,,,,,,,,,,
https://www.flipkart.com/laptops/~exclusive-laptops/pr?sid=6bo%2Cb5g&p%5B%5D=facets.filter_standard%255B%255D%3D1&wid=pmuWidget6,"Add to Compare\nLenovo G50-80 Core i5 - (8 GB/1 TB HDD/DOS/2 GB Graphics) 80E503CMIH G50-80 Notebook\n15.6 inch, Black, 2.5 kg\n3.9★\n3.9\n★\n923 Ratings\n290 Reviews\n5\n★\n421\n4\n★\n268\n3\n★\n81\n2\n★\n32\n1\n★\n121\n923 Ratings & 290 Reviews\nIntel Core i5 Processor ( 5th Gen )\n8 GB DDR3 RAM\nDOS Operating System\n1 TB HDD\n15.6 inch Display\n1 Year Onsite Warranty\n₹38990\nOffers\nBuy More, Save More",,; https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/fa_8b4b59.png,Lenovo G50-80 Core i5 - (8 GB/1 TB HDD/DOS/2 GB Graphics) 80E503CMIH G50-80 Notebook,"15.6 inch, Black, 2.5 kg",3.9,923,290 Reviews,https://www.flipkart.com/lenovo-g50-80-core-i5-8-gb-1-tb-hdd-dos-2-gb-graphics-80e503cmih-notebook/p/itmegwzhnb7nwkgz?pid=COMEGWZKSHXREAHH&srno=b_1_2&otracker=browse&lid=LSTCOMEGWZKSHXREAHHM4LGRQ,Intel Core i5 Processor ( 5th Gen ); 8 GB DDR3 RAM; DOS Operating System; 1 TB HDD; 15.6 inch Display; 1 Year Onsite Warranty,38990,,,,,,,,,,,,,,,,,,,,,
https://www.flipkart.com/laptops/~exclusive-laptops/pr?sid=6bo%2Cb5g&p%5B%5D=facets.filter_standard%255B%255D%3D1&wid=pmuWidget6,"Add to Compare\nDell Inspiron Core i3 - (4 GB/500 GB HDD/Windows 10 Home) Z565104HIN9/Z565306HIN9 3558 Notebook\n15.6 inch, Black, 2.3 kg\n3.9★\n3.9\n★\n902 Ratings\n207 Reviews\n5\n★\n395\n4\n★\n276\n3\n★\n97\n2\n★\n39\n1\n★\n95\n902 Ratings & 207 Reviews\nIntel Core i3 Processor ( 5th Gen )\n4 GB DDR3 RAM\n64 bit Windows 10 Operating System\n500 GB HDD\n15.6 inch Display\n1 Year Warranty\n₹29990\nOffers\nBuy More, Save More",,; https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/fa_8b4b59.png,Dell Inspiron Core i3 - (4 GB/500 GB HDD/Windows 10 Home) Z565104HIN9/Z565306HIN9 3558 Notebook,"15.6 inch, Black, 2.3 kg",3.9,902,207 Reviews,https://www.flipkart.com/dell-inspiron-core-i3-4-gb-500-gb-hdd-windows-10-home-z565104hin9-z565306hin9-3558-notebook/p/itmej6whfhxtvkqs?pid=COMEJ6WHEFHSPCNU&srno=b_1_3&otracker=browse&lid=LSTCOMEJ6WHEFHSPCNUEN5YEG,Intel Core i3 Processor ( 5th Gen ); 4 GB DDR3 RAM; 64 bit Windows 10 Operating System; 500 GB HDD; 15.6 inch Display; 1 Year Warranty,29990,,,,,,,,,,,,,,,,,,,,,
https://www.flipkart.com/laptops/~exclusive-laptops/pr?sid=6bo%2Cb5g&p%5B%5D=facets.filter_standard%255B%255D%3D1&wid=pmuWidget6,"Add to Compare\nLenovo IdeaPad 100 Core i3 - (4 GB/500 GB HDD/Windows 10 Home) 80RK002UIH 100-14IBD Notebook\n14 inch, Black, 2.1 kg\n3.8★\n3.8\n★\n789 Ratings\n197 Reviews\n5\n★\n326\n4\n★\n232\n3\n★\n94\n2\n★\n41\n1\n★\n96\n789 Ratings & 197 Reviews\nIntel Core i3 Processor ( 5th Gen )\n4 GB DDR3 RAM\n64 bit Windows 10 Operating System\n500 GB HDD\n14 inch Display\n1 Year Onsite Warranty\n₹28990\nOffers\nBuy More, Save More",,; https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/fa_8b4b59.png,Lenovo IdeaPad 100 Core i3 - (4 GB/500 GB HDD/Windows 10 Home) 80RK002UIH 100-14IBD Notebook,"14 inch, Black, 2.1 kg",3.8,789,197 Reviews,https://www.flipkart.com/lenovo-ideapad-100-core-i3-4-gb-500-gb-hdd-windows-10-home-80rk002uih-100-14ibd-notebook/p/itmefqk9hf98zmgz?pid=COMEFQK9PPTWZVNJ&srno=b_1_4&otracker=browse&lid=LSTCOMEFQK9PPTWZVNJ54KH4H,Intel Core i3 Processor ( 5th Gen ); 4 GB DDR3 RAM; 64 bit Windows 10 Operating System; 500 GB HDD; 14 inch Display; 1 Year Onsite Warranty,28990,,,,,,,,,,,,,,,,,,,,,
https://www.flipkart.com/laptops/~exclusive-laptops/pr?sid=6bo%2Cb5g&p%5B%5D=facets.filter_standard%255B%255D%3D1&wid=pmuWidget6,"Add to Compare\nAcer ES 15 Core i3 - (4 GB/500 GB HDD/Linux) UN.GD0SI.001 ES1-572 Notebook\n15.6 inch, Black, 2.4 kg\n4.7★\n4.7\n★\n6 Ratings\n4 Reviews\n5\n★\n5\n4\n★\n0\n3\n★\n1\n2\n★\n0\n1\n★\n0\n6 Ratings & 4 Reviews\nIntel Core i3 Processor ( 6th Gen )\n4 GB DDR3 RAM\nLinux/Ubuntu Operating System\n500 GB HDD\n15.6 inch Display\n1 Year International Travelers Warranty (ITW)\n₹24990",,; https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/fa_8b4b59.png,Acer ES 15 Core i3 - (4 GB/500 GB HDD/Linux) UN.GD0SI.001 ES1-572 Notebook,"15.6 inch, Black, 2.4 kg",4.7,6,4 Reviews,https://www.flipkart.com/acer-es-15-core-i3-4-gb-500-gb-hdd-linux-un-gd0si-001-es1-572-notebook/p/itmene9hhk8wa5za?pid=COMENE9HNBXR3SN6&srno=b_1_5&otracker=browse&lid=LSTCOMENE9HNBXR3SN6SKB1WU,Intel Core i3 Processor ( 6th Gen ); 4 GB DDR3 RAM; Linux/Ubuntu Operating System; 500 GB HDD; 15.6 inch Display; 1 Year International Travelers Warranty (ITW),24990,,,,,,,,,,,,,,,,,,,,,
https://www.flipkart.com/laptops/~exclusive-laptops/pr?sid=6bo%2Cb5g&p%5B%5D=facets.filter_standard%255B%255D%3D1&wid=pmuWidget6,"Add to Compare\nLenovo Ideapad 100 APU Quad Core A6 - (4 GB/500 GB HDD/Windows 10 Home) 80TJ00D2IH IP110 Notebook\n15.6 inch, Black, 2.2 kg\n4.1★\n4.1\n★\n210 Ratings\n94 Reviews\n5\n★\n97\n4\n★\n76\n3\n★\n19\n2\n★\n3\n1\n★\n15\n210 Ratings & 94 Reviews\nAMD APU Quad Core A6 Processor ( )\n4 GB DDR3 RAM\n64 bit Windows 10 Operating System\n500 GB HDD\n15.6 inch Display\n1 Year Onsite Warranty\n₹19990\nOffers\nBuy More, Save More",,; https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/fa_8b4b59.png,Lenovo Ideapad 100 APU Quad Core A6 - (4 GB/500 GB HDD/Windows 10 Home) 80TJ00D2IH IP110 Notebook,"15.6 inch, Black, 2.2 kg",4.1,210,94 Reviews,https://www.flipkart.com/lenovo-ideapad-100-apu-quad-core-a6-4-gb-500-gb-hdd-windows-10-home-80tj00d2ih-ip110-notebook/p/itmehdygszkm88cg?pid=COMEHDYGJFRJM3SU&srno=b_1_6&otracker=browse&lid=LSTCOMEHDYGJFRJM3SUSCH85M,AMD APU Quad Core A6 Processor ( ); 4 GB DDR3 RAM; 64 bit Windows 10 Operating System; 500 GB HDD; 15.6 inch Display; 1 Year Onsite Warranty,19990,,,,,,,,,,,,,,,,,,,,,
https://www.flipkart.com/laptops/~exclusive-laptops/pr?sid=6bo%2Cb5g&p%5B%5D=facets.filter_standard%255B%255D%3D1&wid=pmuWidget6,"Add to Compare\nHP Core i5 - (4 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) N8M28PA 15-ac123tx Notebook\n15.6 inch, Turbo SIlver, 2.19 kg\n4★\n4\n★\n1058 Ratings\n245 Reviews\n5\n★\n504\n4\n★\n334\n3\n★\n92\n2\n★\n24\n1\n★\n104\n1058 Ratings & 245 Reviews\nIntel Core i5 Processor ( 5th Gen )\n4 GB DDR3 RAM\n64 bit Windows 10 Operating System\n1 TB HDD\n15.6 inch Display\n1 Year Onsite Warranty\n₹42990",,; https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/fa_8b4b59.png,HP Core i5 - (4 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) N8M28PA 15-ac123tx Notebook,"15.6 inch, Turbo SIlver, 2.19 kg",4,1058,245 Reviews,https://www.flipkart.com/hp-core-i5-4-gb-1-tb-hdd-windows-10-home-2-gb-graphics-n8m28pa-15-ac123tx-notebook/p/itmeaz94ppsxf3t8?pid=COMEAZ94GT9UZYGG&srno=b_1_7&otracker=browse&lid=LSTCOMEAZ94GT9UZYGGLIORBH,Intel Core i5 Processor ( 5th Gen ); 4 GB DDR3 RAM; 64 bit Windows 10 Operating System; 1 TB HDD; 15.6 inch Display; 1 Year Onsite Warranty,42990,,,,,,,,,,,,,,,,,,,,,
https://www.flipkart.com/laptops/~exclusive-laptops/pr?sid=6bo%2Cb5g&p%5B%5D=facets.filter_standard%255B%255D%3D1&wid=pmuWidget6,"Add to Compare\nMicromax Ignite Pentium Quad Core - (4 GB/1 TB HDD/Windows 10 Home) LPQ61408W LPQ61 Notebook\n14 inch, Black\n3.6★\n3.6\n★\n267 Ratings\n98 Reviews\n5\n★\n103\n4\n★\n72\n3\n★\n27\n2\n★\n15\n1\n★\n50\n267 Ratings & 98 Reviews\nIntel Pentium Quad Core Processor ( )\n4 GB DDR3 RAM\n64 bit Windows 10 Operating System\n1 TB HDD\n14 inch Display\n1 Year Warranty\n₹16990\n₹19490\n12% off\nOffers\nSpecial Price",,; https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/fa_8b4b59.png,Micromax Ignite Pentium Quad Core - (4 GB/1 TB HDD/Windows 10 Home) LPQ61408W LPQ61 Notebook,"14 inch, Black",3.6,267,98 Reviews,https://www.flipkart.com/micromax-ignite-pentium-quad-core-4-gb-1-tb-hdd-windows-10-home-lpq61408w-lpq61-notebook/p/itmekd2vx8ggmyma?pid=COMEKD2VHDMKX4HM&srno=b_1_8&otracker=browse&lid=LSTCOMEKD2VHDMKX4HMCYQL01,Intel Pentium Quad Core Processor ( ); 4 GB DDR3 RAM; 64 bit Windows 10 Operating System; 1 TB HDD; 14 inch Display; 1 Year Warranty,16990,,,,,,,,,,,,,,,,,,,,,
https://www.flipkart.com/laptops/~exclusive-laptops/pr?sid=6bo%2Cb5g&p%5B%5D=facets.filter_standard%255B%255D%3D1&wid=pmuWidget6,"Add to Compare\nLenovo G50-80 Core i5 - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) 80E5038PIN G50-80 Notebook\n15.6 inch, Black, 2.5 kg\n4.1★\n4.1\n★\n784 Ratings\n208 Reviews\n5\n★\n393\n4\n★\n229\n3\n★\n64\n2\n★\n25\n1\n★\n73\n784 Ratings & 208 Reviews\nIntel Core i5 Processor ( 5th Gen )\n8 GB DDR3 RAM\n64 bit Windows 10 Operating System\n1 TB HDD\n15.6 inch Display\n1 Year Onsite Warranty\n₹44990\nOffers\nBuy More, Save More",,; https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/fa_8b4b59.png,Lenovo G50-80 Core i5 - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) 80E5038PIN G50-80 Notebook,"15.6 inch, Black, 2.5 kg",4.1,784,208 Reviews,https://www.flipkart.com/lenovo-g50-80-core-i5-8-gb-1-tb-hdd-windows-10-home-2-gb-graphics-80e5038pin-notebook/p/itmebh7v5c2fsjby?pid=COMEBH7VFP2HFXGU&srno=b_1_9&otracker=browse&lid=LSTCOMEBH7VFP2HFXGUQPLYED,Intel Core i5 Processor ( 5th Gen ); 8 GB DDR3 RAM; 64 bit Windows 10 Operating System; 1 TB HDD; 15.6 inch Display; 1 Year Onsite Warranty,44990,,,,,,,,,,,,,,,,,,,,,
https://www.flipkart.com/laptops/~exclusive-laptops/pr?sid=6bo%2Cb5g&p%5B%5D=facets.filter_standard%255B%255D%3D1&wid=pmuWidget6,"Add to Compare\nAsus APU Quad Core A8 - (4 GB/1 TB HDD/DOS) 90NB0CN1-M01550 X540YA-XO106 Notebook\n15.6 inch, Black, 2 kg\n3.9★\n3.9\n★\n99 Ratings\n36 Reviews\n5\n★\n50\n4\n★\n24\n3\n★\n8\n2\n★\n4\n1\n★\n13\n99 Ratings & 36 Reviews\nAMD APU Quad Core A8 Processor ( )\n4 GB RAM\nDOS Operating System\n1 TB HDD\n15.6 inch Display\n1 Year Onsite Warranty\n₹21990",,; https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/fa_8b4b59.png,Asus APU Quad Core A8 - (4 GB/1 TB HDD/DOS) 90NB0CN1-M01550 X540YA-XO106 Notebook,"15.6 inch, Black, 2 kg",3.9,99,36 Reviews,https://www.flipkart.com/asus-apu-quad-core-a8-4-gb-1-tb-hdd-dos-90nb0cn1-m01550-x540ya-xo106-notebook/p/itmekzh46uytup3f?pid=COMEKZH4MHCVWZAZ&srno=b_1_10&otracker=browse&lid=LSTCOMEKZH4MHCVWZAZM6TE9T,AMD APU Quad Core A8 Processor ( ); 4 GB RAM; DOS Operating System; 1 TB HDD; 15.6 inch Display; 1 Year Onsite Warranty,21990,,,,,,,,,,,,,,,,,,,,,
