url,Images,Item Description_link,Number of Ratings,Memory,Display,Camera,Battery,Processor,Warranty,Price
"https://www.flipkart.com/mobiles/~mobileexclusives/pr?sid=tyy,4io&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles",https://rukminim1.flixcart.com/image/312/312/mobile/d/f/w/motorola-moto-e3-power-pa4c0009in-original-imaemj7xpcfhnu8r.jpeg?q=70,"Moto E3 Power (Black, 16 GB)",57501 Ratings,2 GB RAM | 16 GB ROM | Expandable Upto 32 GB,5 inch HD Display,8MP Primary Camera | 5MP Front,3500 mAh Battery,MT6735p 64-bit Processor,1 Year Manufacturer Warranty,₹7000
"https://www.flipkart.com/mobiles/~mobileexclusives/pr?sid=tyy,4io&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles",https://rukminim1.flixcart.com/image/312/312/mobile/u/3/u/asus-ze551ml-ze551ml-6j333ww-original-imae6kggzusrx2cw.jpeg?q=70,"Asus Zenfone 2 (Silver, 32 GB)",4722 Ratings,4 GB RAM | 32 GB ROM | Expandable Upto 64 GB,5.5 inch Full HD Display,13MP Primary Camera | 5MP Front,3000 mAh Li-Polymer Battery,Intel Atom Z3560 Processor,1 Year for Mobile & 6 Months for Accessories,₹12000
"https://www.flipkart.com/mobiles/~mobileexclusives/pr?sid=tyy,4io&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles",https://rukminim1.flixcart.com/image/312/312/mobile/c/t/f/lenovo-k5-plus-3gb-a6020a46-original-imaekefcwbt7qdue.jpeg?q=70,"Lenovo Vibe K5 Plus 3 GB (Gold, 16 GB)",28987 Ratings,3 GB RAM | 16 GB ROM | Expandable Upto 128 GB,5 inch Full HD Display,13MP Primary Camera | 5MP Front,2750 mAh Li-Ion Polymer Battery,Qualcomm Snapdragon 616 Processor,1 Year Manufacturer Warranty,₹7000
"https://www.flipkart.com/mobiles/~mobileexclusives/pr?sid=tyy,4io&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles",https://rukminim1.flixcart.com/image/312/312/mobile/r/3/q/samsung-galaxy-on7-sm-g600f-original-imaecqkgzeuz9ebn.jpeg?q=70,"SAMSUNG Galaxy On5 (Gold, 8 GB)",26267 Ratings,1.5 GB RAM | 8 GB ROM | Expandable Upto 128 GB,5 inch HD Display,8MP Primary Camera | 5MP Front,2600 mAh Li-Ion Battery,Exynos 3475 Processor,1 Year for Mobile & 6 Months for Accessories,₹7000
"https://www.flipkart.com/mobiles/~mobileexclusives/pr?sid=tyy,4io&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles",https://rukminim1.flixcart.com/image/312/312/mobile/c/n/y/samsung-galaxy-on7-sm-g600f-original-imaecqkgfgtmaw2y.jpeg?q=70,"SAMSUNG Galaxy On7 (Black, 8 GB)",39606 Ratings,1.5 GB RAM | 8 GB ROM | Expandable Upto 128 GB,5.5 inch HD Display,13MP Primary Camera | 5MP Front,3000 mAh Li-Ion Battery,Qualcomm Snapdragon 410 Processor,1 Year Manufacturer Warranty,₹8000
"https://www.flipkart.com/mobiles/~mobileexclusives/pr?sid=tyy,4io&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles",https://rukminim1.flixcart.com/image/312/312/mobile/m/b/8/xolo-era-1x-na-original-imaemhmfvzw95fmg.jpeg?q=70,"XOLO ERA 1X -4G with VoLTE (Black and Gun Metal, 8 GB)",2577 Ratings,1 GB RAM | 8 GB ROM | Expandable Upto 32 GB,5 inch HD Display,8MP Primary Camera | 5MP Front,2500 mAh Li-Polymer Battery,SC9832A Processor,1 Year Manufacturer Warranty,₹3500
"https://www.flipkart.com/mobiles/~mobileexclusives/pr?sid=tyy,4io&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles",https://rukminim1.flixcart.com/image/312/312/mobile/2/e/2/leeco-le-2-le-x526-original-imaejgugzr8p4cgn.jpeg?q=70,"LeEco Le 2 (Rose Gold, 32 GB)",55024 Ratings,3 GB RAM | 32 GB ROM |,5.5 inch Full HD Display,16MP Primary Camera | 8MP Front,3000 mAh Li-Ion Polymer Battery,Qualcomm MSM8976 Snapdragon 652 Processor,1 Year Manufacturer Warranty,₹10000
"https://www.flipkart.com/mobiles/~mobileexclusives/pr?sid=tyy,4io&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles",https://rukminim1.flixcart.com/image/312/312/mobile/c/n/y/samsung-galaxy-on7-sm-g600f-original-imaecqkgfgtmaw2y.jpeg?q=70,"SAMSUNG Galaxy On5 (Black, 8 GB)",26267 Ratings,1.5 GB RAM | 8 GB ROM | Expandable Upto 128 GB,5 inch HD Display,8MP Primary Camera | 5MP Front,2600 mAh Li-Ion Battery,Exynos 3475 Processor,1 Year Manufacturer Warranty,₹7000
"https://www.flipkart.com/mobiles/~mobileexclusives/pr?sid=tyy,4io&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles",https://rukminim1.flixcart.com/image/312/312/mobile/g/t/g/intex-cloud-string-v2-na-original-imaekzjvvkdazchk.jpeg?q=70,"Intex Cloud String v2.0 (Silver, 16 GB)",1888 Ratings,2 GB RAM | 16 GB ROM | Expandable Upto 32 GB,5 inch HD Display,8MP Primary Camera | 5MP Front,2200 mAh Battery,SC9832A Cortex-A7 Processor Processor,1 Year Manufacturer Warranty,₹5000
"https://www.flipkart.com/mobiles/~mobileexclusives/pr?sid=tyy,4io&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles",https://rukminim1.flixcart.com/image/312/312/mobile/3/y/g/intex-cloud-string-hd-na-original-imaehy8seezamzkk.jpeg?q=70,"Intex Cloud String HD (Black, 8 GB)",864 Ratings,1 GB RAM | 8 GB ROM | Expandable Upto 32 GB,5 inch HD Display,8MP Primary Camera | 5MP Front,2200 mAh Li-Polymer Battery,SC9832A Cortex-A7 Processor,1 Year Manufacturer Warranty,₹3500
