url,Product link,Product link_link,Thumb image,Thumb image_alt,Thumb image_link,Brand value,Brand value_link,Product value,Product value_link,Strike value,Strike value_link,Price value,Price value_link,Discount value,Discount value_link,Sizes value,Sizes value_link,Selectasize value
http://www.myntra.com/bedsheets,"Portico New York\nHot Wheels Boys Blue Cotton Double Bedsheet with 2 Pillow Covers\nRs. 2,999Rs. 1,499(50% off)\nSizes: Double",http://www.myntra.com/bedsheets/portico-new-york/portico-new-york-hot-wheels-boys-blue-cotton-double-bedsheet-with-2-pillow-covers/1255917/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1255917/2016/3/30/11459332481822-Portico-New-York-Boys-Bedsheets-3791459332480147-1_mini.jpg",Portico New York Hot Wheels Boys Blue Cotton Double Bedsheet with 2 Pillow Covers,http://www.myntra.com/bedsheets/portico-new-york/portico-new-york-hot-wheels-boys-blue-cotton-double-bedsheet-with-2-pillow-covers/1255917/buy?src=search,Portico New York,http://www.myntra.com/bedsheets/portico-new-york/portico-new-york-hot-wheels-boys-blue-cotton-double-bedsheet-with-2-pillow-covers/1255917/buy?src=search,Hot Wheels Boys Blue Cotton Double Bedsheet with 2 Pillow Covers,http://www.myntra.com/bedsheets/portico-new-york/portico-new-york-hot-wheels-boys-blue-cotton-double-bedsheet-with-2-pillow-covers/1255917/buy?src=search,"Rs. 2,999",http://www.myntra.com/bedsheets/portico-new-york/portico-new-york-hot-wheels-boys-blue-cotton-double-bedsheet-with-2-pillow-covers/1255917/buy?src=search,"Rs. 1,499",http://www.myntra.com/bedsheets/portico-new-york/portico-new-york-hot-wheels-boys-blue-cotton-double-bedsheet-with-2-pillow-covers/1255917/buy?src=search,(50% off),http://www.myntra.com/bedsheets/portico-new-york/portico-new-york-hot-wheels-boys-blue-cotton-double-bedsheet-with-2-pillow-covers/1255917/buy?src=search,Sizes: Double,http://www.myntra.com/bedsheets/portico-new-york/portico-new-york-hot-wheels-boys-blue-cotton-double-bedsheet-with-2-pillow-covers/1255917/buy?src=search,Double
http://www.myntra.com/bedsheets,"SEJ by Nisha Gupta\nGreen Cotton Double Bedsheet with 2 Pillow Covers\nRs. 1,099Rs. 659(40% off)\nSizes: Double",http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-green-cotton-double-bedsheet-with-2-pillow-covers/1300105/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1300105/2016/4/20/11461138955493-SEJ-by-Nisha-Gupta-Unisex-Bedsheets-3671461138954904-1_mini.jpg",SEJ by Nisha Gupta Green Cotton Double Bedsheet with 2 Pillow Covers,http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-green-cotton-double-bedsheet-with-2-pillow-covers/1300105/buy?src=search,SEJ by Nisha Gupta,http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-green-cotton-double-bedsheet-with-2-pillow-covers/1300105/buy?src=search,Green Cotton Double Bedsheet with 2 Pillow Covers,http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-green-cotton-double-bedsheet-with-2-pillow-covers/1300105/buy?src=search,"Rs. 1,099",http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-green-cotton-double-bedsheet-with-2-pillow-covers/1300105/buy?src=search,Rs. 659,http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-green-cotton-double-bedsheet-with-2-pillow-covers/1300105/buy?src=search,(40% off),http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-green-cotton-double-bedsheet-with-2-pillow-covers/1300105/buy?src=search,Sizes: Double,http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-green-cotton-double-bedsheet-with-2-pillow-covers/1300105/buy?src=search,Double
http://www.myntra.com/bedsheets,"SEJ by Nisha Gupta\nMulticoloured Cotton Double Bedsheet with 2 Pillow Covers\nRs. 1,199Rs. 719(40% off)\nSizes: Double",http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-cotton-double-bedsheet-with-2-pillow-covers/1300107/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1300107/2016/4/20/11461139279780-SEJ-by-Nisha-Gupta-Unisex-Bedsheets-811461139279271-1_mini.jpg",SEJ by Nisha Gupta Multicoloured Cotton Double Bedsheet with 2 Pillow Covers,http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-cotton-double-bedsheet-with-2-pillow-covers/1300107/buy?src=search,SEJ by Nisha Gupta,http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-cotton-double-bedsheet-with-2-pillow-covers/1300107/buy?src=search,Multicoloured Cotton Double Bedsheet with 2 Pillow Covers,http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-cotton-double-bedsheet-with-2-pillow-covers/1300107/buy?src=search,"Rs. 1,199",http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-cotton-double-bedsheet-with-2-pillow-covers/1300107/buy?src=search,Rs. 719,http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-cotton-double-bedsheet-with-2-pillow-covers/1300107/buy?src=search,(40% off),http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-cotton-double-bedsheet-with-2-pillow-covers/1300107/buy?src=search,Sizes: Double,http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-cotton-double-bedsheet-with-2-pillow-covers/1300107/buy?src=search,Double
http://www.myntra.com/bedsheets,"SEJ by Nisha Gupta\nWhite Cotton Double Bedsheet with 2 Pillow Covers\nRs. 1,199Rs. 719(40% off)\nSizes: Double",http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-white-cotton-double-bedsheet-with-2-pillow-covers/1300109/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1300109/2016/4/19/11461058094853-SEJ-by-Nisha-Gupta-Unisex-Bedsheets-9521461058093992-1_mini.jpg",SEJ by Nisha Gupta White Cotton Double Bedsheet with 2 Pillow Covers,http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-white-cotton-double-bedsheet-with-2-pillow-covers/1300109/buy?src=search,SEJ by Nisha Gupta,http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-white-cotton-double-bedsheet-with-2-pillow-covers/1300109/buy?src=search,White Cotton Double Bedsheet with 2 Pillow Covers,http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-white-cotton-double-bedsheet-with-2-pillow-covers/1300109/buy?src=search,"Rs. 1,199",http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-white-cotton-double-bedsheet-with-2-pillow-covers/1300109/buy?src=search,Rs. 719,http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-white-cotton-double-bedsheet-with-2-pillow-covers/1300109/buy?src=search,(40% off),http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-white-cotton-double-bedsheet-with-2-pillow-covers/1300109/buy?src=search,Sizes: Double,http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-white-cotton-double-bedsheet-with-2-pillow-covers/1300109/buy?src=search,Double
http://www.myntra.com/bedsheets,"SEJ by Nisha Gupta\nWhite 160 TC Cotton Double Bedsheet with 2 Pillow Covers\nRs. 1,099Rs. 659(40% off)\nSizes: Double",http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-white-160-tc-cotton-double-bedsheet-with-2-pillow-covers/1372819/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1372819/2016/6/13/11465810731688-SEJ-by-Nisha-Gupta-White-160-TC-Cotton-Double-Bedsheet-with-2-Pillow-Covers-7931465810731488-1_mini.jpg",SEJ by Nisha Gupta White 160 TC Cotton Double Bedsheet with 2 Pillow Covers,http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-white-160-tc-cotton-double-bedsheet-with-2-pillow-covers/1372819/buy?src=search,SEJ by Nisha Gupta,http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-white-160-tc-cotton-double-bedsheet-with-2-pillow-covers/1372819/buy?src=search,White 160 TC Cotton Double Bedsheet with 2 Pillow Covers,http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-white-160-tc-cotton-double-bedsheet-with-2-pillow-covers/1372819/buy?src=search,"Rs. 1,099",http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-white-160-tc-cotton-double-bedsheet-with-2-pillow-covers/1372819/buy?src=search,Rs. 659,http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-white-160-tc-cotton-double-bedsheet-with-2-pillow-covers/1372819/buy?src=search,(40% off),http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-white-160-tc-cotton-double-bedsheet-with-2-pillow-covers/1372819/buy?src=search,Sizes: Double,http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-white-160-tc-cotton-double-bedsheet-with-2-pillow-covers/1372819/buy?src=search,Double
http://www.myntra.com/bedsheets,"SEJ by Nisha Gupta\nSEJ by Nisha Gupta Cream-Coloured 240 TC Cotton Double Bedsheet with 2 Pillow Covers\nRs. 1,499Rs. 899(40% off)\nSizes: Double",http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta--cream-coloured-240-tc-cotton-double-bedsheet-with-2-pillow-covers/1411059/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1411059/2016/6/27/11467017369723-SEJ-by-Nisha-Gupta-Vream-Coloured-240-TC-Cotton-Double-Bedsheet-with-2-Pillow-Covers-8261467017369577-1_mini.jpg",SEJ by Nisha Gupta Cream-Coloured 240 TC Cotton Double Bedsheet with 2 Pillow Covers,http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta--cream-coloured-240-tc-cotton-double-bedsheet-with-2-pillow-covers/1411059/buy?src=search,SEJ by Nisha Gupta,http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta--cream-coloured-240-tc-cotton-double-bedsheet-with-2-pillow-covers/1411059/buy?src=search,SEJ by Nisha Gupta Cream-Coloured 240 TC Cotton Double Bedsheet with 2 Pillow Covers,http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta--cream-coloured-240-tc-cotton-double-bedsheet-with-2-pillow-covers/1411059/buy?src=search,"Rs. 1,499",http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta--cream-coloured-240-tc-cotton-double-bedsheet-with-2-pillow-covers/1411059/buy?src=search,Rs. 899,http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta--cream-coloured-240-tc-cotton-double-bedsheet-with-2-pillow-covers/1411059/buy?src=search,(40% off),http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta--cream-coloured-240-tc-cotton-double-bedsheet-with-2-pillow-covers/1411059/buy?src=search,Sizes: Double,http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta--cream-coloured-240-tc-cotton-double-bedsheet-with-2-pillow-covers/1411059/buy?src=search,Double
http://www.myntra.com/bedsheets,"SEJ by Nisha Gupta\nWhite 160 TC Cotton Double Bedsheet with 2 Pillow Covers\nRs. 1,099Rs. 659(40% off)\nSizes: Double",http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-white-160-tc-cotton-double-bedsheet-with-2-pillow-covers/1372817/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1372817/2016/6/13/11465810724197-SEJ-by-Nisha-Gupta-White-160-TC-Cotton-Double-Bedsheet-with-2-Pillow-Covers-341465810724035-1_mini.jpg",SEJ by Nisha Gupta White 160 TC Cotton Double Bedsheet with 2 Pillow Covers,http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-white-160-tc-cotton-double-bedsheet-with-2-pillow-covers/1372817/buy?src=search,SEJ by Nisha Gupta,http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-white-160-tc-cotton-double-bedsheet-with-2-pillow-covers/1372817/buy?src=search,White 160 TC Cotton Double Bedsheet with 2 Pillow Covers,http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-white-160-tc-cotton-double-bedsheet-with-2-pillow-covers/1372817/buy?src=search,"Rs. 1,099",http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-white-160-tc-cotton-double-bedsheet-with-2-pillow-covers/1372817/buy?src=search,Rs. 659,http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-white-160-tc-cotton-double-bedsheet-with-2-pillow-covers/1372817/buy?src=search,(40% off),http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-white-160-tc-cotton-double-bedsheet-with-2-pillow-covers/1372817/buy?src=search,Sizes: Double,http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-white-160-tc-cotton-double-bedsheet-with-2-pillow-covers/1372817/buy?src=search,Double
http://www.myntra.com/bedsheets,"SEJ by Nisha Gupta\nPink 350 TC Cotton Double Bedsheet with 2 Pillow Covers\nRs. 2,299Rs. 1,379(40% off)\nSizes: Double",http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-pink-350-tc-cotton-double-bedsheet-with-2-pillow-covers/1300136/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1300136/2016/5/5/11462430802754-SEJ-by-Nisha-Gupta-Pink-350-TC-Cotton-Double-Bedsheet-with-2-Pillow-Covers-6381462430802554-1_mini.jpg",SEJ by Nisha Gupta Pink 350 TC Cotton Double Bedsheet with 2 Pillow Covers,http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-pink-350-tc-cotton-double-bedsheet-with-2-pillow-covers/1300136/buy?src=search,SEJ by Nisha Gupta,http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-pink-350-tc-cotton-double-bedsheet-with-2-pillow-covers/1300136/buy?src=search,Pink 350 TC Cotton Double Bedsheet with 2 Pillow Covers,http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-pink-350-tc-cotton-double-bedsheet-with-2-pillow-covers/1300136/buy?src=search,"Rs. 2,299",http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-pink-350-tc-cotton-double-bedsheet-with-2-pillow-covers/1300136/buy?src=search,"Rs. 1,379",http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-pink-350-tc-cotton-double-bedsheet-with-2-pillow-covers/1300136/buy?src=search,(40% off),http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-pink-350-tc-cotton-double-bedsheet-with-2-pillow-covers/1300136/buy?src=search,Sizes: Double,http://www.myntra.com/bedsheets/sej-by-nisha-gupta/sej-by-nisha-gupta-pink-350-tc-cotton-double-bedsheet-with-2-pillow-covers/1300136/buy?src=search,Double
http://www.myntra.com/bedsheets,"Portico New York\nRed 210 TC Cotton Fine Single Bedsheet with 1 Pillow Cover\nRs. 1,999Rs. 999(50% off)\nSizes: SINGLE",http://www.myntra.com/bedsheets/portico-new-york/portico-new-york-red-210-tc-cotton-fine-single-bedsheet-with-1-pillow-cover/1256027/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1256027/2016/3/28/11459165525186-Portico-New-York-Red-210-TC-Cotton-Fine-Single-Bedsheet-with-1-Pillow-Cover-3841459165524514-1_mini.jpg",Portico New York Red 210 TC Cotton Fine Single Bedsheet with 1 Pillow Cover,http://www.myntra.com/bedsheets/portico-new-york/portico-new-york-red-210-tc-cotton-fine-single-bedsheet-with-1-pillow-cover/1256027/buy?src=search,Portico New York,http://www.myntra.com/bedsheets/portico-new-york/portico-new-york-red-210-tc-cotton-fine-single-bedsheet-with-1-pillow-cover/1256027/buy?src=search,Red 210 TC Cotton Fine Single Bedsheet with 1 Pillow Cover,http://www.myntra.com/bedsheets/portico-new-york/portico-new-york-red-210-tc-cotton-fine-single-bedsheet-with-1-pillow-cover/1256027/buy?src=search,"Rs. 1,999",http://www.myntra.com/bedsheets/portico-new-york/portico-new-york-red-210-tc-cotton-fine-single-bedsheet-with-1-pillow-cover/1256027/buy?src=search,Rs. 999,http://www.myntra.com/bedsheets/portico-new-york/portico-new-york-red-210-tc-cotton-fine-single-bedsheet-with-1-pillow-cover/1256027/buy?src=search,(50% off),http://www.myntra.com/bedsheets/portico-new-york/portico-new-york-red-210-tc-cotton-fine-single-bedsheet-with-1-pillow-cover/1256027/buy?src=search,Sizes: SINGLE,http://www.myntra.com/bedsheets/portico-new-york/portico-new-york-red-210-tc-cotton-fine-single-bedsheet-with-1-pillow-cover/1256027/buy?src=search,SINGLE
http://www.myntra.com/bedsheets,"WELHOME\nSnapshot Blue 104 TC Cotton Double Bedsheet with 2 Pillow Covers\nRs. 1,199Rs. 779(35% off)\nSizes: Double",http://www.myntra.com/bedsheets/welhome/welhome-snapshot-blue-104-tc-cotton-double-bedsheet-with-2-pillow-covers/1449410/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1449410/2016/8/12/11470998304532-WELHOME-Unisex-Bedsheets-3511470998304289-1_mini.jpg",WELHOME Snapshot Blue 104 TC Cotton Double Bedsheet with 2 Pillow Covers,http://www.myntra.com/bedsheets/welhome/welhome-snapshot-blue-104-tc-cotton-double-bedsheet-with-2-pillow-covers/1449410/buy?src=search,WELHOME,http://www.myntra.com/bedsheets/welhome/welhome-snapshot-blue-104-tc-cotton-double-bedsheet-with-2-pillow-covers/1449410/buy?src=search,Snapshot Blue 104 TC Cotton Double Bedsheet with 2 Pillow Covers,http://www.myntra.com/bedsheets/welhome/welhome-snapshot-blue-104-tc-cotton-double-bedsheet-with-2-pillow-covers/1449410/buy?src=search,"Rs. 1,199",http://www.myntra.com/bedsheets/welhome/welhome-snapshot-blue-104-tc-cotton-double-bedsheet-with-2-pillow-covers/1449410/buy?src=search,Rs. 779,http://www.myntra.com/bedsheets/welhome/welhome-snapshot-blue-104-tc-cotton-double-bedsheet-with-2-pillow-covers/1449410/buy?src=search,(35% off),http://www.myntra.com/bedsheets/welhome/welhome-snapshot-blue-104-tc-cotton-double-bedsheet-with-2-pillow-covers/1449410/buy?src=search,Sizes: Double,http://www.myntra.com/bedsheets/welhome/welhome-snapshot-blue-104-tc-cotton-double-bedsheet-with-2-pillow-covers/1449410/buy?src=search,Double
