url,Product link,Product link_link,Thumb image,Thumb image_alt,Thumb image_link,Brand value,Brand value_link,Product value,Product value_link,Strike value,Strike value_link,Price value,Price value_link,Discount value,Discount value_link,Sizes value,Sizes value_link,Selectasize value
http://www.myntra.com/blankets-and-comforters-menu,"Tangerine\nPurple & Pink Striped Double King Comforter\nRs. 4,999Rs. 3,999(20% off)\nSizes: Double",http://www.myntra.com/blankets-quilts-and-dohars/tangerine/tangerine-purple--pink-striped-double-king-comforter/1596608/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1596608/2016/10/19/11476865735504-Tangerine-Unisex-Blankets-Quilts-and-Dohars-5211476865735351-1_mini.jpg",Tangerine Purple & Pink Striped Double King Comforter,http://www.myntra.com/blankets-quilts-and-dohars/tangerine/tangerine-purple--pink-striped-double-king-comforter/1596608/buy?src=search,Tangerine,http://www.myntra.com/blankets-quilts-and-dohars/tangerine/tangerine-purple--pink-striped-double-king-comforter/1596608/buy?src=search,Purple & Pink Striped Double King Comforter,http://www.myntra.com/blankets-quilts-and-dohars/tangerine/tangerine-purple--pink-striped-double-king-comforter/1596608/buy?src=search,"Rs. 4,999",http://www.myntra.com/blankets-quilts-and-dohars/tangerine/tangerine-purple--pink-striped-double-king-comforter/1596608/buy?src=search,"Rs. 3,999",http://www.myntra.com/blankets-quilts-and-dohars/tangerine/tangerine-purple--pink-striped-double-king-comforter/1596608/buy?src=search,(20% off),http://www.myntra.com/blankets-quilts-and-dohars/tangerine/tangerine-purple--pink-striped-double-king-comforter/1596608/buy?src=search,Sizes: Double,http://www.myntra.com/blankets-quilts-and-dohars/tangerine/tangerine-purple--pink-striped-double-king-comforter/1596608/buy?src=search,Double
http://www.myntra.com/blankets-and-comforters-menu,"Raymond Home\nMaroon Fleece Single Blanket\nRs. 2,499Rs. 999(Rs. 1,499 off)\nSizes: Single",http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-maroon-fleece-single-blanket/1523769/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1523769/2016/9/20/11474353932566-Raymond-Home-Unisex-Blankets-Quilts-and-Dohars-8411474353932267-1_mini.jpg",Raymond Home Maroon Fleece Single Blanket,http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-maroon-fleece-single-blanket/1523769/buy?src=search,Raymond Home,http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-maroon-fleece-single-blanket/1523769/buy?src=search,Maroon Fleece Single Blanket,http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-maroon-fleece-single-blanket/1523769/buy?src=search,"Rs. 2,499",http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-maroon-fleece-single-blanket/1523769/buy?src=search,Rs. 999,http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-maroon-fleece-single-blanket/1523769/buy?src=search,"(Rs. 1,499 off)",http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-maroon-fleece-single-blanket/1523769/buy?src=search,Sizes: Single,http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-maroon-fleece-single-blanket/1523769/buy?src=search,Single
http://www.myntra.com/blankets-and-comforters-menu,"Raymond Home\nPurple Fleece Single Blanket\nRs. 2,499Rs. 999(Rs. 1,499 off)\nSizes: Single",http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-purple-fleece-single-blanket/1523771/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1523771/2016/9/20/11474353956285-Raymond-Home-Unisex-Blankets-Quilts-and-Dohars-5151474353956682-1_mini.jpg",Raymond Home Purple Fleece Single Blanket,http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-purple-fleece-single-blanket/1523771/buy?src=search,Raymond Home,http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-purple-fleece-single-blanket/1523771/buy?src=search,Purple Fleece Single Blanket,http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-purple-fleece-single-blanket/1523771/buy?src=search,"Rs. 2,499",http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-purple-fleece-single-blanket/1523771/buy?src=search,Rs. 999,http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-purple-fleece-single-blanket/1523771/buy?src=search,"(Rs. 1,499 off)",http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-purple-fleece-single-blanket/1523771/buy?src=search,Sizes: Single,http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-purple-fleece-single-blanket/1523771/buy?src=search,Single
http://www.myntra.com/blankets-and-comforters-menu,"Raymond Home\nBlue Fleece Single Blanket\nRs. 2,499Rs. 999(Rs. 1,499 off)\nSizes: Single",http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-blue-fleece-single-blanket/1523768/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1523768/2016/9/20/11474353920643-Raymond-Home-Unisex-Blankets-Quilts-and-Dohars-6531474353920508-1_mini.jpg",Raymond Home Blue Fleece Single Blanket,http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-blue-fleece-single-blanket/1523768/buy?src=search,Raymond Home,http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-blue-fleece-single-blanket/1523768/buy?src=search,Blue Fleece Single Blanket,http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-blue-fleece-single-blanket/1523768/buy?src=search,"Rs. 2,499",http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-blue-fleece-single-blanket/1523768/buy?src=search,Rs. 999,http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-blue-fleece-single-blanket/1523768/buy?src=search,"(Rs. 1,499 off)",http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-blue-fleece-single-blanket/1523768/buy?src=search,Sizes: Single,http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-blue-fleece-single-blanket/1523768/buy?src=search,Single
http://www.myntra.com/blankets-and-comforters-menu,"Raymond Home\nNavy Fleece Heavy Winters Double Blanket\nRs. 2,499Rs. 1,999(20% off)\nSizes: Double",http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-navy-fleece-heavy-winters-double-blanket/1578536/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1578536/2016/10/17/11476686314780-Raymond-Home-Navy-Fleece-Heavy-Winters-Double-Blanket-2831476686314537-1_mini.jpg",Raymond Home Navy Fleece Heavy Winters Double Blanket,http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-navy-fleece-heavy-winters-double-blanket/1578536/buy?src=search,Raymond Home,http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-navy-fleece-heavy-winters-double-blanket/1578536/buy?src=search,Navy Fleece Heavy Winters Double Blanket,http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-navy-fleece-heavy-winters-double-blanket/1578536/buy?src=search,"Rs. 2,499",http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-navy-fleece-heavy-winters-double-blanket/1578536/buy?src=search,"Rs. 1,999",http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-navy-fleece-heavy-winters-double-blanket/1578536/buy?src=search,(20% off),http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-navy-fleece-heavy-winters-double-blanket/1578536/buy?src=search,Sizes: Double,http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-navy-fleece-heavy-winters-double-blanket/1578536/buy?src=search,Double
http://www.myntra.com/blankets-and-comforters-menu,"SPACES\nWhite & Yellow Reversible AC Single Quilt(Comforter)\nRs. 2,795Rs. 2,096(25% off)\nSizes: Single",http://www.myntra.com/blankets-quilts-and-dohars/spaces/spaces-white--yellow-reversible-ac-single-quiltcomforter/1449282/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1449282/2016/8/11/11470900551864-SPACES-Unisex-Blankets-Quilts-and-Dohars-9311470900551452-1_mini.jpg",SPACES White & Yellow Reversible AC Single Quilt(Comforter),http://www.myntra.com/blankets-quilts-and-dohars/spaces/spaces-white--yellow-reversible-ac-single-quiltcomforter/1449282/buy?src=search,SPACES,http://www.myntra.com/blankets-quilts-and-dohars/spaces/spaces-white--yellow-reversible-ac-single-quiltcomforter/1449282/buy?src=search,White & Yellow Reversible AC Single Quilt(Comforter),http://www.myntra.com/blankets-quilts-and-dohars/spaces/spaces-white--yellow-reversible-ac-single-quiltcomforter/1449282/buy?src=search,"Rs. 2,795",http://www.myntra.com/blankets-quilts-and-dohars/spaces/spaces-white--yellow-reversible-ac-single-quiltcomforter/1449282/buy?src=search,"Rs. 2,096",http://www.myntra.com/blankets-quilts-and-dohars/spaces/spaces-white--yellow-reversible-ac-single-quiltcomforter/1449282/buy?src=search,(25% off),http://www.myntra.com/blankets-quilts-and-dohars/spaces/spaces-white--yellow-reversible-ac-single-quiltcomforter/1449282/buy?src=search,Sizes: Single,http://www.myntra.com/blankets-quilts-and-dohars/spaces/spaces-white--yellow-reversible-ac-single-quiltcomforter/1449282/buy?src=search,Single
http://www.myntra.com/blankets-and-comforters-menu,"Raymond Home\nGrey Flannel Heavy Winters Double Blanket\nRs. 4,499Rs. 3,599(20% off)\nSizes: Double",http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-grey-flannel-heavy-winters-double-blanket/1578538/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1578538/2016/10/17/11476686329557-Raymond-Home-Grey-Fleece-Heavy-Winters-Double-Blanket-4071476686329303-1_mini.jpg",Raymond Home Grey Flannel Heavy Winters Double Blanket,http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-grey-flannel-heavy-winters-double-blanket/1578538/buy?src=search,Raymond Home,http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-grey-flannel-heavy-winters-double-blanket/1578538/buy?src=search,Grey Flannel Heavy Winters Double Blanket,http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-grey-flannel-heavy-winters-double-blanket/1578538/buy?src=search,"Rs. 4,499",http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-grey-flannel-heavy-winters-double-blanket/1578538/buy?src=search,"Rs. 3,599",http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-grey-flannel-heavy-winters-double-blanket/1578538/buy?src=search,(20% off),http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-grey-flannel-heavy-winters-double-blanket/1578538/buy?src=search,Sizes: Double,http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-grey-flannel-heavy-winters-double-blanket/1578538/buy?src=search,Double
http://www.myntra.com/blankets-and-comforters-menu,"Raymond Home\nBurgundy Fleece Heavy Winters Double Blanket\nRs. 2,499Rs. 1,999(20% off)\nSizes: Double",http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-burgundy-fleece-heavy-winters-double-blanket/1578529/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1578529/2016/10/17/11476684308734-Raymond-Home-Unisex-Blankets-Quilts-and-Dohars-1841476684308500-1_mini.jpg",Raymond Home Burgundy Fleece Heavy Winters Double Blanket,http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-burgundy-fleece-heavy-winters-double-blanket/1578529/buy?src=search,Raymond Home,http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-burgundy-fleece-heavy-winters-double-blanket/1578529/buy?src=search,Burgundy Fleece Heavy Winters Double Blanket,http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-burgundy-fleece-heavy-winters-double-blanket/1578529/buy?src=search,"Rs. 2,499",http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-burgundy-fleece-heavy-winters-double-blanket/1578529/buy?src=search,"Rs. 1,999",http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-burgundy-fleece-heavy-winters-double-blanket/1578529/buy?src=search,(20% off),http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-burgundy-fleece-heavy-winters-double-blanket/1578529/buy?src=search,Sizes: Double,http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-burgundy-fleece-heavy-winters-double-blanket/1578529/buy?src=search,Double
http://www.myntra.com/blankets-and-comforters-menu,"Raymond Home\nPink Fleece Heavy Winters Single Blanket\nRs. 1,699Rs. 1,359(20% off)\nSizes: Single",http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-pink-fleece-heavy-winters-single-blanket/1578521/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1578521/2016/10/17/11476684242594-Raymond-Home-Unisex-Blankets-Quilts-and-Dohars-771476684242351-1_mini.jpg",Raymond Home Pink Fleece Heavy Winters Single Blanket,http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-pink-fleece-heavy-winters-single-blanket/1578521/buy?src=search,Raymond Home,http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-pink-fleece-heavy-winters-single-blanket/1578521/buy?src=search,Pink Fleece Heavy Winters Single Blanket,http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-pink-fleece-heavy-winters-single-blanket/1578521/buy?src=search,"Rs. 1,699",http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-pink-fleece-heavy-winters-single-blanket/1578521/buy?src=search,"Rs. 1,359",http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-pink-fleece-heavy-winters-single-blanket/1578521/buy?src=search,(20% off),http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-pink-fleece-heavy-winters-single-blanket/1578521/buy?src=search,Sizes: Single,http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-pink-fleece-heavy-winters-single-blanket/1578521/buy?src=search,Single
http://www.myntra.com/blankets-and-comforters-menu,"Raymond Home\nNavy Flannel Heavy Winters Double Blanket\nRs. 4,499Rs. 3,599(20% off)\nSizes: Double",http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-navy-flannel-heavy-winters-double-blanket/1578539/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1578539/2016/10/17/11476686336518-Raymond-Home-Navy-Fleece-Heavy-Winters-Double-Blanket-3771476686336298-1_mini.jpg",Raymond Home Navy Flannel Heavy Winters Double Blanket,http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-navy-flannel-heavy-winters-double-blanket/1578539/buy?src=search,Raymond Home,http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-navy-flannel-heavy-winters-double-blanket/1578539/buy?src=search,Navy Flannel Heavy Winters Double Blanket,http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-navy-flannel-heavy-winters-double-blanket/1578539/buy?src=search,"Rs. 4,499",http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-navy-flannel-heavy-winters-double-blanket/1578539/buy?src=search,"Rs. 3,599",http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-navy-flannel-heavy-winters-double-blanket/1578539/buy?src=search,(20% off),http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-navy-flannel-heavy-winters-double-blanket/1578539/buy?src=search,Sizes: Double,http://www.myntra.com/blankets-quilts-and-dohars/raymond-home/raymond-home-navy-flannel-heavy-winters-double-blanket/1578539/buy?src=search,Double
