url,Product link,Product link_link,Thumb image,Thumb image_alt,Thumb image_link,Brand value,Brand value_link,Product value,Product value_link,Strike value,Strike value_link,Price value,Price value_link,Discount value,Discount value_link,Sizes value,Sizes value_link,Selectasize value
http://www.myntra.com/curtains-and-sheers,"Cortina\nKids Multicoloured Single Printed Room Darkening Door Curtain\nRs. 1,199Rs. 999(Rs. 200 off)\nSizes: Door",http://www.myntra.com/curtains-and-sheers/cortina/cortina-kids-multicoloured-single-printed-room-darkening-door-curtain/1409387/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1409387/2016/8/1/11470041797482-Cortina-Kids-Multicoloured-Single-Printed-Room-Darkening-Door-Curtain-331470041797260-1_mini.jpg",Cortina Kids Multicoloured Single Printed Room Darkening Door Curtain,http://www.myntra.com/curtains-and-sheers/cortina/cortina-kids-multicoloured-single-printed-room-darkening-door-curtain/1409387/buy?src=search,Cortina,http://www.myntra.com/curtains-and-sheers/cortina/cortina-kids-multicoloured-single-printed-room-darkening-door-curtain/1409387/buy?src=search,Kids Multicoloured Single Printed Room Darkening Door Curtain,http://www.myntra.com/curtains-and-sheers/cortina/cortina-kids-multicoloured-single-printed-room-darkening-door-curtain/1409387/buy?src=search,"Rs. 1,199",http://www.myntra.com/curtains-and-sheers/cortina/cortina-kids-multicoloured-single-printed-room-darkening-door-curtain/1409387/buy?src=search,Rs. 999,http://www.myntra.com/curtains-and-sheers/cortina/cortina-kids-multicoloured-single-printed-room-darkening-door-curtain/1409387/buy?src=search,(Rs. 200 off),http://www.myntra.com/curtains-and-sheers/cortina/cortina-kids-multicoloured-single-printed-room-darkening-door-curtain/1409387/buy?src=search,Sizes: Door,http://www.myntra.com/curtains-and-sheers/cortina/cortina-kids-multicoloured-single-printed-room-darkening-door-curtain/1409387/buy?src=search,Door
http://www.myntra.com/curtains-and-sheers,"S9home by Seasons\nBrown & Orange Set of 2 Patterned Room Darkening Door Curtains\nRs. 7,799Rs. 3,119(Rs. 4,679 off)\nSizes: Door",http://www.myntra.com/curtains-and-sheers/s9home-by-seasons/s9home-by-seasons-brown--orange-set-of-2-patterned-room-darkening-door-curtains/1538194/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1538194/2016/9/19/11474278656989-S9home-by-Seasons-Brown-Set-of-2-Patterned-Room-Darkening-Long-Door-Curtains-221474278656657-1_mini.jpg",S9home by Seasons Brown & Orange Set of 2 Patterned Room Darkening Door Curtains,http://www.myntra.com/curtains-and-sheers/s9home-by-seasons/s9home-by-seasons-brown--orange-set-of-2-patterned-room-darkening-door-curtains/1538194/buy?src=search,S9home by Seasons,http://www.myntra.com/curtains-and-sheers/s9home-by-seasons/s9home-by-seasons-brown--orange-set-of-2-patterned-room-darkening-door-curtains/1538194/buy?src=search,Brown & Orange Set of 2 Patterned Room Darkening Door Curtains,http://www.myntra.com/curtains-and-sheers/s9home-by-seasons/s9home-by-seasons-brown--orange-set-of-2-patterned-room-darkening-door-curtains/1538194/buy?src=search,"Rs. 7,799",http://www.myntra.com/curtains-and-sheers/s9home-by-seasons/s9home-by-seasons-brown--orange-set-of-2-patterned-room-darkening-door-curtains/1538194/buy?src=search,"Rs. 3,119",http://www.myntra.com/curtains-and-sheers/s9home-by-seasons/s9home-by-seasons-brown--orange-set-of-2-patterned-room-darkening-door-curtains/1538194/buy?src=search,"(Rs. 4,679 off)",http://www.myntra.com/curtains-and-sheers/s9home-by-seasons/s9home-by-seasons-brown--orange-set-of-2-patterned-room-darkening-door-curtains/1538194/buy?src=search,Sizes: Door,http://www.myntra.com/curtains-and-sheers/s9home-by-seasons/s9home-by-seasons-brown--orange-set-of-2-patterned-room-darkening-door-curtains/1538194/buy?src=search,Door
http://www.myntra.com/curtains-and-sheers,"SWAYAM\nCream-Coloured Single Floral Print Door Curtain\nRs. 1,399Rs. 1,119(20% off)\nSizes: Door",http://www.myntra.com/curtains-and-sheers/swayam/swayam-cream-coloured-single-floral-print-door-curtain/1466497/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1466497/2016/9/29/11475146074785-SWAYAM-Cream-Coloured-Single-Floral-Print-Door-Curtain-2001475146074635-1_mini.jpg",SWAYAM Cream-Coloured Single Floral Print Door Curtain,http://www.myntra.com/curtains-and-sheers/swayam/swayam-cream-coloured-single-floral-print-door-curtain/1466497/buy?src=search,SWAYAM,http://www.myntra.com/curtains-and-sheers/swayam/swayam-cream-coloured-single-floral-print-door-curtain/1466497/buy?src=search,Cream-Coloured Single Floral Print Door Curtain,http://www.myntra.com/curtains-and-sheers/swayam/swayam-cream-coloured-single-floral-print-door-curtain/1466497/buy?src=search,"Rs. 1,399",http://www.myntra.com/curtains-and-sheers/swayam/swayam-cream-coloured-single-floral-print-door-curtain/1466497/buy?src=search,"Rs. 1,119",http://www.myntra.com/curtains-and-sheers/swayam/swayam-cream-coloured-single-floral-print-door-curtain/1466497/buy?src=search,(20% off),http://www.myntra.com/curtains-and-sheers/swayam/swayam-cream-coloured-single-floral-print-door-curtain/1466497/buy?src=search,Sizes: Door,http://www.myntra.com/curtains-and-sheers/swayam/swayam-cream-coloured-single-floral-print-door-curtain/1466497/buy?src=search,Door
http://www.myntra.com/curtains-and-sheers,"Cortina\nBlue Single Patterned Blackout Window Curtain\nRs. 1,319Rs. 1,119(Rs. 200 off)\nSizes: Window",http://www.myntra.com/curtains-and-sheers/cortina/cortina-blue-single-patterned-blackout-window-curtain/1409272/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1409272/2016/8/1/11470046340699-Cortina-Blue--Off-White-Single-Patterned-Window-Curtain-7001470046330470-1_mini.jpg",Cortina Blue Single Patterned Blackout Window Curtain,http://www.myntra.com/curtains-and-sheers/cortina/cortina-blue-single-patterned-blackout-window-curtain/1409272/buy?src=search,Cortina,http://www.myntra.com/curtains-and-sheers/cortina/cortina-blue-single-patterned-blackout-window-curtain/1409272/buy?src=search,Blue Single Patterned Blackout Window Curtain,http://www.myntra.com/curtains-and-sheers/cortina/cortina-blue-single-patterned-blackout-window-curtain/1409272/buy?src=search,"Rs. 1,319",http://www.myntra.com/curtains-and-sheers/cortina/cortina-blue-single-patterned-blackout-window-curtain/1409272/buy?src=search,"Rs. 1,119",http://www.myntra.com/curtains-and-sheers/cortina/cortina-blue-single-patterned-blackout-window-curtain/1409272/buy?src=search,(Rs. 200 off),http://www.myntra.com/curtains-and-sheers/cortina/cortina-blue-single-patterned-blackout-window-curtain/1409272/buy?src=search,Sizes: Window,http://www.myntra.com/curtains-and-sheers/cortina/cortina-blue-single-patterned-blackout-window-curtain/1409272/buy?src=search,Window
http://www.myntra.com/curtains-and-sheers,"SWAYAM\nMulticoloured Single Floral Print Door Curtain\nRs. 1,399Rs. 1,119(20% off)\nSizes: Door",http://www.myntra.com/curtains-and-sheers/swayam/swayam-multicoloured-single-floral-print-door-curtain/1306588/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1306588/2016/4/26/11461652423068-SWAYAM-Unisex-Curtains--Sheers-951461652422613-1_mini.jpg",SWAYAM Multicoloured Single Floral Print Door Curtain,http://www.myntra.com/curtains-and-sheers/swayam/swayam-multicoloured-single-floral-print-door-curtain/1306588/buy?src=search,SWAYAM,http://www.myntra.com/curtains-and-sheers/swayam/swayam-multicoloured-single-floral-print-door-curtain/1306588/buy?src=search,Multicoloured Single Floral Print Door Curtain,http://www.myntra.com/curtains-and-sheers/swayam/swayam-multicoloured-single-floral-print-door-curtain/1306588/buy?src=search,"Rs. 1,399",http://www.myntra.com/curtains-and-sheers/swayam/swayam-multicoloured-single-floral-print-door-curtain/1306588/buy?src=search,"Rs. 1,119",http://www.myntra.com/curtains-and-sheers/swayam/swayam-multicoloured-single-floral-print-door-curtain/1306588/buy?src=search,(20% off),http://www.myntra.com/curtains-and-sheers/swayam/swayam-multicoloured-single-floral-print-door-curtain/1306588/buy?src=search,Sizes: Door,http://www.myntra.com/curtains-and-sheers/swayam/swayam-multicoloured-single-floral-print-door-curtain/1306588/buy?src=search,Door
http://www.myntra.com/curtains-and-sheers,"Cortina\nOff-White & Brown Single Patterned Blackout Door Curtain\nRs. 1,079Rs. 879(Rs. 200 off)\nSizes: Door",http://www.myntra.com/curtains-and-sheers/cortina/cortina-off-white--brown-single-patterned-blackout-door-curtain/1409306/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1409306/2016/8/1/11470042024773-Cortina-Beige--Brown-Single-Patterned-Black-Out-Door-Curtain-5391470042024492-1_mini.jpg",Cortina Off-White & Brown Single Patterned Blackout Door Curtain,http://www.myntra.com/curtains-and-sheers/cortina/cortina-off-white--brown-single-patterned-blackout-door-curtain/1409306/buy?src=search,Cortina,http://www.myntra.com/curtains-and-sheers/cortina/cortina-off-white--brown-single-patterned-blackout-door-curtain/1409306/buy?src=search,Off-White & Brown Single Patterned Blackout Door Curtain,http://www.myntra.com/curtains-and-sheers/cortina/cortina-off-white--brown-single-patterned-blackout-door-curtain/1409306/buy?src=search,"Rs. 1,079",http://www.myntra.com/curtains-and-sheers/cortina/cortina-off-white--brown-single-patterned-blackout-door-curtain/1409306/buy?src=search,Rs. 879,http://www.myntra.com/curtains-and-sheers/cortina/cortina-off-white--brown-single-patterned-blackout-door-curtain/1409306/buy?src=search,(Rs. 200 off),http://www.myntra.com/curtains-and-sheers/cortina/cortina-off-white--brown-single-patterned-blackout-door-curtain/1409306/buy?src=search,Sizes: Door,http://www.myntra.com/curtains-and-sheers/cortina/cortina-off-white--brown-single-patterned-blackout-door-curtain/1409306/buy?src=search,Door
http://www.myntra.com/curtains-and-sheers,"SWAYAM\nSigma Yellow Single Floral Print Blackout Door Curtain\nRs. 1,349Rs. 1,079(20% off)\nSizes: Door",http://www.myntra.com/curtains-and-sheers/swayam/swayam-sigma-yellow-single-floral-print-blackout-door-curtain/1306797/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1306797/2016/4/26/11461651867775-SWAYAM-Unisex-Curtains--Sheers-8571461651867522-1_mini.jpg",SWAYAM Sigma Yellow Single Floral Print Blackout Door Curtain,http://www.myntra.com/curtains-and-sheers/swayam/swayam-sigma-yellow-single-floral-print-blackout-door-curtain/1306797/buy?src=search,SWAYAM,http://www.myntra.com/curtains-and-sheers/swayam/swayam-sigma-yellow-single-floral-print-blackout-door-curtain/1306797/buy?src=search,Sigma Yellow Single Floral Print Blackout Door Curtain,http://www.myntra.com/curtains-and-sheers/swayam/swayam-sigma-yellow-single-floral-print-blackout-door-curtain/1306797/buy?src=search,"Rs. 1,349",http://www.myntra.com/curtains-and-sheers/swayam/swayam-sigma-yellow-single-floral-print-blackout-door-curtain/1306797/buy?src=search,"Rs. 1,079",http://www.myntra.com/curtains-and-sheers/swayam/swayam-sigma-yellow-single-floral-print-blackout-door-curtain/1306797/buy?src=search,(20% off),http://www.myntra.com/curtains-and-sheers/swayam/swayam-sigma-yellow-single-floral-print-blackout-door-curtain/1306797/buy?src=search,Sizes: Door,http://www.myntra.com/curtains-and-sheers/swayam/swayam-sigma-yellow-single-floral-print-blackout-door-curtain/1306797/buy?src=search,Door
http://www.myntra.com/curtains-and-sheers,"S9home by Seasons\nGrey & Off-White Set of 2 Printed Room Darkening Long Door Curtains\nRs. 6,999Rs. 2,799(Rs. 4,199 off)\nSizes: Long Door",http://www.myntra.com/curtains-and-sheers/s9home-by-seasons/s9home-by-seasons-grey--off-white-set-of-2-printed-room-darkening-long-door-curtains/1538205/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1538205/2016/9/19/11474280519117-S9home-by-Seasons-Unisex-Curtains-and-Sheers-6451474280519034-1_mini.jpg",S9home by Seasons Grey & Off-White Set of 2 Printed Room Darkening Long Door Curtains,http://www.myntra.com/curtains-and-sheers/s9home-by-seasons/s9home-by-seasons-grey--off-white-set-of-2-printed-room-darkening-long-door-curtains/1538205/buy?src=search,S9home by Seasons,http://www.myntra.com/curtains-and-sheers/s9home-by-seasons/s9home-by-seasons-grey--off-white-set-of-2-printed-room-darkening-long-door-curtains/1538205/buy?src=search,Grey & Off-White Set of 2 Printed Room Darkening Long Door Curtains,http://www.myntra.com/curtains-and-sheers/s9home-by-seasons/s9home-by-seasons-grey--off-white-set-of-2-printed-room-darkening-long-door-curtains/1538205/buy?src=search,"Rs. 6,999",http://www.myntra.com/curtains-and-sheers/s9home-by-seasons/s9home-by-seasons-grey--off-white-set-of-2-printed-room-darkening-long-door-curtains/1538205/buy?src=search,"Rs. 2,799",http://www.myntra.com/curtains-and-sheers/s9home-by-seasons/s9home-by-seasons-grey--off-white-set-of-2-printed-room-darkening-long-door-curtains/1538205/buy?src=search,"(Rs. 4,199 off)",http://www.myntra.com/curtains-and-sheers/s9home-by-seasons/s9home-by-seasons-grey--off-white-set-of-2-printed-room-darkening-long-door-curtains/1538205/buy?src=search,Sizes: Long Door,http://www.myntra.com/curtains-and-sheers/s9home-by-seasons/s9home-by-seasons-grey--off-white-set-of-2-printed-room-darkening-long-door-curtains/1538205/buy?src=search,Long Door
http://www.myntra.com/curtains-and-sheers,"SWAYAM\nCream-Coloured Single Floral Print Regular Door Curtain\nRs. 1,799Rs. 1,439(20% off)\nSizes: Door",http://www.myntra.com/curtains-and-sheers/swayam/swayam-cream-coloured-single-floral-print-regular-door-curtain/1306693/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1306693/2016/4/26/11461652032443-SWAYAM-Unisex-Curtains--Sheers-5991461652032122-1_mini.jpg",SWAYAM Cream-Coloured Single Floral Print Regular Door Curtain,http://www.myntra.com/curtains-and-sheers/swayam/swayam-cream-coloured-single-floral-print-regular-door-curtain/1306693/buy?src=search,SWAYAM,http://www.myntra.com/curtains-and-sheers/swayam/swayam-cream-coloured-single-floral-print-regular-door-curtain/1306693/buy?src=search,Cream-Coloured Single Floral Print Regular Door Curtain,http://www.myntra.com/curtains-and-sheers/swayam/swayam-cream-coloured-single-floral-print-regular-door-curtain/1306693/buy?src=search,"Rs. 1,799",http://www.myntra.com/curtains-and-sheers/swayam/swayam-cream-coloured-single-floral-print-regular-door-curtain/1306693/buy?src=search,"Rs. 1,439",http://www.myntra.com/curtains-and-sheers/swayam/swayam-cream-coloured-single-floral-print-regular-door-curtain/1306693/buy?src=search,(20% off),http://www.myntra.com/curtains-and-sheers/swayam/swayam-cream-coloured-single-floral-print-regular-door-curtain/1306693/buy?src=search,Sizes: Door,http://www.myntra.com/curtains-and-sheers/swayam/swayam-cream-coloured-single-floral-print-regular-door-curtain/1306693/buy?src=search,Door
http://www.myntra.com/curtains-and-sheers,"SWAYAM\nSigma Burgundy Single Ethnic Print Blackout Door Curtain\nRs. 1,349Rs. 1,079(20% off)\nSizes: Door",http://www.myntra.com/curtains-and-sheers/swayam/swayam-sigma-burgundy-single-ethnic-print-blackout-door-curtain/1306842/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1306842/2016/4/26/11461651722453-SWAYAM-Unisex-Curtains--Sheers-2061461651722183-1_mini.jpg",SWAYAM Sigma Burgundy Single Ethnic Print Blackout Door Curtain,http://www.myntra.com/curtains-and-sheers/swayam/swayam-sigma-burgundy-single-ethnic-print-blackout-door-curtain/1306842/buy?src=search,SWAYAM,http://www.myntra.com/curtains-and-sheers/swayam/swayam-sigma-burgundy-single-ethnic-print-blackout-door-curtain/1306842/buy?src=search,Sigma Burgundy Single Ethnic Print Blackout Door Curtain,http://www.myntra.com/curtains-and-sheers/swayam/swayam-sigma-burgundy-single-ethnic-print-blackout-door-curtain/1306842/buy?src=search,"Rs. 1,349",http://www.myntra.com/curtains-and-sheers/swayam/swayam-sigma-burgundy-single-ethnic-print-blackout-door-curtain/1306842/buy?src=search,"Rs. 1,079",http://www.myntra.com/curtains-and-sheers/swayam/swayam-sigma-burgundy-single-ethnic-print-blackout-door-curtain/1306842/buy?src=search,(20% off),http://www.myntra.com/curtains-and-sheers/swayam/swayam-sigma-burgundy-single-ethnic-print-blackout-door-curtain/1306842/buy?src=search,Sizes: Door,http://www.myntra.com/curtains-and-sheers/swayam/swayam-sigma-burgundy-single-ethnic-print-blackout-door-curtain/1306842/buy?src=search,Door
