url,Product link,Product link_link,Thumb image,Thumb image_alt,Thumb image_link,Brand value,Brand value_link,Product value,Product value_link,Strike value,Strike value_link,Price value,Price value_link,Discount value,Discount value_link,Sizes value,Sizes value_link,Selectasize values
http://www.myntra.com/boys-clothing-wsite,"GKIDZ\nBoys Pack of 3 T-shirts\nRs. 2,097Rs. 629(70% off)\nSizes: 2-3Y, 3-4Y, 5-6Y, 7-8Y, 9-10Y",http://www.myntra.com/tshirts/gkidz/gkidz-boys-pack-of-3-t-shirts/218737/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/images/style/properties/GKIDZ-Boys-Pack-of-3-T-shirts_0cac9f2570192322180c8593c8b54e69_images_mini.jpg",GKIDZ Boys Pack of 3 T-shirts,http://www.myntra.com/tshirts/gkidz/gkidz-boys-pack-of-3-t-shirts/218737/buy?src=search,GKIDZ,http://www.myntra.com/tshirts/gkidz/gkidz-boys-pack-of-3-t-shirts/218737/buy?src=search,Boys Pack of 3 T-shirts,http://www.myntra.com/tshirts/gkidz/gkidz-boys-pack-of-3-t-shirts/218737/buy?src=search,"Rs. 2,097",http://www.myntra.com/tshirts/gkidz/gkidz-boys-pack-of-3-t-shirts/218737/buy?src=search,Rs. 629,http://www.myntra.com/tshirts/gkidz/gkidz-boys-pack-of-3-t-shirts/218737/buy?src=search,(70% off),http://www.myntra.com/tshirts/gkidz/gkidz-boys-pack-of-3-t-shirts/218737/buy?src=search,"Sizes: 2-3Y, 3-4Y, 5-6Y, 7-8Y, 9-10Y",http://www.myntra.com/tshirts/gkidz/gkidz-boys-pack-of-3-t-shirts/218737/buy?src=search,2-3Y; 3-4Y; 5-6Y; 7-8Y; 9-10Y
http://www.myntra.com/boys-clothing-wsite,"YK\nBoys Blue & White Checked Shirt\nRs. 1,099Rs. 769(30% off)\nSizes: 2-3Y, 3-4Y, 4-5Y, 5-6Y, 6-7Y",http://www.myntra.com/shirts/yk/yk-boys-blue--white-checked-shirt/1287008/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1287008/2016/6/27/11467004627673-YK-Boys-Blue--White-Checked-Shirt-9161467004627520-1_mini.jpg",YK Boys Blue & White Checked Shirt,http://www.myntra.com/shirts/yk/yk-boys-blue--white-checked-shirt/1287008/buy?src=search,YK,http://www.myntra.com/shirts/yk/yk-boys-blue--white-checked-shirt/1287008/buy?src=search,Boys Blue & White Checked Shirt,http://www.myntra.com/shirts/yk/yk-boys-blue--white-checked-shirt/1287008/buy?src=search,"Rs. 1,099",http://www.myntra.com/shirts/yk/yk-boys-blue--white-checked-shirt/1287008/buy?src=search,Rs. 769,http://www.myntra.com/shirts/yk/yk-boys-blue--white-checked-shirt/1287008/buy?src=search,(30% off),http://www.myntra.com/shirts/yk/yk-boys-blue--white-checked-shirt/1287008/buy?src=search,"Sizes: 2-3Y, 3-4Y, 4-5Y, 5-6Y, 6-7Y",http://www.myntra.com/shirts/yk/yk-boys-blue--white-checked-shirt/1287008/buy?src=search,2-3Y; 3-4Y; 4-5Y; 5-6Y; 6-7Y
http://www.myntra.com/boys-clothing-wsite,"United Colors of Benetton\nBoys Blue Printed T-Shirt\nRs. 799Rs. 639(20% off)\nSizes: 0-1Y, 1-2Y, 2-3Y, 3-4Y, 4-5Y, 6-7Y, 7-8Y, 8-9Y, 10-11Y, 11-12Y",http://www.myntra.com/tshirts/united-colors-of-benetton/united-colors-of-benetton-boys-blue-printed-t-shirt/1215274/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1215274/2016/3/11/11457682127510-United-Colors-Of-Benetton-Boys-Teal-Blue-Printed-T-Shirt-8941457682126886-1_mini.jpg",United Colors of Benetton Boys Blue Printed T-Shirt,http://www.myntra.com/tshirts/united-colors-of-benetton/united-colors-of-benetton-boys-blue-printed-t-shirt/1215274/buy?src=search,United Colors of Benetton,http://www.myntra.com/tshirts/united-colors-of-benetton/united-colors-of-benetton-boys-blue-printed-t-shirt/1215274/buy?src=search,Boys Blue Printed T-Shirt,http://www.myntra.com/tshirts/united-colors-of-benetton/united-colors-of-benetton-boys-blue-printed-t-shirt/1215274/buy?src=search,Rs. 799,http://www.myntra.com/tshirts/united-colors-of-benetton/united-colors-of-benetton-boys-blue-printed-t-shirt/1215274/buy?src=search,Rs. 639,http://www.myntra.com/tshirts/united-colors-of-benetton/united-colors-of-benetton-boys-blue-printed-t-shirt/1215274/buy?src=search,(20% off),http://www.myntra.com/tshirts/united-colors-of-benetton/united-colors-of-benetton-boys-blue-printed-t-shirt/1215274/buy?src=search,"Sizes: 0-1Y, 1-2Y, 2-3Y, 3-4Y, 4-5Y, 6-7Y, 7-8Y, 8-9Y, 10-11Y, 11-12Y",http://www.myntra.com/tshirts/united-colors-of-benetton/united-colors-of-benetton-boys-blue-printed-t-shirt/1215274/buy?src=search,0-1Y; 1-2Y; 2-3Y; 3-4Y; 4-5Y; 6-7Y; 7-8Y; 8-9Y; 10-11Y; 11-12Y
http://www.myntra.com/boys-clothing-wsite,"YK Baby\nBoys Grey Melange Printed Round Neck T-shirt\nRs. 399Rs. 199(50% off)\nSizes: 6-12M, 12-18M, 18-24M",http://www.myntra.com/tshirts/yk-baby/yk-baby-boys-grey-melange-printed-round-neck-t-shirt/1342520/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1342520/2016/8/25/11472109976598-YK-Boys-Tshirts-781472109976482-1_mini.jpg",YK Baby Boys Grey Melange Printed Round Neck T-shirt,http://www.myntra.com/tshirts/yk-baby/yk-baby-boys-grey-melange-printed-round-neck-t-shirt/1342520/buy?src=search,YK Baby,http://www.myntra.com/tshirts/yk-baby/yk-baby-boys-grey-melange-printed-round-neck-t-shirt/1342520/buy?src=search,Boys Grey Melange Printed Round Neck T-shirt,http://www.myntra.com/tshirts/yk-baby/yk-baby-boys-grey-melange-printed-round-neck-t-shirt/1342520/buy?src=search,Rs. 399,http://www.myntra.com/tshirts/yk-baby/yk-baby-boys-grey-melange-printed-round-neck-t-shirt/1342520/buy?src=search,Rs. 199,http://www.myntra.com/tshirts/yk-baby/yk-baby-boys-grey-melange-printed-round-neck-t-shirt/1342520/buy?src=search,(50% off),http://www.myntra.com/tshirts/yk-baby/yk-baby-boys-grey-melange-printed-round-neck-t-shirt/1342520/buy?src=search,"Sizes: 6-12M, 12-18M, 18-24M",http://www.myntra.com/tshirts/yk-baby/yk-baby-boys-grey-melange-printed-round-neck-t-shirt/1342520/buy?src=search,6-12M; 12-18M; 18-24M
http://www.myntra.com/boys-clothing-wsite,"YK Disney\nGirls Yellow Printed Sweatshirt\nRs. 799Rs. 559(30% off)\nSizes: 2-3Y, 3-4Y, 4-5Y, 5-6Y, 6-7Y",http://www.myntra.com/sweatshirts/yk-disney/yk-disney-girls-yellow-printed-sweatshirt/1388924/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1388924/2016/10/21/11477037249249-YK-Disney-Girls-Sweatshirts-1551477037249027-1_mini.jpg",YK Disney Girls Yellow Printed Sweatshirt,http://www.myntra.com/sweatshirts/yk-disney/yk-disney-girls-yellow-printed-sweatshirt/1388924/buy?src=search,YK Disney,http://www.myntra.com/sweatshirts/yk-disney/yk-disney-girls-yellow-printed-sweatshirt/1388924/buy?src=search,Girls Yellow Printed Sweatshirt,http://www.myntra.com/sweatshirts/yk-disney/yk-disney-girls-yellow-printed-sweatshirt/1388924/buy?src=search,Rs. 799,http://www.myntra.com/sweatshirts/yk-disney/yk-disney-girls-yellow-printed-sweatshirt/1388924/buy?src=search,Rs. 559,http://www.myntra.com/sweatshirts/yk-disney/yk-disney-girls-yellow-printed-sweatshirt/1388924/buy?src=search,(30% off),http://www.myntra.com/sweatshirts/yk-disney/yk-disney-girls-yellow-printed-sweatshirt/1388924/buy?src=search,"Sizes: 2-3Y, 3-4Y, 4-5Y, 5-6Y, 6-7Y",http://www.myntra.com/sweatshirts/yk-disney/yk-disney-girls-yellow-printed-sweatshirt/1388924/buy?src=search,2-3Y; 3-4Y; 4-5Y; 5-6Y; 6-7Y
http://www.myntra.com/boys-clothing-wsite,"YK\nBoys Off-White Striped Sweater\nRs. 999Rs. 699(30% off)\nSizes: 18-24M, 3-4Y, 4-5Y, 5-6Y, 6-7Y",http://www.myntra.com/sweaters/yk/yk-boys-off-white-striped-sweater/1355392/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1355392/2016/8/16/11471347379513-YK-Boys-Off-white-Striped-Sweater-2691471347379617-1_mini.jpg",YK Boys Off-White Striped Sweater,http://www.myntra.com/sweaters/yk/yk-boys-off-white-striped-sweater/1355392/buy?src=search,YK,http://www.myntra.com/sweaters/yk/yk-boys-off-white-striped-sweater/1355392/buy?src=search,Boys Off-White Striped Sweater,http://www.myntra.com/sweaters/yk/yk-boys-off-white-striped-sweater/1355392/buy?src=search,Rs. 999,http://www.myntra.com/sweaters/yk/yk-boys-off-white-striped-sweater/1355392/buy?src=search,Rs. 699,http://www.myntra.com/sweaters/yk/yk-boys-off-white-striped-sweater/1355392/buy?src=search,(30% off),http://www.myntra.com/sweaters/yk/yk-boys-off-white-striped-sweater/1355392/buy?src=search,"Sizes: 18-24M, 3-4Y, 4-5Y, 5-6Y, 6-7Y",http://www.myntra.com/sweaters/yk/yk-boys-off-white-striped-sweater/1355392/buy?src=search,18-24M; 3-4Y; 4-5Y; 5-6Y; 6-7Y
http://www.myntra.com/boys-clothing-wsite,"GKIDZ\nBoys Maroon Hooded Printed Sweatshirt\nRs. 1,699Rs. 509(70% off)\nSizes: 2-3Y, 3-4Y, 5-6Y, 7-8Y, 9-10Y, 11-12Y, 13-14Y",http://www.myntra.com/sweatshirts/gkidz/gkidz-boys-maroon-hooded-printed-sweatshirt/1032332/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1032332/2015/10/17/11445058234321-GKIDZ-Boys-Maroon-Hooded-Printed-Sweatshirt-5931445058232850-1_mini.jpg",GKIDZ Boys Maroon Hooded Printed Sweatshirt,http://www.myntra.com/sweatshirts/gkidz/gkidz-boys-maroon-hooded-printed-sweatshirt/1032332/buy?src=search,GKIDZ,http://www.myntra.com/sweatshirts/gkidz/gkidz-boys-maroon-hooded-printed-sweatshirt/1032332/buy?src=search,Boys Maroon Hooded Printed Sweatshirt,http://www.myntra.com/sweatshirts/gkidz/gkidz-boys-maroon-hooded-printed-sweatshirt/1032332/buy?src=search,"Rs. 1,699",http://www.myntra.com/sweatshirts/gkidz/gkidz-boys-maroon-hooded-printed-sweatshirt/1032332/buy?src=search,Rs. 509,http://www.myntra.com/sweatshirts/gkidz/gkidz-boys-maroon-hooded-printed-sweatshirt/1032332/buy?src=search,(70% off),http://www.myntra.com/sweatshirts/gkidz/gkidz-boys-maroon-hooded-printed-sweatshirt/1032332/buy?src=search,"Sizes: 2-3Y, 3-4Y, 5-6Y, 7-8Y, 9-10Y, 11-12Y, 13-14Y",http://www.myntra.com/sweatshirts/gkidz/gkidz-boys-maroon-hooded-printed-sweatshirt/1032332/buy?src=search,2-3Y; 3-4Y; 5-6Y; 7-8Y; 9-10Y; 11-12Y; 13-14Y
http://www.myntra.com/boys-clothing-wsite,"GKIDZ\nBoys Pack of 3 Printed T-shirts\nRs. 2,097Rs. 629(70% off)\nSizes: 3-4Y, 5-6Y, 7-8Y, 9-10Y",http://www.myntra.com/tshirts/gkidz/gkidz-boys-pack-of-3-printed-t-shirts/218725/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/images/style/properties/GKIDZ-Boys-Pack-of-3-Printed-T-Shirts_a07aaa27d6f59ea33818783ad3293024_images_mini.jpg",GKIDZ Boys Pack of 3 Printed T-shirts,http://www.myntra.com/tshirts/gkidz/gkidz-boys-pack-of-3-printed-t-shirts/218725/buy?src=search,GKIDZ,http://www.myntra.com/tshirts/gkidz/gkidz-boys-pack-of-3-printed-t-shirts/218725/buy?src=search,Boys Pack of 3 Printed T-shirts,http://www.myntra.com/tshirts/gkidz/gkidz-boys-pack-of-3-printed-t-shirts/218725/buy?src=search,"Rs. 2,097",http://www.myntra.com/tshirts/gkidz/gkidz-boys-pack-of-3-printed-t-shirts/218725/buy?src=search,Rs. 629,http://www.myntra.com/tshirts/gkidz/gkidz-boys-pack-of-3-printed-t-shirts/218725/buy?src=search,(70% off),http://www.myntra.com/tshirts/gkidz/gkidz-boys-pack-of-3-printed-t-shirts/218725/buy?src=search,"Sizes: 3-4Y, 5-6Y, 7-8Y, 9-10Y",http://www.myntra.com/tshirts/gkidz/gkidz-boys-pack-of-3-printed-t-shirts/218725/buy?src=search,3-4Y; 5-6Y; 7-8Y; 9-10Y
http://www.myntra.com/boys-clothing-wsite,"Yellow Kite\nBoys Blue Mid-Rise Clean Look Jeans\nRs. 1,099Rs. 769(30% off)\nSizes: 2-3Y, 3-4Y, 4-5Y, 5-6Y, 6-7Y",http://www.myntra.com/jeans/yellow-kite/yellow-kite-boys-blue-mid-rise-clean-look-jeans/1486089/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1486089/2016/10/21/11477028964218-Yellow-Kite-Boys-Jeans-321477028964009-1_mini.jpg",Yellow Kite Boys Blue Mid-Rise Clean Look Jeans,http://www.myntra.com/jeans/yellow-kite/yellow-kite-boys-blue-mid-rise-clean-look-jeans/1486089/buy?src=search,Yellow Kite,http://www.myntra.com/jeans/yellow-kite/yellow-kite-boys-blue-mid-rise-clean-look-jeans/1486089/buy?src=search,Boys Blue Mid-Rise Clean Look Jeans,http://www.myntra.com/jeans/yellow-kite/yellow-kite-boys-blue-mid-rise-clean-look-jeans/1486089/buy?src=search,"Rs. 1,099",http://www.myntra.com/jeans/yellow-kite/yellow-kite-boys-blue-mid-rise-clean-look-jeans/1486089/buy?src=search,Rs. 769,http://www.myntra.com/jeans/yellow-kite/yellow-kite-boys-blue-mid-rise-clean-look-jeans/1486089/buy?src=search,(30% off),http://www.myntra.com/jeans/yellow-kite/yellow-kite-boys-blue-mid-rise-clean-look-jeans/1486089/buy?src=search,"Sizes: 2-3Y, 3-4Y, 4-5Y, 5-6Y, 6-7Y",http://www.myntra.com/jeans/yellow-kite/yellow-kite-boys-blue-mid-rise-clean-look-jeans/1486089/buy?src=search,2-3Y; 3-4Y; 4-5Y; 5-6Y; 6-7Y
http://www.myntra.com/boys-clothing-wsite,"cool quotient\nBoys Red Printed Hooded Sweatshirt\nRs. 1,099Rs. 549(50% off)\nSizes: 5-6Y, 7-8Y, 9-10Y, 11-12Y, 13-14Y",http://www.myntra.com/sweatshirts/cool-quotient/cool-quotient-boys-red-printed-hooded-sweatshirt/1164025/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1164025/2016/1/13/11452665411841-cool-quotient-Boys-Red-Hooded-Printed-Sweatshirt-5791452665411742-1_mini.jpg",cool quotient Boys Red Printed Hooded Sweatshirt,http://www.myntra.com/sweatshirts/cool-quotient/cool-quotient-boys-red-printed-hooded-sweatshirt/1164025/buy?src=search,cool quotient,http://www.myntra.com/sweatshirts/cool-quotient/cool-quotient-boys-red-printed-hooded-sweatshirt/1164025/buy?src=search,Boys Red Printed Hooded Sweatshirt,http://www.myntra.com/sweatshirts/cool-quotient/cool-quotient-boys-red-printed-hooded-sweatshirt/1164025/buy?src=search,"Rs. 1,099",http://www.myntra.com/sweatshirts/cool-quotient/cool-quotient-boys-red-printed-hooded-sweatshirt/1164025/buy?src=search,Rs. 549,http://www.myntra.com/sweatshirts/cool-quotient/cool-quotient-boys-red-printed-hooded-sweatshirt/1164025/buy?src=search,(50% off),http://www.myntra.com/sweatshirts/cool-quotient/cool-quotient-boys-red-printed-hooded-sweatshirt/1164025/buy?src=search,"Sizes: 5-6Y, 7-8Y, 9-10Y, 11-12Y, 13-14Y",http://www.myntra.com/sweatshirts/cool-quotient/cool-quotient-boys-red-printed-hooded-sweatshirt/1164025/buy?src=search,5-6Y; 7-8Y; 9-10Y; 11-12Y; 13-14Y
