url,Product link,Product link_link,Thumb image,Thumb image_alt,Thumb image_link,Brand value,Brand value_link,Product value,Product value_link,Strike value,Strike value_link,Price value,Price value_link,Discount value,Discount value_link,Sizes value,Sizes value_link,Selectasize values
http://www.myntra.com/girls-clothing-wsite,"naughty ninos\nGirls White & Blue Printed Polyester Balloon Dress\nRs. 1,499Rs. 749(50% off)\nSizes: 2-3Y, 3-4Y, 4-5Y, 5-6Y, 6-7Y, 7-8Y, 8-9Y, 9-10Y, 10-11Y",http://www.myntra.com/dresses/naughty-ninos/naughty-ninos-girls-white--blue-printed-polyester-balloon-dress/1469052/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1469052/2016/8/9/11470742342561-naughty-ninos-Girls-Dresses-2841470742342034-1_mini.jpg",naughty ninos Girls White & Blue Printed Polyester Balloon Dress,http://www.myntra.com/dresses/naughty-ninos/naughty-ninos-girls-white--blue-printed-polyester-balloon-dress/1469052/buy?src=search,naughty ninos,http://www.myntra.com/dresses/naughty-ninos/naughty-ninos-girls-white--blue-printed-polyester-balloon-dress/1469052/buy?src=search,Girls White & Blue Printed Polyester Balloon Dress,http://www.myntra.com/dresses/naughty-ninos/naughty-ninos-girls-white--blue-printed-polyester-balloon-dress/1469052/buy?src=search,"Rs. 1,499",http://www.myntra.com/dresses/naughty-ninos/naughty-ninos-girls-white--blue-printed-polyester-balloon-dress/1469052/buy?src=search,Rs. 749,http://www.myntra.com/dresses/naughty-ninos/naughty-ninos-girls-white--blue-printed-polyester-balloon-dress/1469052/buy?src=search,(50% off),http://www.myntra.com/dresses/naughty-ninos/naughty-ninos-girls-white--blue-printed-polyester-balloon-dress/1469052/buy?src=search,"Sizes: 2-3Y, 3-4Y, 4-5Y, 5-6Y, 6-7Y, 7-8Y, 8-9Y, 9-10Y, 10-11Y",http://www.myntra.com/dresses/naughty-ninos/naughty-ninos-girls-white--blue-printed-polyester-balloon-dress/1469052/buy?src=search,2-3Y; 3-4Y; 4-5Y; 5-6Y; 6-7Y; 7-8Y; 8-9Y; 9-10Y; 10-11Y
http://www.myntra.com/girls-clothing-wsite,"Toy Balloon kids\nGirls Sea Green Fit & Flare Dress\nRs. 2,199Rs. 879(60% off)\nSizes: 2-3Y, 3-4Y, 4-5Y, 5-6Y",http://www.myntra.com/dresses/toy-balloon-kids/toy-balloon-kids-girls-sea-green-fit--flare-dress/1274267/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1274267/2016/3/22/11458637136156-Toy-Balloon-kids-Girls-Sea-Green-Fit--Flare-Dress-6441458637135795-1_mini.jpg",Toy Balloon kids Girls Sea Green Fit & Flare Dress,http://www.myntra.com/dresses/toy-balloon-kids/toy-balloon-kids-girls-sea-green-fit--flare-dress/1274267/buy?src=search,Toy Balloon kids,http://www.myntra.com/dresses/toy-balloon-kids/toy-balloon-kids-girls-sea-green-fit--flare-dress/1274267/buy?src=search,Girls Sea Green Fit & Flare Dress,http://www.myntra.com/dresses/toy-balloon-kids/toy-balloon-kids-girls-sea-green-fit--flare-dress/1274267/buy?src=search,"Rs. 2,199",http://www.myntra.com/dresses/toy-balloon-kids/toy-balloon-kids-girls-sea-green-fit--flare-dress/1274267/buy?src=search,Rs. 879,http://www.myntra.com/dresses/toy-balloon-kids/toy-balloon-kids-girls-sea-green-fit--flare-dress/1274267/buy?src=search,(60% off),http://www.myntra.com/dresses/toy-balloon-kids/toy-balloon-kids-girls-sea-green-fit--flare-dress/1274267/buy?src=search,"Sizes: 2-3Y, 3-4Y, 4-5Y, 5-6Y",http://www.myntra.com/dresses/toy-balloon-kids/toy-balloon-kids-girls-sea-green-fit--flare-dress/1274267/buy?src=search,2-3Y; 3-4Y; 4-5Y; 5-6Y
http://www.myntra.com/girls-clothing-wsite,"Soul Fairy\nGirls Pink Solid A-line Dress\nRs. 1,199Rs. 959(20% off)\nSizes: 5-6Y, 7-8Y, 9-10Y",http://www.myntra.com/dresses/soul-fairy/soul-fairy-girls-pink-solid-a-line-dress/1587828/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1587828/2016/10/14/11476425963147-Soul-Fairy-Girls-Dresses-8621476425963007-1_mini.jpg",Soul Fairy Girls Pink Solid A-line Dress,http://www.myntra.com/dresses/soul-fairy/soul-fairy-girls-pink-solid-a-line-dress/1587828/buy?src=search,Soul Fairy,http://www.myntra.com/dresses/soul-fairy/soul-fairy-girls-pink-solid-a-line-dress/1587828/buy?src=search,Girls Pink Solid A-line Dress,http://www.myntra.com/dresses/soul-fairy/soul-fairy-girls-pink-solid-a-line-dress/1587828/buy?src=search,"Rs. 1,199",http://www.myntra.com/dresses/soul-fairy/soul-fairy-girls-pink-solid-a-line-dress/1587828/buy?src=search,Rs. 959,http://www.myntra.com/dresses/soul-fairy/soul-fairy-girls-pink-solid-a-line-dress/1587828/buy?src=search,(20% off),http://www.myntra.com/dresses/soul-fairy/soul-fairy-girls-pink-solid-a-line-dress/1587828/buy?src=search,"Sizes: 5-6Y, 7-8Y, 9-10Y",http://www.myntra.com/dresses/soul-fairy/soul-fairy-girls-pink-solid-a-line-dress/1587828/buy?src=search,5-6Y; 7-8Y; 9-10Y
http://www.myntra.com/girls-clothing-wsite,"StyleStone\nGirls Blue Printed Fit & Flare Dress\nRs. 1,399Rs. 559(60% off)\nSizes: 2-3Y, 3-4Y, 4-5Y, 5-6Y, 6-7Y, 7-8Y, 8-9Y, 9-10Y",http://www.myntra.com/dresses/stylestone/stylestone-girls-blue-printed-fit--flare-dress/1464400/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1464400/2016/8/29/11472455287499-StyleStone-Girls-Dresses-111472455287375-1_mini.jpg",StyleStone Girls Blue Printed Fit & Flare Dress,http://www.myntra.com/dresses/stylestone/stylestone-girls-blue-printed-fit--flare-dress/1464400/buy?src=search,StyleStone,http://www.myntra.com/dresses/stylestone/stylestone-girls-blue-printed-fit--flare-dress/1464400/buy?src=search,Girls Blue Printed Fit & Flare Dress,http://www.myntra.com/dresses/stylestone/stylestone-girls-blue-printed-fit--flare-dress/1464400/buy?src=search,"Rs. 1,399",http://www.myntra.com/dresses/stylestone/stylestone-girls-blue-printed-fit--flare-dress/1464400/buy?src=search,Rs. 559,http://www.myntra.com/dresses/stylestone/stylestone-girls-blue-printed-fit--flare-dress/1464400/buy?src=search,(60% off),http://www.myntra.com/dresses/stylestone/stylestone-girls-blue-printed-fit--flare-dress/1464400/buy?src=search,"Sizes: 2-3Y, 3-4Y, 4-5Y, 5-6Y, 6-7Y, 7-8Y, 8-9Y, 9-10Y",http://www.myntra.com/dresses/stylestone/stylestone-girls-blue-printed-fit--flare-dress/1464400/buy?src=search,2-3Y; 3-4Y; 4-5Y; 5-6Y; 6-7Y; 7-8Y; 8-9Y; 9-10Y
http://www.myntra.com/girls-clothing-wsite,"naughty ninos\nGirls Black Solid A-line Dress\nRs. 1,299Rs. 649(50% off)\nSizes: 2-3Y, 3-4Y, 4-5Y, 5-6Y, 6-7Y, 7-8Y, 8-9Y, 9-10Y, 10-11Y, 11-12Y",http://www.myntra.com/dresses/naughty-ninos/naughty-ninos-girls-black-solid-a-line-dress/1492937/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1492937/2016/8/26/11472207939091-naughty-ninos-Girls-Dresses-8191472207938961-1_mini.jpg",naughty ninos Girls Black Solid A-line Dress,http://www.myntra.com/dresses/naughty-ninos/naughty-ninos-girls-black-solid-a-line-dress/1492937/buy?src=search,naughty ninos,http://www.myntra.com/dresses/naughty-ninos/naughty-ninos-girls-black-solid-a-line-dress/1492937/buy?src=search,Girls Black Solid A-line Dress,http://www.myntra.com/dresses/naughty-ninos/naughty-ninos-girls-black-solid-a-line-dress/1492937/buy?src=search,"Rs. 1,299",http://www.myntra.com/dresses/naughty-ninos/naughty-ninos-girls-black-solid-a-line-dress/1492937/buy?src=search,Rs. 649,http://www.myntra.com/dresses/naughty-ninos/naughty-ninos-girls-black-solid-a-line-dress/1492937/buy?src=search,(50% off),http://www.myntra.com/dresses/naughty-ninos/naughty-ninos-girls-black-solid-a-line-dress/1492937/buy?src=search,"Sizes: 2-3Y, 3-4Y, 4-5Y, 5-6Y, 6-7Y, 7-8Y, 8-9Y, 9-10Y, 10-11Y, 11-12Y",http://www.myntra.com/dresses/naughty-ninos/naughty-ninos-girls-black-solid-a-line-dress/1492937/buy?src=search,2-3Y; 3-4Y; 4-5Y; 5-6Y; 6-7Y; 7-8Y; 8-9Y; 9-10Y; 10-11Y; 11-12Y
http://www.myntra.com/girls-clothing-wsite,"YK\nGirls Navy Fit & Flare Dress\nRs. 1,599Rs. 959(40% off)\nSizes: 2-3Y, 3-4Y, 4-5Y, 5-6Y, 6-7Y",http://www.myntra.com/dresses/yk/yk-girls-navy-fit--flare-dress/1370061/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1370061/2016/8/22/11471862949472-YK-Girls-Dresses-8231471862949394-1_mini.jpg",YK Girls Navy Fit & Flare Dress,http://www.myntra.com/dresses/yk/yk-girls-navy-fit--flare-dress/1370061/buy?src=search,YK,http://www.myntra.com/dresses/yk/yk-girls-navy-fit--flare-dress/1370061/buy?src=search,Girls Navy Fit & Flare Dress,http://www.myntra.com/dresses/yk/yk-girls-navy-fit--flare-dress/1370061/buy?src=search,"Rs. 1,599",http://www.myntra.com/dresses/yk/yk-girls-navy-fit--flare-dress/1370061/buy?src=search,Rs. 959,http://www.myntra.com/dresses/yk/yk-girls-navy-fit--flare-dress/1370061/buy?src=search,(40% off),http://www.myntra.com/dresses/yk/yk-girls-navy-fit--flare-dress/1370061/buy?src=search,"Sizes: 2-3Y, 3-4Y, 4-5Y, 5-6Y, 6-7Y",http://www.myntra.com/dresses/yk/yk-girls-navy-fit--flare-dress/1370061/buy?src=search,2-3Y; 3-4Y; 4-5Y; 5-6Y; 6-7Y
http://www.myntra.com/girls-clothing-wsite,"naughty ninos\nGirls Navy Printed Jumpsuit\nRs. 1,299Rs. 584(55% off)\nSizes: 2-3Y, 3-4Y, 4-5Y, 5-6Y, 6-7Y, 7-8Y, 8-9Y, 9-10Y, 10-11Y, 11-12Y",http://www.myntra.com/jumpsuit/naughty-ninos/naughty-ninos-girls-navy-printed-jumpsuit/1034120/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1034120/2016/8/23/11471955205462-naughty-ninos-Girls-Navy-Printed-Jumpsuit-1781471955205303-1_mini.jpg",naughty ninos Girls Navy Printed Jumpsuit,http://www.myntra.com/jumpsuit/naughty-ninos/naughty-ninos-girls-navy-printed-jumpsuit/1034120/buy?src=search,naughty ninos,http://www.myntra.com/jumpsuit/naughty-ninos/naughty-ninos-girls-navy-printed-jumpsuit/1034120/buy?src=search,Girls Navy Printed Jumpsuit,http://www.myntra.com/jumpsuit/naughty-ninos/naughty-ninos-girls-navy-printed-jumpsuit/1034120/buy?src=search,"Rs. 1,299",http://www.myntra.com/jumpsuit/naughty-ninos/naughty-ninos-girls-navy-printed-jumpsuit/1034120/buy?src=search,Rs. 584,http://www.myntra.com/jumpsuit/naughty-ninos/naughty-ninos-girls-navy-printed-jumpsuit/1034120/buy?src=search,(55% off),http://www.myntra.com/jumpsuit/naughty-ninos/naughty-ninos-girls-navy-printed-jumpsuit/1034120/buy?src=search,"Sizes: 2-3Y, 3-4Y, 4-5Y, 5-6Y, 6-7Y, 7-8Y, 8-9Y, 9-10Y, 10-11Y, 11-12Y",http://www.myntra.com/jumpsuit/naughty-ninos/naughty-ninos-girls-navy-printed-jumpsuit/1034120/buy?src=search,2-3Y; 3-4Y; 4-5Y; 5-6Y; 6-7Y; 7-8Y; 8-9Y; 9-10Y; 10-11Y; 11-12Y
http://www.myntra.com/girls-clothing-wsite,"Toy Balloon kids\nGirls Red & Black A-Line Dress\nRs. 2,299Rs. 919(60% off)\nSizes: 2-3Y, 3-4Y, 4-5Y, 5-6Y, 6-7Y",http://www.myntra.com/dresses/toy-balloon-kids/toy-balloon-kids-girls-red--black-a-line-dress/1428086/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1428086/2016/7/12/11468317328516-Toy-Balloon-kids-Girls-Red--Black-A-line-Dress-6961468317328273-1_mini.jpg",Toy Balloon kids Girls Red & Black A-Line Dress,http://www.myntra.com/dresses/toy-balloon-kids/toy-balloon-kids-girls-red--black-a-line-dress/1428086/buy?src=search,Toy Balloon kids,http://www.myntra.com/dresses/toy-balloon-kids/toy-balloon-kids-girls-red--black-a-line-dress/1428086/buy?src=search,Girls Red & Black A-Line Dress,http://www.myntra.com/dresses/toy-balloon-kids/toy-balloon-kids-girls-red--black-a-line-dress/1428086/buy?src=search,"Rs. 2,299",http://www.myntra.com/dresses/toy-balloon-kids/toy-balloon-kids-girls-red--black-a-line-dress/1428086/buy?src=search,Rs. 919,http://www.myntra.com/dresses/toy-balloon-kids/toy-balloon-kids-girls-red--black-a-line-dress/1428086/buy?src=search,(60% off),http://www.myntra.com/dresses/toy-balloon-kids/toy-balloon-kids-girls-red--black-a-line-dress/1428086/buy?src=search,"Sizes: 2-3Y, 3-4Y, 4-5Y, 5-6Y, 6-7Y",http://www.myntra.com/dresses/toy-balloon-kids/toy-balloon-kids-girls-red--black-a-line-dress/1428086/buy?src=search,2-3Y; 3-4Y; 4-5Y; 5-6Y; 6-7Y
http://www.myntra.com/girls-clothing-wsite,"Peaches\nGirls Pink Fit & Flare Dress\nRs. 2,250Rs. 1,800(20% off)\nSizes: 1-2Y, 2-3Y, 5-6Y, 6-7Y, 7-8Y, 8-9Y, 9-10Y, 10-11Y, 11-12Y, 12-13Y",http://www.myntra.com/dresses/peaches/peaches-girls-pink-fit--flare-dress/1053986/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1053986/2015/11/2/11446453960985-Peaches-Girls-Dresses-2691446453960758-1_mini.jpg",Peaches Girls Pink Fit & Flare Dress,http://www.myntra.com/dresses/peaches/peaches-girls-pink-fit--flare-dress/1053986/buy?src=search,Peaches,http://www.myntra.com/dresses/peaches/peaches-girls-pink-fit--flare-dress/1053986/buy?src=search,Girls Pink Fit & Flare Dress,http://www.myntra.com/dresses/peaches/peaches-girls-pink-fit--flare-dress/1053986/buy?src=search,"Rs. 2,250",http://www.myntra.com/dresses/peaches/peaches-girls-pink-fit--flare-dress/1053986/buy?src=search,"Rs. 1,800",http://www.myntra.com/dresses/peaches/peaches-girls-pink-fit--flare-dress/1053986/buy?src=search,(20% off),http://www.myntra.com/dresses/peaches/peaches-girls-pink-fit--flare-dress/1053986/buy?src=search,"Sizes: 1-2Y, 2-3Y, 5-6Y, 6-7Y, 7-8Y, 8-9Y, 9-10Y, 10-11Y, 11-12Y, 12-13Y",http://www.myntra.com/dresses/peaches/peaches-girls-pink-fit--flare-dress/1053986/buy?src=search,1-2Y; 2-3Y; 5-6Y; 6-7Y; 7-8Y; 8-9Y; 9-10Y; 10-11Y; 11-12Y; 12-13Y
http://www.myntra.com/girls-clothing-wsite,"Nauti Nati\nGirls Black Sequinned A-line Dress\nRs. 1,795Rs. 1,077(40% off)\nSizes: 4Y, 5Y, 6Y, 7Y, 8Y",http://www.myntra.com/dresses/nauti-nati/nauti-nati-girls-black-sequinned-a-line-dress/1524936/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1524936/2016/10/14/11476444703267-Nauti-Nati-Girls-Black-Solid-A-line-Dress-221476444703147-1_mini.jpg",Nauti Nati Girls Black Sequinned A-line Dress,http://www.myntra.com/dresses/nauti-nati/nauti-nati-girls-black-sequinned-a-line-dress/1524936/buy?src=search,Nauti Nati,http://www.myntra.com/dresses/nauti-nati/nauti-nati-girls-black-sequinned-a-line-dress/1524936/buy?src=search,Girls Black Sequinned A-line Dress,http://www.myntra.com/dresses/nauti-nati/nauti-nati-girls-black-sequinned-a-line-dress/1524936/buy?src=search,"Rs. 1,795",http://www.myntra.com/dresses/nauti-nati/nauti-nati-girls-black-sequinned-a-line-dress/1524936/buy?src=search,"Rs. 1,077",http://www.myntra.com/dresses/nauti-nati/nauti-nati-girls-black-sequinned-a-line-dress/1524936/buy?src=search,(40% off),http://www.myntra.com/dresses/nauti-nati/nauti-nati-girls-black-sequinned-a-line-dress/1524936/buy?src=search,"Sizes: 4Y, 5Y, 6Y, 7Y, 8Y",http://www.myntra.com/dresses/nauti-nati/nauti-nati-girls-black-sequinned-a-line-dress/1524936/buy?src=search,4Y; 5Y; 6Y; 7Y; 8Y
