url,Product link,Thumb image,Brand value,Product value,Strike value,Price value,Discount value,Sizes value,Selectasize values
http://www.myntra.com/men-accessories,"NOISE\nUnisex Black Impulse Bluetooth Smart Watch\nRs. 4,999Rs. 3,999(20% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1135435/2015/12/23/11450851981954-NOISE-Unisex-Smart-Watches-5151450851981723-1_mini.jpg",NOISE,Unisex Black Impulse Bluetooth Smart Watch,"Rs. 4,999","Rs. 3,999",(20% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-accessories,"Camerii\nMen Black Dial Watch WM155\nRs. 1,299Rs. 519(60% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/979809/2016/6/13/11465803307146-Camerii-Men-Black-Dial-Watch-WM155-2111465803307049-1_mini.jpg",Camerii,Men Black Dial Watch WM155,"Rs. 1,299",Rs. 519,(60% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-accessories,Puma\nMen Set of 3 Socks\nRs. 449Rs. 314(30% off)\nSizes: 6-9,"http://assets.myntassets.com/h_240,q_95,w_180/v1/images/style/properties/Puma-Men-Set-of-3-Socks_c650fa8f04c057ce2af940fd8f9e399a_images_mini.jpg",Puma,Men Set of 3 Socks,Rs. 449,Rs. 314,(30% off),Sizes: 6-9,6-9
http://www.myntra.com/men-accessories,"AMERICAN TOURISTER\nUnisex Blue Printed Backpack\nRs. 1,250Rs. 750(40% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1469555/2016/8/22/11471861282482-AMERICAN-TOURISTER-Unisex-Backpacks-4371471861282204-1_mini.jpg",AMERICAN TOURISTER,Unisex Blue Printed Backpack,"Rs. 1,250",Rs. 750,(40% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-accessories,"Nike\nUnisex Black & Green Alph Adpt Backpack\nRs. 3,295Rs. 1,977(40% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1421513/2016/7/25/11469439571342-Nike-Unisex-Backpacks-9361469439570129-1_mini.jpg",Nike,Unisex Black & Green Alph Adpt Backpack,"Rs. 3,295","Rs. 1,977",(40% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-accessories,"Tommy Hilfiger\nUnisex Navy & Red Laptop Backpack\nRs. 1,999Rs. 1,399(30% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1491171/2016/9/23/11474624052001-Tommy-Hilfiger-Unisex-Backpacks-3281474624051730-1_mini.jpg",Tommy Hilfiger,Unisex Navy & Red Laptop Backpack,"Rs. 1,999","Rs. 1,399",(30% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-accessories,"Ray-Ban\nMen Rectangular Sunglasses\nRs. 4,990Rs. 2,994(40% off)\nSizes: 55","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1494389/2016/9/29/11475141329896-Ray-Ban-Men-Rectangular-Sunglasses-7681475141329674-1_mini.jpg",Ray-Ban,Men Rectangular Sunglasses,"Rs. 4,990","Rs. 2,994",(40% off),Sizes: 55,55
http://www.myntra.com/men-accessories,"Skybags\nUnisex Navy Dunk 02 Laptop Backpack\nRs. 2,490Rs. 1,494(40% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1484015/2016/9/30/11475235075492-Skybags-Unisex-Navy-Dunk-02-Laptop-Backpack-6961475235074977-1_mini.jpg",Skybags,Unisex Navy Dunk 02 Laptop Backpack,"Rs. 2,490","Rs. 1,494",(40% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-accessories,"Fastrack\nMen Silver-Toned Dial Chronograph Watch 38006PP01J\nRs. 3,995Rs. 1,997(50% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1493290/2016/9/22/11474539129490-Fastrack-Men-Silver-Toned-Dial-Chronograph-Watch-38006PP01J-9221474539129434-1_mini.jpg",Fastrack,Men Silver-Toned Dial Chronograph Watch 38006PP01J,"Rs. 3,995","Rs. 1,997",(50% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-accessories,"Puma\nUnisex Black Graphic Backpack\nRs. 1,599Rs. 879(45% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/810602/2016/9/27/11474962918148-PUMA-Unisex-Black-Graphic-Backpack-9281474962918101-1_mini.jpg",Puma,Unisex Black Graphic Backpack,"Rs. 1,599",Rs. 879,(45% off),Sizes: Onesize,Onesize
