url,Product link,Thumb image,Brand value,Product value,Strike value,Price value,Discount value,Sizes description
http://www.myntra.com/men-bottomwear,"Campus Sutra\nBlack Track Pants\nRs. 1,399Rs. 699(50% off)\nSizes: M, L, XL","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1310983/2016/4/19/11461041891935-Campus-Sutra-Black-Track-Pants-4871461041891055-1_mini.jpg",Campus Sutra,Black Track Pants,"Rs. 1,399",Rs. 699,(50% off),"Sizes: M, L, XL"
http://www.myntra.com/men-bottomwear,"Nike\nGrey AS Team Woven Training Track Pants\nRs. 2,195Rs. 1,317(40% off)\nSizes: S, M, L, XL","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1110644/2016/7/8/11467982387091-Nike-Grey-AS-Team-Woven-Training-Track-Pants-7171467982386489-1_mini.jpg",Nike,Grey AS Team Woven Training Track Pants,"Rs. 2,195","Rs. 1,317",(40% off),"Sizes: S, M, L, XL"
http://www.myntra.com/men-bottomwear,"Levis\nLevi's Blue Slim Straight Fit 513 Jeans\nRs. 2,999Rs. 1,949(35% off)\nSizes: 28, 30, 32, 34, 36, 38","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1209926/2016/3/16/11458119364080-Levis-Blue-Slim-Straight-Jeans-1561458119363436-1_mini.jpg",Levis,Levi's Blue Slim Straight Fit 513 Jeans,"Rs. 2,999","Rs. 1,949",(35% off),"Sizes: 28, 30, 32, 34, 36, 38"
http://www.myntra.com/men-bottomwear,"HIGHLANDER\nMen Black Slim Fit Mid-Rise Jeans\nRs. 999Rs. 699(30% off)\nSizes: 30, 32, 34, 36, 38","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1456039/2016/8/11/11470903515896-HIGHLANDER-Men-Black-Slim-Fit-Mid-Rise-Clean-Look-Jeans-1801470903515611-1_mini.jpg",HIGHLANDER,Men Black Slim Fit Mid-Rise Jeans,Rs. 999,Rs. 699,(30% off),"Sizes: 30, 32, 34, 36, 38"
http://www.myntra.com/men-bottomwear,"2go ACTIVE GEAR USA\nCharcoal Grey Track Pants\nRs. 999Rs. 449(55% off)\nSizes: S, M, L, XL, XXL","http://assets.myntassets.com/h_240,q_95,w_180/v1/image/style/properties/944685/2go-ACTIVE-GEAR-USA-Charcoal-Grey-Tapered-Fit-Track-Pants_1_f2c2b98a3ba38f2f538b5ef04597496d_mini.jpg",2go ACTIVE GEAR USA,Charcoal Grey Track Pants,Rs. 999,Rs. 449,(55% off),"Sizes: S, M, L, XL, XXL"
http://www.myntra.com/men-bottomwear,"Roadster\nMen Olive Green Chino Trousers\nRs. 1,399Rs. 979(30% off)\nSizes: 28, 30, 32, 34, 36","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1327260/2016/9/1/11472710641080-Roadster-Men-Olive-Solid-Regular-Fit-Chinos-6741472710640819-1_mini.jpg",Roadster,Men Olive Green Chino Trousers,"Rs. 1,399",Rs. 979,(30% off),"Sizes: 28, 30, 32, 34, 36"
http://www.myntra.com/men-bottomwear,"WROGN\nNavy Skinny Fit Jeans\nRs. 2,199Rs. 1,759(20% off)\nSizes: 28, 30, 32, 34, 36","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1427623/2016/8/10/11470821276944-WROGN-Navy-Skinny-Fit-Jeans-3431470821276557-1_mini.jpg",WROGN,Navy Skinny Fit Jeans,"Rs. 2,199","Rs. 1,759",(20% off),"Sizes: 28, 30, 32, 34, 36"
http://www.myntra.com/men-bottomwear,"Lawman pg3\nMen Blue Slim Fit Jeans\nRs. 2,399Rs. 1,079(55% off)\nSizes: 30, 32, 34, 36, 38","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1431350/2016/8/16/11471351332388-Lawman-pg3-Men-Blue-Slim-Fit-Mid-Rise-Clean-Look-Jeans-461471351332495-1_mini.jpg",Lawman pg3,Men Blue Slim Fit Jeans,"Rs. 2,399","Rs. 1,079",(55% off),"Sizes: 30, 32, 34, 36, 38"
http://www.myntra.com/men-bottomwear,"Roadster\nBlue Washed Slim Fit Jeans\nRs. 2,099Rs. 1,469(30% off)\nSizes: 28, 32, 34, 36","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1117576/2016/9/1/11472726174634-Roadster-Blue-Washed-Slim-Fit-Jeans-4021472726174227-1_mini.jpg",Roadster,Blue Washed Slim Fit Jeans,"Rs. 2,099","Rs. 1,469",(30% off),"Sizes: 28, 32, 34, 36"
http://www.myntra.com/men-bottomwear,"HIGHLANDER\nBlue Slim Fit Jeans\nRs. 999Rs. 699(30% off)\nSizes: 30, 32, 34, 36, 38","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1265377/2016/5/3/11462265659075-Highlander-Blue-Slim-Fit-Jeans-5141462265658822-1_mini.jpg",HIGHLANDER,Blue Slim Fit Jeans,Rs. 999,Rs. 699,(30% off),"Sizes: 30, 32, 34, 36, 38"
