,Product link,Product link_link,Thumb image,Thumb image_alt,Brand value,Product value,Strike value,Price value,Discount value,Sizes value
,"Rigo\nNavy & White Striped Smart Fit T-shirt\nRs. 799Rs. 639(20% off)\nSizes: S, M, L, XL, XXL",http://www.myntra.com/tshirts/rigo/rigo-navy--white-striped-smart-fit-t-shirt/1484688/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1484688/2016/8/22/11471867769455-Rigo-Navy--White-Striped-Smart-Fit-T-shirt-6161471867769017-1_mini.jpg",Rigo Navy & White Striped Smart Fit T-shirt,Rigo,Navy & White Striped Smart Fit T-shirt,Rs. 799,Rs. 639,(20% off),"Sizes: S, M, L, XL, XXL"
,"ELABORADO\nMen Black T-shirt\nRs. 799Rs. 479(40% off)\nSizes: S, M, L, XL, XXL",http://www.myntra.com/tshirts/elaborado/elaborado-men-black-t-shirt/560433/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/image/style/properties/560433/ELABORADO-Men-Black-T-shirt_1_2010376f80fc4a65f4baac2f8c39082a_mini.jpg",ELABORADO Men Black T-shirt,ELABORADO,Men Black T-shirt,Rs. 799,Rs. 479,(40% off),"Sizes: S, M, L, XL, XXL"
,"Nike\nBlue FCB Jacket\nRs. 5,495Rs. 3,297(40% off)\nSizes: S, L, XL, XXL",http://www.myntra.com/jackets/nike/nike-blue-fcb-jacket/1421384/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1421384/2016/7/26/11469508730340-Nike-Blue-FCB-Jacket-8201469508728312-1_mini.jpg",Nike Blue FCB Jacket,Nike,Blue FCB Jacket,"Rs. 5,495","Rs. 3,297",(40% off),"Sizes: S, L, XL, XXL"
,"Roadster\nCream-Coloured & Maroon Striped Sweater\nRs. 1,499Rs. 1,049(30% off)\nSizes: S, M, L, XL",http://www.myntra.com/sweaters/roadster/roadster-cream-coloured--maroon-striped-sweater/1284601/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1284601/2016/7/28/11469696528695-Roadster-Cream-Coloured--Maroon-Striped-Sweater-3491469696528459-1_mini.jpg",Roadster Cream-Coloured & Maroon Striped Sweater,Roadster,Cream-Coloured & Maroon Striped Sweater,"Rs. 1,499","Rs. 1,049",(30% off),"Sizes: S, M, L, XL"
,"Adidas\nMen Black Jacket\nRs. 2,999Rs. 2,099(30% off)\nSizes: S, M, L, XL, XXL",http://www.myntra.com/jackets/adidas/adidas-men-black-jacket/370424/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/images/style/properties/Adidas-Men-Black-Jacket_1f0f1d97c8a57418fe97e11e9b5aa38b_images_mini.jpg",Adidas Men Black Jacket,Adidas,Men Black Jacket,"Rs. 2,999","Rs. 2,099",(30% off),"Sizes: S, M, L, XL, XXL"
,"Puma\nBlack Hero FZ Hooded Jacket\nRs. 2,999Rs. 2,099(30% off)\nSizes: S, M, L, XL, XXL",http://www.myntra.com/jackets/puma/puma-black-hero-fz-hooded-jacket/1489315/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1489315/2016/10/21/11477047160122-PUMA-Black-Hero-FZ-Hooded-Jacket-2011477047159616-1_mini.jpg",PUMA Black Hero FZ Hooded Jacket,Puma,Black Hero FZ Hooded Jacket,"Rs. 2,999","Rs. 2,099",(30% off),"Sizes: S, M, L, XL, XXL"
,"Flying Machine\nBlack Cardigan\nRs. 2,199Rs. 1,099(50% off)\nSizes: S, L, XL, XXL",http://www.myntra.com/sweaters/flying-machine/flying-machine-black-cardigan/1044929/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1044929/2015/11/24/11448355873515-Flying-Machine-Black-Cardigan-3811448355873024-1_mini.jpg",Flying Machine Black Cardigan,Flying Machine,Black Cardigan,"Rs. 2,199","Rs. 1,099",(50% off),"Sizes: S, L, XL, XXL"
,"Nike\nBlue Tribute Track Jacket\nRs. 3,195\nSizes: S, M, L, XL, XXL",http://www.myntra.com/jackets/nike/nike-blue-tribute-track-jacket/1588783/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1588783/2016/10/21/11477038672397-Nike-Men-Jackets-6651477038672182-1_mini.jpg",Nike Blue Tribute Track Jacket,Nike,Blue Tribute Track Jacket,,"Rs. 3,195",,"Sizes: S, M, L, XL, XXL"
,"Roadster\nMen Black & Blue Regular Fit Checked Casual Shirt\nRs. 1,299Rs. 649(50% off)\nSizes: 38, 40, 44, 46",http://www.myntra.com/shirts/roadster/roadster-men-black--blue-regular-fit-checked-casual-shirt/1376223/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1376223/2016/10/15/11476525181831-Roadster-Men-Black-Regular-Fit-Checked-Casual-Shirt-3991476525181494-1_mini.jpg",Roadster Men Black & Blue Regular Fit Checked Casual Shirt,Roadster,Men Black & Blue Regular Fit Checked Casual Shirt,"Rs. 1,299",Rs. 649,(50% off),"Sizes: 38, 40, 44, 46"
,"Roadster\nMaroon & Navy Reversible Quilted Bomber Jacket\nRs. 2,599Rs. 1,559(40% off)\nSizes: M, L, XL, XXL",http://www.myntra.com/jackets/roadster/roadster-maroon--navy-reversible-quilted-bomber-jacket/1279417/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1279417/2016/7/28/11469708466137-Roadster-Maroon--Navy-Reversible-Quilted-Bomber-Jacket-3631469708465817-1_mini.jpg",Roadster Maroon & Navy Reversible Quilted Bomber Jacket,Roadster,Maroon & Navy Reversible Quilted Bomber Jacket,"Rs. 2,599","Rs. 1,559",(40% off),"Sizes: M, L, XL, XXL"
