url,Product link,Thumb image,Brand value,Product value,Strike value,Price value,Discount value,Sizes value,Selectasize values
http://www.myntra.com/men-footwear,"Reebok\nMen Navy Blue & Grey Ultra Speed Printed Running Shoes\nRs. 3,999Rs. 2,399(40% off)\nSizes: 6, 7, 8, 9, 11","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1502517/2016/9/20/11474378273464-Reebok-Men-Sports-Shoes-1691474378273413-1_mini.jpg",Reebok,Men Navy Blue & Grey Ultra Speed Printed Running Shoes,"Rs. 3,999","Rs. 2,399",(40% off),"Sizes: 6, 7, 8, 9, 11",6; 7; 8; 9; 11
http://www.myntra.com/men-footwear,"Adidas NEO\nMen White Derby Vulc Leather Sneakers\nRs. 5,599Rs. 3,359(40% off)\nSizes: 6, 7, 9, 10, 11","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1501316/2016/9/22/11474533596564-Adidas-NEO-Men-White-Derby-Vulc-Leather-Sneakers-4541474533596346-1_mini.jpg",Adidas NEO,Men White Derby Vulc Leather Sneakers,"Rs. 5,599","Rs. 3,359",(40% off),"Sizes: 6, 7, 9, 10, 11",6; 7; 9; 10; 11
http://www.myntra.com/men-footwear,"Nike\nMen Blue Air Relentless 6 MSL Running Shoes\nRs. 5,995Rs. 3,597(40% off)\nSizes: 5.5, 6, 7, 8, 9, 10, 11, 12","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1421010/2016/7/13/11468396958828-Nike-Men-Blue-Air-Relentless-6-MSL-Running-Shoes-9161468396958567-1_mini.jpg",Nike,Men Blue Air Relentless 6 MSL Running Shoes,"Rs. 5,995","Rs. 3,597",(40% off),"Sizes: 5.5, 6, 7, 8, 9, 10, 11, 12",5.5; 6; 7; 8; 9; 10; 11; 12
http://www.myntra.com/men-footwear,"Puma\nMen Black Atom III DP Running Shoes\nRs. 2,799Rs. 1,959(30% off)\nSizes: 6, 7, 8, 9, 10, 11","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1434911/2016/7/22/11469168935509-Puma-Men-Sports-Shoes-9341469168934925-1_mini.jpg",Puma,Men Black Atom III DP Running Shoes,"Rs. 2,799","Rs. 1,959",(30% off),"Sizes: 6, 7, 8, 9, 10, 11",6; 7; 8; 9; 10; 11
http://www.myntra.com/men-footwear,"HRX by Hrithik Roshan\nMen Navy Running Shoes\nRs. 3,499Rs. 2,099(40% off)\nSizes: 6, 7, 8, 9, 10, 11","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1397244/2016/9/28/11475050887223-HRX-by-Hrithik-Roshan-Men-Sports-Shoes-6051475050886946-1_mini.jpg",HRX by Hrithik Roshan,Men Navy Running Shoes,"Rs. 3,499","Rs. 2,099",(40% off),"Sizes: 6, 7, 8, 9, 10, 11",6; 7; 8; 9; 10; 11
http://www.myntra.com/men-footwear,"Mast & Harbour\nMen White Sneakers\nRs. 2,299Rs. 1,379(40% off)\nSizes: 6, 7, 8, 9, 10, 11","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1416272/2016/7/20/11469012105783-Mast--Harbour-Men-White-Sneakers-5821469012105245-1_mini.jpg",Mast & Harbour,Men White Sneakers,"Rs. 2,299","Rs. 1,379",(40% off),"Sizes: 6, 7, 8, 9, 10, 11",6; 7; 8; 9; 10; 11
http://www.myntra.com/men-footwear,"Reebok\nMen Black Super Lite 2.0 Running Shoes\nRs. 3,299Rs. 1,979(40% off)\nSizes: 6, 7, 8, 9, 10, 11","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1433251/2016/8/8/11470638026006-Reebok-Men-Black-Super-Lite-20-Running-Shoes-1271470638025850-1_mini.jpg",Reebok,Men Black Super Lite 2.0 Running Shoes,"Rs. 3,299","Rs. 1,979",(40% off),"Sizes: 6, 7, 8, 9, 10, 11",6; 7; 8; 9; 10; 11
http://www.myntra.com/men-footwear,"Clarks\nMen Navy Suede Loafers\nRs. 4,999Rs. 1,999(60% off)\nSizes: 7, 8, 8.5, 9, 9.5, 10, 10.5","http://assets.myntassets.com/h_240,q_95,w_180/v1/images/style/properties/Clarks-Men-Navy-Suede-Loafers_f83a425800eb6c489ef4d90dff90405a_images_mini.jpg",Clarks,Men Navy Suede Loafers,"Rs. 4,999","Rs. 1,999",(60% off),"Sizes: 7, 8, 8.5, 9, 9.5, 10, 10.5",7; 8; 8.5; 9; 9.5; 10; 10.5
http://www.myntra.com/men-footwear,"Nike\nMen Black Air Max Emergent Basketball Shoes\nRs. 6,995Rs. 4,197(40% off)\nSizes: 6, 7, 8, 9, 10, 11","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1267353/2016/4/15/11460715814121-Nike-Men-Sports-Shoes-2291460715813676-1_mini.jpg",Nike,Men Black Air Max Emergent Basketball Shoes,"Rs. 6,995","Rs. 4,197",(40% off),"Sizes: 6, 7, 8, 9, 10, 11",6; 7; 8; 9; 10; 11
http://www.myntra.com/men-footwear,"Puma\nMen Grey Splendor DP Running Shoes\nRs. 2,899Rs. 2,029(30% off)\nSizes: 6, 7, 8, 9, 10, 11","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1434914/2016/7/22/11469168946365-Puma-Men-Sports-Shoes-2491469168946469-1_mini.jpg",Puma,Men Grey Splendor DP Running Shoes,"Rs. 2,899","Rs. 2,029",(30% off),"Sizes: 6, 7, 8, 9, 10, 11",6; 7; 8; 9; 10; 11
