url,Product link,Thumb image,Brand value,Product value,Strike value,Price value,Discount value,Sizes value,Selectasize value
http://www.myntra.com/men-watches-wearables-menu,"NOISE\nUnisex Black Impulse Bluetooth Smart Watch\nRs. 4,999Rs. 3,999(20% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1135435/2015/12/23/11450851981954-NOISE-Unisex-Smart-Watches-5151450851981723-1_mini.jpg",NOISE,Unisex Black Impulse Bluetooth Smart Watch,"Rs. 4,999","Rs. 3,999",(20% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"Camerii\nMen Black Dial Watch WM155\nRs. 1,299Rs. 519(60% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/979809/2016/6/13/11465803307146-Camerii-Men-Black-Dial-Watch-WM155-2111465803307049-1_mini.jpg",Camerii,Men Black Dial Watch WM155,"Rs. 1,299",Rs. 519,(60% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"Fastrack\nMen Silver-Toned Dial Chronograph Watch 38006PP01J\nRs. 3,995Rs. 1,997(50% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1493290/2016/9/22/11474539129490-Fastrack-Men-Silver-Toned-Dial-Chronograph-Watch-38006PP01J-9221474539129434-1_mini.jpg",Fastrack,Men Silver-Toned Dial Chronograph Watch 38006PP01J,"Rs. 3,995","Rs. 1,997",(50% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"CASIO\nEDIFICE EX209 EQB-500D-1ADR\nRs. 20,995\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/527255/2016/2/12/11455275168663-CASIO-Edifice-Men-Black-Dial-Chronograph-Watch-EX209-6651455275168225-1_mini.jpg",CASIO,EDIFICE EX209 EQB-500D-1ADR,,"Rs. 20,995",,Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"Roadster\nMen Brown Dial Watch RD13-B\nRs. 2,399Rs. 1,199(50% off)\nSizes: ONESIZE","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1487826/2016/10/28/11477652700154-Roadster-Men-Brown-Dial-Watch-RD13-B-2871477652699839-1_mini.jpg",Roadster,Men Brown Dial Watch RD13-B,"Rs. 2,399","Rs. 1,199",(50% off),Sizes: ONESIZE,ONESIZE
http://www.myntra.com/men-watches-wearables-menu,"Sonata\nMen Black Superfiber Anadigital Chronograph Watch NH77028PP03J\nRs. 2,299Rs. 1,379(40% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1498257/2016/9/27/11474972862035-Sonata-Men-Black-Superfiber-Anadigital-Chronograph-Watch-NH77028PP03J-7531474972861844-1_mini.jpg",Sonata,Men Black Superfiber Anadigital Chronograph Watch NH77028PP03J,"Rs. 2,299","Rs. 1,379",(40% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"Nucleus\nMen Black Dial Watch NLG2BB\nRs. 6,500Rs. 5,200(20% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1444836/2016/8/26/11472192421017-Nucleus-Men-Black-Dial-Watch-NLG2BB-2771472192420889-1_mini.jpg",Nucleus,Men Black Dial Watch NLG2BB,"Rs. 6,500","Rs. 5,200",(20% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"Roadster\nMen Taupe Dial Watch MFBRD22-C\nRs. 2,499Rs. 1,249(50% off)\nSizes: ONESIZE","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1548740/2016/10/13/11476354902971-Roadster-Men-Taupe-Dial-Watch-MFBRD22-C-1671476354902816-1_mini.jpg",Roadster,Men Taupe Dial Watch MFBRD22-C,"Rs. 2,499","Rs. 1,249",(50% off),Sizes: ONESIZE,ONESIZE
http://www.myntra.com/men-watches-wearables-menu,"Camerii\nMen Black Dial Watch WM191\nRs. 1,199Rs. 479(60% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/image/style/properties/1028297/Camerii-Men-Watches_1_48728f6cd7bd266cad5b2f518dd98cb2_mini.jpg",Camerii,Men Black Dial Watch WM191,"Rs. 1,199",Rs. 479,(60% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"Fastrack\nMen Teal Green Dial Chronograph Watch 3111SL02\nRs. 4,795Rs. 2,397(50% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1493282/2016/9/22/11474535505992-Fastrack-Men-Teal-green-Dial-Chronograph-Watch-3111SL02-6661474535505383-1_mini.jpg",Fastrack,Men Teal Green Dial Chronograph Watch 3111SL02,"Rs. 4,795","Rs. 2,397",(50% off),Sizes: Onesize,Onesize
