url,Product link,Product link_link,Thumb image,Thumb image_alt,Thumb image_link,Brand value,Brand value_link,Product value,Product value_link,Strike value,Strike value_link,Price value,Price value_link,Discount value,Discount value_link,Sizes value,Sizes value_link,Selectasize values
http://www.myntra.com/women-accessories,"Cameleon\nProfessional Makeup Kit\nRs. 2,599Rs. 1,169(Rs. 1,429 off)\nSizes: 87, 24GM",http://www.myntra.com/beauty-product-set/cameleon/cameleon-professional-makeup-kit/1257250/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1257250/2016/3/11/11457677628833-Cameleon-Women-Beauty-Product-Set-1061457677628603-1_mini.jpg",Cameleon Professional Makeup Kit,http://www.myntra.com/beauty-product-set/cameleon/cameleon-professional-makeup-kit/1257250/buy?src=search,Cameleon,http://www.myntra.com/beauty-product-set/cameleon/cameleon-professional-makeup-kit/1257250/buy?src=search,Professional Makeup Kit,http://www.myntra.com/beauty-product-set/cameleon/cameleon-professional-makeup-kit/1257250/buy?src=search,"Rs. 2,599",http://www.myntra.com/beauty-product-set/cameleon/cameleon-professional-makeup-kit/1257250/buy?src=search,"Rs. 1,169",http://www.myntra.com/beauty-product-set/cameleon/cameleon-professional-makeup-kit/1257250/buy?src=search,"(Rs. 1,429 off)",http://www.myntra.com/beauty-product-set/cameleon/cameleon-professional-makeup-kit/1257250/buy?src=search,"Sizes: 87, 24GM",http://www.myntra.com/beauty-product-set/cameleon/cameleon-professional-makeup-kit/1257250/buy?src=search,"87,24GM"
http://www.myntra.com/women-accessories,"Lavie\nCream-Coloured Shoulder Bag with Metallic Studs\nRs. 4,760Rs. 1,904(Rs. 2,856 off)\nSizes: Onesize",http://www.myntra.com/handbags/lavie/lavie-cream-coloured-shoulder-bag-with-metallic-studs/1467179/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1467179/2016/9/15/11473937692915-Lavie-Women-Handbags-2721473937692661-1_mini.jpg",Lavie Cream-Coloured Shoulder Bag with Metallic Studs,http://www.myntra.com/handbags/lavie/lavie-cream-coloured-shoulder-bag-with-metallic-studs/1467179/buy?src=search,Lavie,http://www.myntra.com/handbags/lavie/lavie-cream-coloured-shoulder-bag-with-metallic-studs/1467179/buy?src=search,Cream-Coloured Shoulder Bag with Metallic Studs,http://www.myntra.com/handbags/lavie/lavie-cream-coloured-shoulder-bag-with-metallic-studs/1467179/buy?src=search,"Rs. 4,760",http://www.myntra.com/handbags/lavie/lavie-cream-coloured-shoulder-bag-with-metallic-studs/1467179/buy?src=search,"Rs. 1,904",http://www.myntra.com/handbags/lavie/lavie-cream-coloured-shoulder-bag-with-metallic-studs/1467179/buy?src=search,"(Rs. 2,856 off)",http://www.myntra.com/handbags/lavie/lavie-cream-coloured-shoulder-bag-with-metallic-studs/1467179/buy?src=search,Sizes: Onesize,http://www.myntra.com/handbags/lavie/lavie-cream-coloured-shoulder-bag-with-metallic-studs/1467179/buy?src=search,Onesize
http://www.myntra.com/women-accessories,"DressBerry\nPink Iridescent Box Clutch\nRs. 1,799Rs. 899(50% off)\nSizes: Onesize",http://www.myntra.com/clutches/dressberry/dressberry-pink-iridescent-box-clutch/1459525/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1459525/2016/10/20/11476939108128-DressBerry-Women-Clutches-4271476939107773-1_mini.jpg",DressBerry Pink Iridescent Box Clutch,http://www.myntra.com/clutches/dressberry/dressberry-pink-iridescent-box-clutch/1459525/buy?src=search,DressBerry,http://www.myntra.com/clutches/dressberry/dressberry-pink-iridescent-box-clutch/1459525/buy?src=search,Pink Iridescent Box Clutch,http://www.myntra.com/clutches/dressberry/dressberry-pink-iridescent-box-clutch/1459525/buy?src=search,"Rs. 1,799",http://www.myntra.com/clutches/dressberry/dressberry-pink-iridescent-box-clutch/1459525/buy?src=search,Rs. 899,http://www.myntra.com/clutches/dressberry/dressberry-pink-iridescent-box-clutch/1459525/buy?src=search,(50% off),http://www.myntra.com/clutches/dressberry/dressberry-pink-iridescent-box-clutch/1459525/buy?src=search,Sizes: Onesize,http://www.myntra.com/clutches/dressberry/dressberry-pink-iridescent-box-clutch/1459525/buy?src=search,Onesize
http://www.myntra.com/women-accessories,"Zaveri Pearls\nMulticoloured Drop Earrings\nRs. 1,155Rs. 346(70% off)\nSizes: Onesize",http://www.myntra.com/earrings/zaveri-pearls/zaveri-pearls-multicoloured-drop-earrings/625923/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/images/style/properties/Zaveri-Pearls-Women-Earrings_ab313488de8838a5fbe2e7969c41bbad_images_mini.jpg",Zaveri Pearls Multicoloured Drop Earrings,http://www.myntra.com/earrings/zaveri-pearls/zaveri-pearls-multicoloured-drop-earrings/625923/buy?src=search,Zaveri Pearls,http://www.myntra.com/earrings/zaveri-pearls/zaveri-pearls-multicoloured-drop-earrings/625923/buy?src=search,Multicoloured Drop Earrings,http://www.myntra.com/earrings/zaveri-pearls/zaveri-pearls-multicoloured-drop-earrings/625923/buy?src=search,"Rs. 1,155",http://www.myntra.com/earrings/zaveri-pearls/zaveri-pearls-multicoloured-drop-earrings/625923/buy?src=search,Rs. 346,http://www.myntra.com/earrings/zaveri-pearls/zaveri-pearls-multicoloured-drop-earrings/625923/buy?src=search,(70% off),http://www.myntra.com/earrings/zaveri-pearls/zaveri-pearls-multicoloured-drop-earrings/625923/buy?src=search,Sizes: Onesize,http://www.myntra.com/earrings/zaveri-pearls/zaveri-pearls-multicoloured-drop-earrings/625923/buy?src=search,Onesize
http://www.myntra.com/women-accessories,Vogue Tree\nBlue Printed Sling Bag\nRs. 699Rs. 349(50% off)\nSizes: Onesize,http://www.myntra.com/handbags/vogue-tree/vogue-tree-blue-printed-sling-bag/985036/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/image/style/properties/985036/Vogue-Tree-Women-Handbags_1_8af80fa129f40f3d9a4dcd1a83c87eb6_mini.jpg",Vogue Tree Blue Printed Sling Bag,http://www.myntra.com/handbags/vogue-tree/vogue-tree-blue-printed-sling-bag/985036/buy?src=search,Vogue Tree,http://www.myntra.com/handbags/vogue-tree/vogue-tree-blue-printed-sling-bag/985036/buy?src=search,Blue Printed Sling Bag,http://www.myntra.com/handbags/vogue-tree/vogue-tree-blue-printed-sling-bag/985036/buy?src=search,Rs. 699,http://www.myntra.com/handbags/vogue-tree/vogue-tree-blue-printed-sling-bag/985036/buy?src=search,Rs. 349,http://www.myntra.com/handbags/vogue-tree/vogue-tree-blue-printed-sling-bag/985036/buy?src=search,(50% off),http://www.myntra.com/handbags/vogue-tree/vogue-tree-blue-printed-sling-bag/985036/buy?src=search,Sizes: Onesize,http://www.myntra.com/handbags/vogue-tree/vogue-tree-blue-printed-sling-bag/985036/buy?src=search,Onesize
http://www.myntra.com/women-accessories,Alessia74\nWomen white Wallet\nRs. 499Rs. 224(55% off)\nSizes: Onesize,http://www.myntra.com/wallets/alessia74/alessia74-women-white-wallet/399287/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/images/style/properties/Alessia74-Women-white-Wallet_e0f0ec13747bc6aa00db19ffb05620ca_images_mini.jpg",Alessia74 Women white Wallet,http://www.myntra.com/wallets/alessia74/alessia74-women-white-wallet/399287/buy?src=search,Alessia74,http://www.myntra.com/wallets/alessia74/alessia74-women-white-wallet/399287/buy?src=search,Women white Wallet,http://www.myntra.com/wallets/alessia74/alessia74-women-white-wallet/399287/buy?src=search,Rs. 499,http://www.myntra.com/wallets/alessia74/alessia74-women-white-wallet/399287/buy?src=search,Rs. 224,http://www.myntra.com/wallets/alessia74/alessia74-women-white-wallet/399287/buy?src=search,(55% off),http://www.myntra.com/wallets/alessia74/alessia74-women-white-wallet/399287/buy?src=search,Sizes: Onesize,http://www.myntra.com/wallets/alessia74/alessia74-women-white-wallet/399287/buy?src=search,Onesize
http://www.myntra.com/women-accessories,"Mast & Harbour\nTan Brown Handbag\nRs. 2,099Rs. 1,049(Rs. 1,050 off)\nSizes: ONE SIZE",http://www.myntra.com/handbags/mast--harbour/mast--harbour-tan-brown-handbag/1518793/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1518793/2016/9/23/11474630967133-Mast--Harbour-Tan-Brown-Shoulder-Bag-3171474630967339-1_mini.jpg",Mast & Harbour Tan Brown Handbag,http://www.myntra.com/handbags/mast--harbour/mast--harbour-tan-brown-handbag/1518793/buy?src=search,Mast & Harbour,http://www.myntra.com/handbags/mast--harbour/mast--harbour-tan-brown-handbag/1518793/buy?src=search,Tan Brown Handbag,http://www.myntra.com/handbags/mast--harbour/mast--harbour-tan-brown-handbag/1518793/buy?src=search,"Rs. 2,099",http://www.myntra.com/handbags/mast--harbour/mast--harbour-tan-brown-handbag/1518793/buy?src=search,"Rs. 1,049",http://www.myntra.com/handbags/mast--harbour/mast--harbour-tan-brown-handbag/1518793/buy?src=search,"(Rs. 1,050 off)",http://www.myntra.com/handbags/mast--harbour/mast--harbour-tan-brown-handbag/1518793/buy?src=search,Sizes: ONE SIZE,http://www.myntra.com/handbags/mast--harbour/mast--harbour-tan-brown-handbag/1518793/buy?src=search,ONE SIZE
http://www.myntra.com/women-accessories,"Ray-Ban\nWomen Oval Sunglasses 0RB7060I601/8G54\nRs. 4,290Rs. 2,574(40% off)\nSizes: 54",http://www.myntra.com/sunglasses/ray-ban/ray-ban-women-oval-sunglasses-0rb7060i6018g54/1494398/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1494398/2016/10/1/11475316218570-Ray-Ban-Women-Oval-Sunglasses-0RB7060I6018G54-6891475316218172-1_mini.jpg",Ray-Ban Women Oval Sunglasses 0RB7060I601/8G54,http://www.myntra.com/sunglasses/ray-ban/ray-ban-women-oval-sunglasses-0rb7060i6018g54/1494398/buy?src=search,Ray-Ban,http://www.myntra.com/sunglasses/ray-ban/ray-ban-women-oval-sunglasses-0rb7060i6018g54/1494398/buy?src=search,Women Oval Sunglasses 0RB7060I601/8G54,http://www.myntra.com/sunglasses/ray-ban/ray-ban-women-oval-sunglasses-0rb7060i6018g54/1494398/buy?src=search,"Rs. 4,290",http://www.myntra.com/sunglasses/ray-ban/ray-ban-women-oval-sunglasses-0rb7060i6018g54/1494398/buy?src=search,"Rs. 2,574",http://www.myntra.com/sunglasses/ray-ban/ray-ban-women-oval-sunglasses-0rb7060i6018g54/1494398/buy?src=search,(40% off),http://www.myntra.com/sunglasses/ray-ban/ray-ban-women-oval-sunglasses-0rb7060i6018g54/1494398/buy?src=search,Sizes: 54,http://www.myntra.com/sunglasses/ray-ban/ray-ban-women-oval-sunglasses-0rb7060i6018g54/1494398/buy?src=search,54
http://www.myntra.com/women-accessories,Butterflies\nWomen Mustard Yellow Wallet\nRs. 599Rs. 359(40% off)\nSizes: Onesize,http://www.myntra.com/wallets/butterflies/butterflies-women-mustard-yellow-wallet/578649/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/578649/2016/6/30/11467278354117-Butterflies-Women-Mustard-Yellow-Wallet-3911467278353334-1_mini.jpg",Butterflies Women Mustard Yellow Wallet,http://www.myntra.com/wallets/butterflies/butterflies-women-mustard-yellow-wallet/578649/buy?src=search,Butterflies,http://www.myntra.com/wallets/butterflies/butterflies-women-mustard-yellow-wallet/578649/buy?src=search,Women Mustard Yellow Wallet,http://www.myntra.com/wallets/butterflies/butterflies-women-mustard-yellow-wallet/578649/buy?src=search,Rs. 599,http://www.myntra.com/wallets/butterflies/butterflies-women-mustard-yellow-wallet/578649/buy?src=search,Rs. 359,http://www.myntra.com/wallets/butterflies/butterflies-women-mustard-yellow-wallet/578649/buy?src=search,(40% off),http://www.myntra.com/wallets/butterflies/butterflies-women-mustard-yellow-wallet/578649/buy?src=search,Sizes: Onesize,http://www.myntra.com/wallets/butterflies/butterflies-women-mustard-yellow-wallet/578649/buy?src=search,Onesize
http://www.myntra.com/women-accessories,"Mast & Harbour\nBeige Handbag\nRs. 2,299Rs. 1,379(40% off)\nSizes: Onesize",http://www.myntra.com/handbags/mast--harbour/mast--harbour-beige-handbag/1111662/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1111662/2015/12/28/11451300518331-Mast--Harbour-Women-Handbags-421451300515418-1_mini.jpg",Mast & Harbour Beige Handbag,http://www.myntra.com/handbags/mast--harbour/mast--harbour-beige-handbag/1111662/buy?src=search,Mast & Harbour,http://www.myntra.com/handbags/mast--harbour/mast--harbour-beige-handbag/1111662/buy?src=search,Beige Handbag,http://www.myntra.com/handbags/mast--harbour/mast--harbour-beige-handbag/1111662/buy?src=search,"Rs. 2,299",http://www.myntra.com/handbags/mast--harbour/mast--harbour-beige-handbag/1111662/buy?src=search,"Rs. 1,379",http://www.myntra.com/handbags/mast--harbour/mast--harbour-beige-handbag/1111662/buy?src=search,(40% off),http://www.myntra.com/handbags/mast--harbour/mast--harbour-beige-handbag/1111662/buy?src=search,Sizes: Onesize,http://www.myntra.com/handbags/mast--harbour/mast--harbour-beige-handbag/1111662/buy?src=search,Onesize
