url,Product link,Product link_link,Thumb image,Thumb image_alt,Thumb image_link,Brand value,Brand value_link,Product value,Product value_link,Strike value,Strike value_link,Price value,Price value_link,Discount value,Discount value_link,Sizes value,Sizes value_link,Selectasize value
http://www.myntra.com/women-personal-care,"Cameleon\nProfessional Makeup Kit\nRs. 2,599Rs. 1,169(Rs. 1,429 off)\nSizes: 87, 24GM",http://www.myntra.com/beauty-product-set/cameleon/cameleon-professional-makeup-kit/1257250/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1257250/2016/3/11/11457677628833-Cameleon-Women-Beauty-Product-Set-1061457677628603-1_mini.jpg",Cameleon Professional Makeup Kit,http://www.myntra.com/beauty-product-set/cameleon/cameleon-professional-makeup-kit/1257250/buy?src=search,Cameleon,http://www.myntra.com/beauty-product-set/cameleon/cameleon-professional-makeup-kit/1257250/buy?src=search,Professional Makeup Kit,http://www.myntra.com/beauty-product-set/cameleon/cameleon-professional-makeup-kit/1257250/buy?src=search,"Rs. 2,599",http://www.myntra.com/beauty-product-set/cameleon/cameleon-professional-makeup-kit/1257250/buy?src=search,"Rs. 1,169",http://www.myntra.com/beauty-product-set/cameleon/cameleon-professional-makeup-kit/1257250/buy?src=search,"(Rs. 1,429 off)",http://www.myntra.com/beauty-product-set/cameleon/cameleon-professional-makeup-kit/1257250/buy?src=search,"Sizes: 87, 24GM",http://www.myntra.com/beauty-product-set/cameleon/cameleon-professional-makeup-kit/1257250/buy?src=search,"87,24GM"
http://www.myntra.com/women-personal-care,"Braun\nPink Bikini Styler Silk Epilator FG1100\nRs. 1,895Rs. 1,516(20% off)\nSizes: Onesize",http://www.myntra.com/epilator/braun/braun-pink-bikini-styler-silk-epilator-fg1100/1024119/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1024119/2016/3/4/11457091494088-Braun-Pink-Bikini-Styler-Silk-Epilator-FG1100-3791457091493556-1_mini.jpg",Braun Pink Bikini Styler Silk Epilator FG1100,http://www.myntra.com/epilator/braun/braun-pink-bikini-styler-silk-epilator-fg1100/1024119/buy?src=search,Braun,http://www.myntra.com/epilator/braun/braun-pink-bikini-styler-silk-epilator-fg1100/1024119/buy?src=search,Pink Bikini Styler Silk Epilator FG1100,http://www.myntra.com/epilator/braun/braun-pink-bikini-styler-silk-epilator-fg1100/1024119/buy?src=search,"Rs. 1,895",http://www.myntra.com/epilator/braun/braun-pink-bikini-styler-silk-epilator-fg1100/1024119/buy?src=search,"Rs. 1,516",http://www.myntra.com/epilator/braun/braun-pink-bikini-styler-silk-epilator-fg1100/1024119/buy?src=search,(20% off),http://www.myntra.com/epilator/braun/braun-pink-bikini-styler-silk-epilator-fg1100/1024119/buy?src=search,Sizes: Onesize,http://www.myntra.com/epilator/braun/braun-pink-bikini-styler-silk-epilator-fg1100/1024119/buy?src=search,Onesize
http://www.myntra.com/women-personal-care,"Cameleon\nPalette De Maquillage Makeup Kit\nRs. 2,699Rs. 1,214(Rs. 1,484 off)\nSizes: 123.32GM",http://www.myntra.com/makeup-kit/cameleon/cameleon-palette-de-maquillage-makeup-kit/1257259/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1257259/2016/3/11/11457677678104-Cameleon-Women-Beauty-Product-Set-6351457677677780-1_mini.jpg",Cameleon Palette De Maquillage Makeup Kit,http://www.myntra.com/makeup-kit/cameleon/cameleon-palette-de-maquillage-makeup-kit/1257259/buy?src=search,Cameleon,http://www.myntra.com/makeup-kit/cameleon/cameleon-palette-de-maquillage-makeup-kit/1257259/buy?src=search,Palette De Maquillage Makeup Kit,http://www.myntra.com/makeup-kit/cameleon/cameleon-palette-de-maquillage-makeup-kit/1257259/buy?src=search,"Rs. 2,699",http://www.myntra.com/makeup-kit/cameleon/cameleon-palette-de-maquillage-makeup-kit/1257259/buy?src=search,"Rs. 1,214",http://www.myntra.com/makeup-kit/cameleon/cameleon-palette-de-maquillage-makeup-kit/1257259/buy?src=search,"(Rs. 1,484 off)",http://www.myntra.com/makeup-kit/cameleon/cameleon-palette-de-maquillage-makeup-kit/1257259/buy?src=search,Sizes: 123.32GM,http://www.myntra.com/makeup-kit/cameleon/cameleon-palette-de-maquillage-makeup-kit/1257259/buy?src=search,123.32GM
http://www.myntra.com/women-personal-care,"Colorbar\nUSA Around The World Set of 10 Nail Polishes\nRs. 1,250Rs. 1,000(20% off)\nSizes: SET",http://www.myntra.com/nail-polish/colorbar/colorbar-usa-around-the-world-set-of-10-nail-polishes/1195908/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1195908/2016/2/10/11455102218965-Colorbar-Women-Nail-Polish-4301455102218813-1_mini.jpg",Colorbar USA Around The World Set of 10 Nail Polishes,http://www.myntra.com/nail-polish/colorbar/colorbar-usa-around-the-world-set-of-10-nail-polishes/1195908/buy?src=search,Colorbar,http://www.myntra.com/nail-polish/colorbar/colorbar-usa-around-the-world-set-of-10-nail-polishes/1195908/buy?src=search,USA Around The World Set of 10 Nail Polishes,http://www.myntra.com/nail-polish/colorbar/colorbar-usa-around-the-world-set-of-10-nail-polishes/1195908/buy?src=search,"Rs. 1,250",http://www.myntra.com/nail-polish/colorbar/colorbar-usa-around-the-world-set-of-10-nail-polishes/1195908/buy?src=search,"Rs. 1,000",http://www.myntra.com/nail-polish/colorbar/colorbar-usa-around-the-world-set-of-10-nail-polishes/1195908/buy?src=search,(20% off),http://www.myntra.com/nail-polish/colorbar/colorbar-usa-around-the-world-set-of-10-nail-polishes/1195908/buy?src=search,Sizes: SET,http://www.myntra.com/nail-polish/colorbar/colorbar-usa-around-the-world-set-of-10-nail-polishes/1195908/buy?src=search,SET
http://www.myntra.com/women-personal-care,Lotus Herbals\nRadiant Pearl Cellular Lightening Facial Kit\nRs. 950Rs. 665(30% off)\nSizes: Set,http://www.myntra.com/facial-kit/lotus-herbals/lotus-herbals-radiant-pearl-cellular-lightening-facial-kit/244791/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/images/style/properties/Lotus-Herbals-Radiant-Pearl-Cellular-Lightening-Facial-Kit_ded34beca02738b019cd1f96e6501247_images_mini.jpg",Lotus Herbals Radiant Pearl Cellular Lightening Facial Kit,http://www.myntra.com/facial-kit/lotus-herbals/lotus-herbals-radiant-pearl-cellular-lightening-facial-kit/244791/buy?src=search,Lotus Herbals,http://www.myntra.com/facial-kit/lotus-herbals/lotus-herbals-radiant-pearl-cellular-lightening-facial-kit/244791/buy?src=search,Radiant Pearl Cellular Lightening Facial Kit,http://www.myntra.com/facial-kit/lotus-herbals/lotus-herbals-radiant-pearl-cellular-lightening-facial-kit/244791/buy?src=search,Rs. 950,http://www.myntra.com/facial-kit/lotus-herbals/lotus-herbals-radiant-pearl-cellular-lightening-facial-kit/244791/buy?src=search,Rs. 665,http://www.myntra.com/facial-kit/lotus-herbals/lotus-herbals-radiant-pearl-cellular-lightening-facial-kit/244791/buy?src=search,(30% off),http://www.myntra.com/facial-kit/lotus-herbals/lotus-herbals-radiant-pearl-cellular-lightening-facial-kit/244791/buy?src=search,Sizes: Set,http://www.myntra.com/facial-kit/lotus-herbals/lotus-herbals-radiant-pearl-cellular-lightening-facial-kit/244791/buy?src=search,Set
http://www.myntra.com/women-personal-care,"Braun\nPink Silk Epilator SE2 1170\nRs. 2,565Rs. 1,539(40% off)\nSizes: Onesize",http://www.myntra.com/epilator/braun/braun-pink-silk-epilator-se2-1170/1024125/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1024125/2016/6/9/11465456909872-Braun-Pink-Silk-Epilator-SE2-1170-9601465456909810-1_mini.jpg",Braun Pink Silk Epilator SE2 1170,http://www.myntra.com/epilator/braun/braun-pink-silk-epilator-se2-1170/1024125/buy?src=search,Braun,http://www.myntra.com/epilator/braun/braun-pink-silk-epilator-se2-1170/1024125/buy?src=search,Pink Silk Epilator SE2 1170,http://www.myntra.com/epilator/braun/braun-pink-silk-epilator-se2-1170/1024125/buy?src=search,"Rs. 2,565",http://www.myntra.com/epilator/braun/braun-pink-silk-epilator-se2-1170/1024125/buy?src=search,"Rs. 1,539",http://www.myntra.com/epilator/braun/braun-pink-silk-epilator-se2-1170/1024125/buy?src=search,(40% off),http://www.myntra.com/epilator/braun/braun-pink-silk-epilator-se2-1170/1024125/buy?src=search,Sizes: Onesize,http://www.myntra.com/epilator/braun/braun-pink-silk-epilator-se2-1170/1024125/buy?src=search,Onesize
http://www.myntra.com/women-personal-care,"Real Techniques\nOrange Complexion Sponge\nRs. 1,199Rs. 959(20% off)\nSizes: Onesize",http://www.myntra.com/beauty-accessory/real-techniques/real-techniques-orange-complexion-sponge/1036498/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/image/style/properties/1036498/Real-Techniques-Orange-Complexion-Sponge_1_86ef95fbc2bf3fa3dcee718753cbeb2e_mini.jpg",Real Techniques Orange Complexion Sponge,http://www.myntra.com/beauty-accessory/real-techniques/real-techniques-orange-complexion-sponge/1036498/buy?src=search,Real Techniques,http://www.myntra.com/beauty-accessory/real-techniques/real-techniques-orange-complexion-sponge/1036498/buy?src=search,Orange Complexion Sponge,http://www.myntra.com/beauty-accessory/real-techniques/real-techniques-orange-complexion-sponge/1036498/buy?src=search,"Rs. 1,199",http://www.myntra.com/beauty-accessory/real-techniques/real-techniques-orange-complexion-sponge/1036498/buy?src=search,Rs. 959,http://www.myntra.com/beauty-accessory/real-techniques/real-techniques-orange-complexion-sponge/1036498/buy?src=search,(20% off),http://www.myntra.com/beauty-accessory/real-techniques/real-techniques-orange-complexion-sponge/1036498/buy?src=search,Sizes: Onesize,http://www.myntra.com/beauty-accessory/real-techniques/real-techniques-orange-complexion-sponge/1036498/buy?src=search,Onesize
http://www.myntra.com/women-personal-care,Colorbar\nWomen Lash Illusion Mascara Duo DM001\nRs. 450Rs. 360(20% off)\nSizes: 4mlX2,http://www.myntra.com/mascara/colorbar/colorbar-women-lash-illusion-mascara-duo-dm001/55956/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/55956/2016/6/2/11464849830202-Colorbar-Women-Lash-Illusion-Mascara-Duo-9921464849830030-1_mini.jpg",Colorbar Women Lash Illusion Mascara Duo DM001,http://www.myntra.com/mascara/colorbar/colorbar-women-lash-illusion-mascara-duo-dm001/55956/buy?src=search,Colorbar,http://www.myntra.com/mascara/colorbar/colorbar-women-lash-illusion-mascara-duo-dm001/55956/buy?src=search,Women Lash Illusion Mascara Duo DM001,http://www.myntra.com/mascara/colorbar/colorbar-women-lash-illusion-mascara-duo-dm001/55956/buy?src=search,Rs. 450,http://www.myntra.com/mascara/colorbar/colorbar-women-lash-illusion-mascara-duo-dm001/55956/buy?src=search,Rs. 360,http://www.myntra.com/mascara/colorbar/colorbar-women-lash-illusion-mascara-duo-dm001/55956/buy?src=search,(20% off),http://www.myntra.com/mascara/colorbar/colorbar-women-lash-illusion-mascara-duo-dm001/55956/buy?src=search,Sizes: 4mlX2,http://www.myntra.com/mascara/colorbar/colorbar-women-lash-illusion-mascara-duo-dm001/55956/buy?src=search,4mlX2
http://www.myntra.com/women-personal-care,Lakme\nAbsolute Mauve Hue Lip Pout Creme\nRs. 650Rs. 552(15% off)\nSizes: 3.2gm,http://www.myntra.com/lipstick/lakme/lakme-absolute-mauve-hue-lip-pout-creme/953913/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/953913/2016/5/20/11463747286894-Lakme-Absolute-Mauve-Hue-Lip-Pout-Creme-4391463747286828-1_mini.jpg",Lakme Absolute Mauve Hue Lip Pout Creme,http://www.myntra.com/lipstick/lakme/lakme-absolute-mauve-hue-lip-pout-creme/953913/buy?src=search,Lakme,http://www.myntra.com/lipstick/lakme/lakme-absolute-mauve-hue-lip-pout-creme/953913/buy?src=search,Absolute Mauve Hue Lip Pout Creme,http://www.myntra.com/lipstick/lakme/lakme-absolute-mauve-hue-lip-pout-creme/953913/buy?src=search,Rs. 650,http://www.myntra.com/lipstick/lakme/lakme-absolute-mauve-hue-lip-pout-creme/953913/buy?src=search,Rs. 552,http://www.myntra.com/lipstick/lakme/lakme-absolute-mauve-hue-lip-pout-creme/953913/buy?src=search,(15% off),http://www.myntra.com/lipstick/lakme/lakme-absolute-mauve-hue-lip-pout-creme/953913/buy?src=search,Sizes: 3.2gm,http://www.myntra.com/lipstick/lakme/lakme-absolute-mauve-hue-lip-pout-creme/953913/buy?src=search,3.2gm
http://www.myntra.com/women-personal-care,"Cameleon\nProfessional Makeup Kit\nRs. 1,799Rs. 899(50% off)\nSizes: 62.36GM",http://www.myntra.com/makeup-kit/cameleon/cameleon-professional-makeup-kit/1257278/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1257278/2016/3/11/11457678138221-Cameleon-Women-Beauty-Product-Set-9831457678137872-1_mini.jpg",Cameleon Professional Makeup Kit,http://www.myntra.com/makeup-kit/cameleon/cameleon-professional-makeup-kit/1257278/buy?src=search,Cameleon,http://www.myntra.com/makeup-kit/cameleon/cameleon-professional-makeup-kit/1257278/buy?src=search,Professional Makeup Kit,http://www.myntra.com/makeup-kit/cameleon/cameleon-professional-makeup-kit/1257278/buy?src=search,"Rs. 1,799",http://www.myntra.com/makeup-kit/cameleon/cameleon-professional-makeup-kit/1257278/buy?src=search,Rs. 899,http://www.myntra.com/makeup-kit/cameleon/cameleon-professional-makeup-kit/1257278/buy?src=search,(50% off),http://www.myntra.com/makeup-kit/cameleon/cameleon-professional-makeup-kit/1257278/buy?src=search,Sizes: 62.36GM,http://www.myntra.com/makeup-kit/cameleon/cameleon-professional-makeup-kit/1257278/buy?src=search,62.36GM
