url,Product link,Product link_link,Thumb image,Thumb image_alt,Thumb image_link,Brand value,Brand value_link,Product value,Product value_link,Strike value,Strike value_link,Price value,Price value_link,Discount value,Discount value_link,Sizes value,Sizes value_link,Selectasize values
http://www.myntra.com/women-indian-fusion-wear-menu,"Pannkh\nBlack Printed Top\nRs. 999Rs. 399(60% off)\nSizes: XS, S, M, L, XL, XXL",http://www.myntra.com/tops/pannkh/pannkh-black-printed-top/982055/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/982055/2015/9/11/11441963966117-Pannkh-Women-Tops-6221441963965791-1_mini.jpg",Pannkh Black Printed Top,http://www.myntra.com/tops/pannkh/pannkh-black-printed-top/982055/buy?src=search,Pannkh,http://www.myntra.com/tops/pannkh/pannkh-black-printed-top/982055/buy?src=search,Black Printed Top,http://www.myntra.com/tops/pannkh/pannkh-black-printed-top/982055/buy?src=search,Rs. 999,http://www.myntra.com/tops/pannkh/pannkh-black-printed-top/982055/buy?src=search,Rs. 399,http://www.myntra.com/tops/pannkh/pannkh-black-printed-top/982055/buy?src=search,(60% off),http://www.myntra.com/tops/pannkh/pannkh-black-printed-top/982055/buy?src=search,"Sizes: XS, S, M, L, XL, XXL",http://www.myntra.com/tops/pannkh/pannkh-black-printed-top/982055/buy?src=search,XS; S; M; L; XL; XXL
http://www.myntra.com/women-indian-fusion-wear-menu,"Miss Chase\nWhite & Black Striped Top\nRs. 999Rs. 599(40% off)\nSizes: XS, M, L, XL",http://www.myntra.com/tops/miss-chase/miss-chase-white--black-striped-top/1341217/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1341217/2016/5/6/11462525103439-Miss-Chase-Women-Tops-7561462525103141-1_mini.jpg",Miss Chase White & Black Striped Top,http://www.myntra.com/tops/miss-chase/miss-chase-white--black-striped-top/1341217/buy?src=search,Miss Chase,http://www.myntra.com/tops/miss-chase/miss-chase-white--black-striped-top/1341217/buy?src=search,White & Black Striped Top,http://www.myntra.com/tops/miss-chase/miss-chase-white--black-striped-top/1341217/buy?src=search,Rs. 999,http://www.myntra.com/tops/miss-chase/miss-chase-white--black-striped-top/1341217/buy?src=search,Rs. 599,http://www.myntra.com/tops/miss-chase/miss-chase-white--black-striped-top/1341217/buy?src=search,(40% off),http://www.myntra.com/tops/miss-chase/miss-chase-white--black-striped-top/1341217/buy?src=search,"Sizes: XS, M, L, XL",http://www.myntra.com/tops/miss-chase/miss-chase-white--black-striped-top/1341217/buy?src=search,XS; M; L; XL
http://www.myntra.com/women-indian-fusion-wear-menu,"La Firangi\nGreen Printed Layered A-Line Kurta\nRs. 1,599Rs. 479(70% off)\nSizes: S, M, L, XL, XXL, 3XL",http://www.myntra.com/kurtas/la-firangi/la-firangi-green-printed-layered-a-line-kurta/1220100/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1220100/2016/2/16/11455601805448-La-Firangi-Green-Printed-Layered-A-Line-Kurta-3811455601805122-1_mini.jpg",La Firangi Green Printed Layered A-Line Kurta,http://www.myntra.com/kurtas/la-firangi/la-firangi-green-printed-layered-a-line-kurta/1220100/buy?src=search,La Firangi,http://www.myntra.com/kurtas/la-firangi/la-firangi-green-printed-layered-a-line-kurta/1220100/buy?src=search,Green Printed Layered A-Line Kurta,http://www.myntra.com/kurtas/la-firangi/la-firangi-green-printed-layered-a-line-kurta/1220100/buy?src=search,"Rs. 1,599",http://www.myntra.com/kurtas/la-firangi/la-firangi-green-printed-layered-a-line-kurta/1220100/buy?src=search,Rs. 479,http://www.myntra.com/kurtas/la-firangi/la-firangi-green-printed-layered-a-line-kurta/1220100/buy?src=search,(70% off),http://www.myntra.com/kurtas/la-firangi/la-firangi-green-printed-layered-a-line-kurta/1220100/buy?src=search,"Sizes: S, M, L, XL, XXL, 3XL",http://www.myntra.com/kurtas/la-firangi/la-firangi-green-printed-layered-a-line-kurta/1220100/buy?src=search,S; M; L; XL; XXL; 3XL
http://www.myntra.com/women-indian-fusion-wear-menu,"Belle Fille\nMaroon Top\nRs. 999Rs. 499(50% off)\nSizes: S, M, L, XL, XXL",http://www.myntra.com/tops/belle-fille/belle-fille-maroon-top/1297897/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1297897/2016/4/11/11460364402759-Belle-Fille-Maroon-Top-5161460364402437-1_mini.jpg",Belle Fille Maroon Top,http://www.myntra.com/tops/belle-fille/belle-fille-maroon-top/1297897/buy?src=search,Belle Fille,http://www.myntra.com/tops/belle-fille/belle-fille-maroon-top/1297897/buy?src=search,Maroon Top,http://www.myntra.com/tops/belle-fille/belle-fille-maroon-top/1297897/buy?src=search,Rs. 999,http://www.myntra.com/tops/belle-fille/belle-fille-maroon-top/1297897/buy?src=search,Rs. 499,http://www.myntra.com/tops/belle-fille/belle-fille-maroon-top/1297897/buy?src=search,(50% off),http://www.myntra.com/tops/belle-fille/belle-fille-maroon-top/1297897/buy?src=search,"Sizes: S, M, L, XL, XXL",http://www.myntra.com/tops/belle-fille/belle-fille-maroon-top/1297897/buy?src=search,S; M; L; XL; XXL
http://www.myntra.com/women-indian-fusion-wear-menu,"AKS\nRed Printed Anarkali Kurta\nRs. 1,699Rs. 764(55% off)\nSizes: S, M, L, XL, XXL",http://www.myntra.com/kurtas/aks/aks-red-printed-anarkali-kurta/1410489/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1410489/2016/7/6/11467807016293-AKS-Red-Printed-Anarkali-Kurta-1501467807016047-1_mini.jpg",AKS Red Printed Anarkali Kurta,http://www.myntra.com/kurtas/aks/aks-red-printed-anarkali-kurta/1410489/buy?src=search,AKS,http://www.myntra.com/kurtas/aks/aks-red-printed-anarkali-kurta/1410489/buy?src=search,Red Printed Anarkali Kurta,http://www.myntra.com/kurtas/aks/aks-red-printed-anarkali-kurta/1410489/buy?src=search,"Rs. 1,699",http://www.myntra.com/kurtas/aks/aks-red-printed-anarkali-kurta/1410489/buy?src=search,Rs. 764,http://www.myntra.com/kurtas/aks/aks-red-printed-anarkali-kurta/1410489/buy?src=search,(55% off),http://www.myntra.com/kurtas/aks/aks-red-printed-anarkali-kurta/1410489/buy?src=search,"Sizes: S, M, L, XL, XXL",http://www.myntra.com/kurtas/aks/aks-red-printed-anarkali-kurta/1410489/buy?src=search,S; M; L; XL; XXL
http://www.myntra.com/women-indian-fusion-wear-menu,"all about you\nfrom Deepika Padukone Women Maroon Printed Cold Shoulder Top\nRs. 1,899Rs. 1,519(20% off)\nSizes: S, M, L, XL",http://www.myntra.com/tops/all-about-you/all-about-you-from-deepika-padukone-women-maroon-printed-cold-shoulder-top/1379647/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1379647/2016/9/19/11474281996965-all-about-you-Women-Maroon-Printed-Regular-Top-1041474281996677-1_mini.jpg",All About You from Deepika Padukone Women Maroon Printed Cold Shoulder Top,http://www.myntra.com/tops/all-about-you/all-about-you-from-deepika-padukone-women-maroon-printed-cold-shoulder-top/1379647/buy?src=search,all about you,http://www.myntra.com/tops/all-about-you/all-about-you-from-deepika-padukone-women-maroon-printed-cold-shoulder-top/1379647/buy?src=search,from Deepika Padukone Women Maroon Printed Cold Shoulder Top,http://www.myntra.com/tops/all-about-you/all-about-you-from-deepika-padukone-women-maroon-printed-cold-shoulder-top/1379647/buy?src=search,"Rs. 1,899",http://www.myntra.com/tops/all-about-you/all-about-you-from-deepika-padukone-women-maroon-printed-cold-shoulder-top/1379647/buy?src=search,"Rs. 1,519",http://www.myntra.com/tops/all-about-you/all-about-you-from-deepika-padukone-women-maroon-printed-cold-shoulder-top/1379647/buy?src=search,(20% off),http://www.myntra.com/tops/all-about-you/all-about-you-from-deepika-padukone-women-maroon-printed-cold-shoulder-top/1379647/buy?src=search,"Sizes: S, M, L, XL",http://www.myntra.com/tops/all-about-you/all-about-you-from-deepika-padukone-women-maroon-printed-cold-shoulder-top/1379647/buy?src=search,S; M; L; XL
http://www.myntra.com/women-indian-fusion-wear-menu,"W\nWomen Green & YelloPrinted Straight Kurta\nRs. 1,499\nSizes: S, M, L, XXL, 3XL",http://www.myntra.com/kurtas/w/w-women-green--yellow-printed-straight-kurta/1582923/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1582923/2016/10/19/11476877841879-W-Women-Kurtas-6721476877841694-1_mini.jpg",W Women Green & Yellow Printed Straight Kurta,http://www.myntra.com/kurtas/w/w-women-green--yellow-printed-straight-kurta/1582923/buy?src=search,W,http://www.myntra.com/kurtas/w/w-women-green--yellow-printed-straight-kurta/1582923/buy?src=search,Women Green & YelloPrinted Straight Kurta,http://www.myntra.com/kurtas/w/w-women-green--yellow-printed-straight-kurta/1582923/buy?src=search,,,"Rs. 1,499",http://www.myntra.com/kurtas/w/w-women-green--yellow-printed-straight-kurta/1582923/buy?src=search,,,"Sizes: S, M, L, XXL, 3XL",http://www.myntra.com/kurtas/w/w-women-green--yellow-printed-straight-kurta/1582923/buy?src=search,S; M; L; XXL; 3XL
http://www.myntra.com/women-indian-fusion-wear-menu,"Nayo\nBlue Printed A-Line Kurta\nRs. 999Rs. 499(50% off)\nSizes: S, M, L, XL, XXL",http://www.myntra.com/kurtas/nayo/nayo-blue-printed-a-line-kurta/1145252/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1145252/2015/12/30/11451456271405-Nayo-Women-Kurtas-4291451456271096-1_mini.jpg",Nayo Blue Printed A-Line Kurta,http://www.myntra.com/kurtas/nayo/nayo-blue-printed-a-line-kurta/1145252/buy?src=search,Nayo,http://www.myntra.com/kurtas/nayo/nayo-blue-printed-a-line-kurta/1145252/buy?src=search,Blue Printed A-Line Kurta,http://www.myntra.com/kurtas/nayo/nayo-blue-printed-a-line-kurta/1145252/buy?src=search,Rs. 999,http://www.myntra.com/kurtas/nayo/nayo-blue-printed-a-line-kurta/1145252/buy?src=search,Rs. 499,http://www.myntra.com/kurtas/nayo/nayo-blue-printed-a-line-kurta/1145252/buy?src=search,(50% off),http://www.myntra.com/kurtas/nayo/nayo-blue-printed-a-line-kurta/1145252/buy?src=search,"Sizes: S, M, L, XL, XXL",http://www.myntra.com/kurtas/nayo/nayo-blue-printed-a-line-kurta/1145252/buy?src=search,S; M; L; XL; XXL
http://www.myntra.com/women-indian-fusion-wear-menu,"Marie Claire\nBlue Pintuck Top\nRs. 1,399Rs. 1,119(20% off)\nSizes: XS, S, M, L, XL",http://www.myntra.com/tops/marie-claire/marie-claire-blue-pintuck-top/1382675/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1382675/2016/6/14/11465905483774-Marie-Claire-Women-Tops-2551465905483465-1_mini.jpg",Marie Claire Blue Pintuck Top,http://www.myntra.com/tops/marie-claire/marie-claire-blue-pintuck-top/1382675/buy?src=search,Marie Claire,http://www.myntra.com/tops/marie-claire/marie-claire-blue-pintuck-top/1382675/buy?src=search,Blue Pintuck Top,http://www.myntra.com/tops/marie-claire/marie-claire-blue-pintuck-top/1382675/buy?src=search,"Rs. 1,399",http://www.myntra.com/tops/marie-claire/marie-claire-blue-pintuck-top/1382675/buy?src=search,"Rs. 1,119",http://www.myntra.com/tops/marie-claire/marie-claire-blue-pintuck-top/1382675/buy?src=search,(20% off),http://www.myntra.com/tops/marie-claire/marie-claire-blue-pintuck-top/1382675/buy?src=search,"Sizes: XS, S, M, L, XL",http://www.myntra.com/tops/marie-claire/marie-claire-blue-pintuck-top/1382675/buy?src=search,XS; S; M; L; XL
http://www.myntra.com/women-indian-fusion-wear-menu,"RARE\nBurgundy Crepe Blouson Top\nRs. 999Rs. 599(40% off)\nSizes: S, M, L, XL",http://www.myntra.com/tops/rare/rare-burgundy-crepe-blouson-top/1437335/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1437335/2016/7/18/11468832516475-RARE-Women-Tops-1041468832516238-1_mini.jpg",RARE Burgundy Crepe Blouson Top,http://www.myntra.com/tops/rare/rare-burgundy-crepe-blouson-top/1437335/buy?src=search,RARE,http://www.myntra.com/tops/rare/rare-burgundy-crepe-blouson-top/1437335/buy?src=search,Burgundy Crepe Blouson Top,http://www.myntra.com/tops/rare/rare-burgundy-crepe-blouson-top/1437335/buy?src=search,Rs. 999,http://www.myntra.com/tops/rare/rare-burgundy-crepe-blouson-top/1437335/buy?src=search,Rs. 599,http://www.myntra.com/tops/rare/rare-burgundy-crepe-blouson-top/1437335/buy?src=search,(40% off),http://www.myntra.com/tops/rare/rare-burgundy-crepe-blouson-top/1437335/buy?src=search,"Sizes: S, M, L, XL",http://www.myntra.com/tops/rare/rare-burgundy-crepe-blouson-top/1437335/buy?src=search,S; M; L; XL
