url,Product link,Product link_link,Thumb image,Thumb image_alt,Thumb image_link,Brand value,Brand value_link,Product value,Product value_link,Strike value,Strike value_link,Price value,Price value_link,Discount value,Discount value_link,Sizes value,Sizes value_link,Selectasize values
http://www.myntra.com/women-western-wear-menu,"Athena\nWomen Navy Blue Printed Crepe A-Line Dress\nRs. 1,795Rs. 897(50% off)\nSizes: XS, S, M, L, XL, XXL",http://www.myntra.com/dresses/athena/athena-women-navy-blue-printed-crepe-a-line-dress/1491111/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1491111/2016/8/25/11472131189115-Athena-Women-Dresses-6401472131188964-1_mini.jpg",Athena Women Navy Blue Printed Crepe A-Line Dress,http://www.myntra.com/dresses/athena/athena-women-navy-blue-printed-crepe-a-line-dress/1491111/buy?src=search,Athena,http://www.myntra.com/dresses/athena/athena-women-navy-blue-printed-crepe-a-line-dress/1491111/buy?src=search,Women Navy Blue Printed Crepe A-Line Dress,http://www.myntra.com/dresses/athena/athena-women-navy-blue-printed-crepe-a-line-dress/1491111/buy?src=search,"Rs. 1,795",http://www.myntra.com/dresses/athena/athena-women-navy-blue-printed-crepe-a-line-dress/1491111/buy?src=search,Rs. 897,http://www.myntra.com/dresses/athena/athena-women-navy-blue-printed-crepe-a-line-dress/1491111/buy?src=search,(50% off),http://www.myntra.com/dresses/athena/athena-women-navy-blue-printed-crepe-a-line-dress/1491111/buy?src=search,"Sizes: XS, S, M, L, XL, XXL",http://www.myntra.com/dresses/athena/athena-women-navy-blue-printed-crepe-a-line-dress/1491111/buy?src=search,XS; S; M; L; XL; XXL
http://www.myntra.com/women-western-wear-menu,"Belle Fille\nBlack Bodycon Dress\nRs. 1,399Rs. 699(50% off)\nSizes: S, M, L, XL, XXL",http://www.myntra.com/dresses/belle-fille/belle-fille-black-bodycon-dress/596339/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/images/style/properties/Belle-Fille-Black-Bodycon-Dress_e35423f026e81cb6264713dfa0c41c18_images_mini.jpg",Belle Fille Black Bodycon Dress,http://www.myntra.com/dresses/belle-fille/belle-fille-black-bodycon-dress/596339/buy?src=search,Belle Fille,http://www.myntra.com/dresses/belle-fille/belle-fille-black-bodycon-dress/596339/buy?src=search,Black Bodycon Dress,http://www.myntra.com/dresses/belle-fille/belle-fille-black-bodycon-dress/596339/buy?src=search,"Rs. 1,399",http://www.myntra.com/dresses/belle-fille/belle-fille-black-bodycon-dress/596339/buy?src=search,Rs. 699,http://www.myntra.com/dresses/belle-fille/belle-fille-black-bodycon-dress/596339/buy?src=search,(50% off),http://www.myntra.com/dresses/belle-fille/belle-fille-black-bodycon-dress/596339/buy?src=search,"Sizes: S, M, L, XL, XXL",http://www.myntra.com/dresses/belle-fille/belle-fille-black-bodycon-dress/596339/buy?src=search,S; M; L; XL; XXL
http://www.myntra.com/women-western-wear-menu,"Alba\nBlack Slim Fit T-Shirt\nRs. 649Rs. 324(50% off)\nSizes: S, M, L, XL",http://www.myntra.com/tshirts/alba/alba-black-slim-fit-t-shirt/1245270/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1245270/2016/8/10/11470837151425-Alba-Black-Slim-Fit-T-Shirt-7111470837150855-1_mini.jpg",Alba Black Slim Fit T-Shirt,http://www.myntra.com/tshirts/alba/alba-black-slim-fit-t-shirt/1245270/buy?src=search,Alba,http://www.myntra.com/tshirts/alba/alba-black-slim-fit-t-shirt/1245270/buy?src=search,Black Slim Fit T-Shirt,http://www.myntra.com/tshirts/alba/alba-black-slim-fit-t-shirt/1245270/buy?src=search,Rs. 649,http://www.myntra.com/tshirts/alba/alba-black-slim-fit-t-shirt/1245270/buy?src=search,Rs. 324,http://www.myntra.com/tshirts/alba/alba-black-slim-fit-t-shirt/1245270/buy?src=search,(50% off),http://www.myntra.com/tshirts/alba/alba-black-slim-fit-t-shirt/1245270/buy?src=search,"Sizes: S, M, L, XL",http://www.myntra.com/tshirts/alba/alba-black-slim-fit-t-shirt/1245270/buy?src=search,S; M; L; XL
http://www.myntra.com/women-western-wear-menu,"Pannkh\nBlack Printed Top\nRs. 999Rs. 399(60% off)\nSizes: XS, S, M, L, XL, XXL",http://www.myntra.com/tops/pannkh/pannkh-black-printed-top/982055/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/982055/2015/9/11/11441963966117-Pannkh-Women-Tops-6221441963965791-1_mini.jpg",Pannkh Black Printed Top,http://www.myntra.com/tops/pannkh/pannkh-black-printed-top/982055/buy?src=search,Pannkh,http://www.myntra.com/tops/pannkh/pannkh-black-printed-top/982055/buy?src=search,Black Printed Top,http://www.myntra.com/tops/pannkh/pannkh-black-printed-top/982055/buy?src=search,Rs. 999,http://www.myntra.com/tops/pannkh/pannkh-black-printed-top/982055/buy?src=search,Rs. 399,http://www.myntra.com/tops/pannkh/pannkh-black-printed-top/982055/buy?src=search,(60% off),http://www.myntra.com/tops/pannkh/pannkh-black-printed-top/982055/buy?src=search,"Sizes: XS, S, M, L, XL, XXL",http://www.myntra.com/tops/pannkh/pannkh-black-printed-top/982055/buy?src=search,XS; S; M; L; XL; XXL
http://www.myntra.com/women-western-wear-menu,"Belle Fille\nWomen Navy Hooded Sweatshirt\nRs. 1,595Rs. 797(50% off)\nSizes: S, L, XL, XXL",http://www.myntra.com/sweatshirts/belle-fille/belle-fille-women-navy-hooded-sweatshirt/596477/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/images/style/properties/Belle-Fille-Navy-Hooded-Sweatshirt_50ce395d8b4d7f1eafc65214383977c9_images_mini.jpg",Belle Fille Women Navy Hooded Sweatshirt,http://www.myntra.com/sweatshirts/belle-fille/belle-fille-women-navy-hooded-sweatshirt/596477/buy?src=search,Belle Fille,http://www.myntra.com/sweatshirts/belle-fille/belle-fille-women-navy-hooded-sweatshirt/596477/buy?src=search,Women Navy Hooded Sweatshirt,http://www.myntra.com/sweatshirts/belle-fille/belle-fille-women-navy-hooded-sweatshirt/596477/buy?src=search,"Rs. 1,595",http://www.myntra.com/sweatshirts/belle-fille/belle-fille-women-navy-hooded-sweatshirt/596477/buy?src=search,Rs. 797,http://www.myntra.com/sweatshirts/belle-fille/belle-fille-women-navy-hooded-sweatshirt/596477/buy?src=search,(50% off),http://www.myntra.com/sweatshirts/belle-fille/belle-fille-women-navy-hooded-sweatshirt/596477/buy?src=search,"Sizes: S, L, XL, XXL",http://www.myntra.com/sweatshirts/belle-fille/belle-fille-women-navy-hooded-sweatshirt/596477/buy?src=search,S; L; XL; XXL
http://www.myntra.com/women-western-wear-menu,"Roadster\nPack of 2 Printed T-shirts\nRs. 899\nSizes: S, M, L, XL",http://www.myntra.com/tshirts/roadster/roadster-pack-of-2-printed-t-shirts/1274574/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1274574/2016/5/9/11462789787249-Roadster-Women-Tshirts-7731462789786957-1_mini.jpg",Roadster Pack of 2 Printed T-shirts,http://www.myntra.com/tshirts/roadster/roadster-pack-of-2-printed-t-shirts/1274574/buy?src=search,Roadster,http://www.myntra.com/tshirts/roadster/roadster-pack-of-2-printed-t-shirts/1274574/buy?src=search,Pack of 2 Printed T-shirts,http://www.myntra.com/tshirts/roadster/roadster-pack-of-2-printed-t-shirts/1274574/buy?src=search,,,Rs. 899,http://www.myntra.com/tshirts/roadster/roadster-pack-of-2-printed-t-shirts/1274574/buy?src=search,,,"Sizes: S, M, L, XL",http://www.myntra.com/tshirts/roadster/roadster-pack-of-2-printed-t-shirts/1274574/buy?src=search,S; M; L; XL
http://www.myntra.com/women-western-wear-menu,"Miss Chase\nWhite & Black Striped Top\nRs. 999Rs. 599(40% off)\nSizes: XS, M, L, XL",http://www.myntra.com/tops/miss-chase/miss-chase-white--black-striped-top/1341217/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1341217/2016/5/6/11462525103439-Miss-Chase-Women-Tops-7561462525103141-1_mini.jpg",Miss Chase White & Black Striped Top,http://www.myntra.com/tops/miss-chase/miss-chase-white--black-striped-top/1341217/buy?src=search,Miss Chase,http://www.myntra.com/tops/miss-chase/miss-chase-white--black-striped-top/1341217/buy?src=search,White & Black Striped Top,http://www.myntra.com/tops/miss-chase/miss-chase-white--black-striped-top/1341217/buy?src=search,Rs. 999,http://www.myntra.com/tops/miss-chase/miss-chase-white--black-striped-top/1341217/buy?src=search,Rs. 599,http://www.myntra.com/tops/miss-chase/miss-chase-white--black-striped-top/1341217/buy?src=search,(40% off),http://www.myntra.com/tops/miss-chase/miss-chase-white--black-striped-top/1341217/buy?src=search,"Sizes: XS, M, L, XL",http://www.myntra.com/tops/miss-chase/miss-chase-white--black-striped-top/1341217/buy?src=search,XS; M; L; XL
http://www.myntra.com/women-western-wear-menu,"Belle Fille\nMaroon Top\nRs. 999Rs. 499(50% off)\nSizes: S, M, L, XL, XXL",http://www.myntra.com/tops/belle-fille/belle-fille-maroon-top/1297897/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1297897/2016/4/11/11460364402759-Belle-Fille-Maroon-Top-5161460364402437-1_mini.jpg",Belle Fille Maroon Top,http://www.myntra.com/tops/belle-fille/belle-fille-maroon-top/1297897/buy?src=search,Belle Fille,http://www.myntra.com/tops/belle-fille/belle-fille-maroon-top/1297897/buy?src=search,Maroon Top,http://www.myntra.com/tops/belle-fille/belle-fille-maroon-top/1297897/buy?src=search,Rs. 999,http://www.myntra.com/tops/belle-fille/belle-fille-maroon-top/1297897/buy?src=search,Rs. 499,http://www.myntra.com/tops/belle-fille/belle-fille-maroon-top/1297897/buy?src=search,(50% off),http://www.myntra.com/tops/belle-fille/belle-fille-maroon-top/1297897/buy?src=search,"Sizes: S, M, L, XL, XXL",http://www.myntra.com/tops/belle-fille/belle-fille-maroon-top/1297897/buy?src=search,S; M; L; XL; XXL
http://www.myntra.com/women-western-wear-menu,"DressBerry\nWomen Pack of 2 T-shirts\nRs. 999Rs. 649(35% off)\nSizes: S, M, L, XL",http://www.myntra.com/tshirts/dressberry/dressberry-women-pack-of-2-t-shirts/1469612/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1469612/2016/9/17/11474095084282-DressBerry-Women-Black-Solid-Round-Neck-T-ShirtDressBerry-Women-Black-Solid-Round-Neck-T-Shirt-9391474095083975-1_mini.jpg",DressBerry Women Pack of 2 T-shirts,http://www.myntra.com/tshirts/dressberry/dressberry-women-pack-of-2-t-shirts/1469612/buy?src=search,DressBerry,http://www.myntra.com/tshirts/dressberry/dressberry-women-pack-of-2-t-shirts/1469612/buy?src=search,Women Pack of 2 T-shirts,http://www.myntra.com/tshirts/dressberry/dressberry-women-pack-of-2-t-shirts/1469612/buy?src=search,Rs. 999,http://www.myntra.com/tshirts/dressberry/dressberry-women-pack-of-2-t-shirts/1469612/buy?src=search,Rs. 649,http://www.myntra.com/tshirts/dressberry/dressberry-women-pack-of-2-t-shirts/1469612/buy?src=search,(35% off),http://www.myntra.com/tshirts/dressberry/dressberry-women-pack-of-2-t-shirts/1469612/buy?src=search,"Sizes: S, M, L, XL",http://www.myntra.com/tshirts/dressberry/dressberry-women-pack-of-2-t-shirts/1469612/buy?src=search,S; M; L; XL
http://www.myntra.com/women-western-wear-menu,"Marie Claire\nBlue Pintuck Top\nRs. 1,399Rs. 1,119(20% off)\nSizes: XS, S, M, L, XL",http://www.myntra.com/tops/marie-claire/marie-claire-blue-pintuck-top/1382675/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1382675/2016/6/14/11465905483774-Marie-Claire-Women-Tops-2551465905483465-1_mini.jpg",Marie Claire Blue Pintuck Top,http://www.myntra.com/tops/marie-claire/marie-claire-blue-pintuck-top/1382675/buy?src=search,Marie Claire,http://www.myntra.com/tops/marie-claire/marie-claire-blue-pintuck-top/1382675/buy?src=search,Blue Pintuck Top,http://www.myntra.com/tops/marie-claire/marie-claire-blue-pintuck-top/1382675/buy?src=search,"Rs. 1,399",http://www.myntra.com/tops/marie-claire/marie-claire-blue-pintuck-top/1382675/buy?src=search,"Rs. 1,119",http://www.myntra.com/tops/marie-claire/marie-claire-blue-pintuck-top/1382675/buy?src=search,(20% off),http://www.myntra.com/tops/marie-claire/marie-claire-blue-pintuck-top/1382675/buy?src=search,"Sizes: XS, S, M, L, XL",http://www.myntra.com/tops/marie-claire/marie-claire-blue-pintuck-top/1382675/buy?src=search,XS; S; M; L; XL
