url,Product link,Product link_link,Thumb image,Thumb image_alt,Thumb image_link,Brand value,Brand value_link,Product value,Product value_link,Strike value,Strike value_link,Price value,Price value_link,Discount value,Discount value_link,Sizes value,Sizes value_link,Selectasize numbers
http://www.myntra.com/women-footwear,"Reebok\nWomen Black Stormer Running Shoes\nRs. 2,999Rs. 1,799(Rs. 1,200 off)\nSizes: 5, 6, 7",http://www.myntra.com/sports-shoes/reebok/reebok-women-black-stormer-running-shoes/1433247/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1433247/2016/8/8/11470638023116-Reebok-Women-Black-Stormer-Running-Shoes-9301470638022932-1_mini.jpg",Reebok Women Black Stormer Running Shoes,http://www.myntra.com/sports-shoes/reebok/reebok-women-black-stormer-running-shoes/1433247/buy?src=search,Reebok,http://www.myntra.com/sports-shoes/reebok/reebok-women-black-stormer-running-shoes/1433247/buy?src=search,Women Black Stormer Running Shoes,http://www.myntra.com/sports-shoes/reebok/reebok-women-black-stormer-running-shoes/1433247/buy?src=search,"Rs. 2,999",http://www.myntra.com/sports-shoes/reebok/reebok-women-black-stormer-running-shoes/1433247/buy?src=search,"Rs. 1,799",http://www.myntra.com/sports-shoes/reebok/reebok-women-black-stormer-running-shoes/1433247/buy?src=search,"(Rs. 1,200 off)",http://www.myntra.com/sports-shoes/reebok/reebok-women-black-stormer-running-shoes/1433247/buy?src=search,"Sizes: 5, 6, 7",http://www.myntra.com/sports-shoes/reebok/reebok-women-black-stormer-running-shoes/1433247/buy?src=search,5; 6; 7
http://www.myntra.com/women-footwear,"Adidas\nWomen Navy Blue EZAR 3.0 W Running Shoes\nRs. 4,299Rs. 2,579(Rs. 1,720 off)\nSizes: 5, 6, 7, 8",http://www.myntra.com/sports-shoes/adidas/adidas-women-navy-blue-ezar-30-w-running-shoes/1461605/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1461605/2016/8/30/11472541125075-Adidas-Women-Navy-Blue-Running-Shoes-821472541124911-1_mini.jpg",Adidas Women Navy Blue EZAR 3.0 W Running Shoes,http://www.myntra.com/sports-shoes/adidas/adidas-women-navy-blue-ezar-30-w-running-shoes/1461605/buy?src=search,Adidas,http://www.myntra.com/sports-shoes/adidas/adidas-women-navy-blue-ezar-30-w-running-shoes/1461605/buy?src=search,Women Navy Blue EZAR 3.0 W Running Shoes,http://www.myntra.com/sports-shoes/adidas/adidas-women-navy-blue-ezar-30-w-running-shoes/1461605/buy?src=search,"Rs. 4,299",http://www.myntra.com/sports-shoes/adidas/adidas-women-navy-blue-ezar-30-w-running-shoes/1461605/buy?src=search,"Rs. 2,579",http://www.myntra.com/sports-shoes/adidas/adidas-women-navy-blue-ezar-30-w-running-shoes/1461605/buy?src=search,"(Rs. 1,720 off)",http://www.myntra.com/sports-shoes/adidas/adidas-women-navy-blue-ezar-30-w-running-shoes/1461605/buy?src=search,"Sizes: 5, 6, 7, 8",http://www.myntra.com/sports-shoes/adidas/adidas-women-navy-blue-ezar-30-w-running-shoes/1461605/buy?src=search,5; 6; 7; 8
http://www.myntra.com/women-footwear,"Adidas NEO\nWomen Navy Coneo QT Sneakers\nRs. 3,599Rs. 1,979(45% off)\nSizes: 5, 6, 7, 8",http://www.myntra.com/casual-shoes/adidas-neo/adidas-neo-women-navy-coneo-qt-sneakers/1416036/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1416036/2016/7/25/11469440649732-Adidas-NEO-Women-Casual-Shoes-4881469440649555-1_mini.jpg",Adidas NEO Women Navy Coneo QT Sneakers,http://www.myntra.com/casual-shoes/adidas-neo/adidas-neo-women-navy-coneo-qt-sneakers/1416036/buy?src=search,Adidas NEO,http://www.myntra.com/casual-shoes/adidas-neo/adidas-neo-women-navy-coneo-qt-sneakers/1416036/buy?src=search,Women Navy Coneo QT Sneakers,http://www.myntra.com/casual-shoes/adidas-neo/adidas-neo-women-navy-coneo-qt-sneakers/1416036/buy?src=search,"Rs. 3,599",http://www.myntra.com/casual-shoes/adidas-neo/adidas-neo-women-navy-coneo-qt-sneakers/1416036/buy?src=search,"Rs. 1,979",http://www.myntra.com/casual-shoes/adidas-neo/adidas-neo-women-navy-coneo-qt-sneakers/1416036/buy?src=search,(45% off),http://www.myntra.com/casual-shoes/adidas-neo/adidas-neo-women-navy-coneo-qt-sneakers/1416036/buy?src=search,"Sizes: 5, 6, 7, 8",http://www.myntra.com/casual-shoes/adidas-neo/adidas-neo-women-navy-coneo-qt-sneakers/1416036/buy?src=search,5; 6; 7; 8
http://www.myntra.com/women-footwear,"FILA\nWomen Navy Elvey Lite Running Shoes\nRs. 2,699Rs. 1,889(30% off)\nSizes: 3, 4, 5, 6",http://www.myntra.com/sports-shoes/fila/fila-women-navy-elvey-lite-running-shoes/1523374/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1523374/2016/10/2/11475403411240-FILA-Women-Navy-Elvey-Lite-Running-Shoes-3341475403411051-1_mini.jpg",FILA Women Navy Elvey Lite Running Shoes,http://www.myntra.com/sports-shoes/fila/fila-women-navy-elvey-lite-running-shoes/1523374/buy?src=search,FILA,http://www.myntra.com/sports-shoes/fila/fila-women-navy-elvey-lite-running-shoes/1523374/buy?src=search,Women Navy Elvey Lite Running Shoes,http://www.myntra.com/sports-shoes/fila/fila-women-navy-elvey-lite-running-shoes/1523374/buy?src=search,"Rs. 2,699",http://www.myntra.com/sports-shoes/fila/fila-women-navy-elvey-lite-running-shoes/1523374/buy?src=search,"Rs. 1,889",http://www.myntra.com/sports-shoes/fila/fila-women-navy-elvey-lite-running-shoes/1523374/buy?src=search,(30% off),http://www.myntra.com/sports-shoes/fila/fila-women-navy-elvey-lite-running-shoes/1523374/buy?src=search,"Sizes: 3, 4, 5, 6",http://www.myntra.com/sports-shoes/fila/fila-women-navy-elvey-lite-running-shoes/1523374/buy?src=search,3; 4; 5; 6
http://www.myntra.com/women-footwear,"HRX by Hrithik Roshan\nWomen Navy Blue & Black Running Shoes\nRs. 2,799Rs. 1,399(50% off)\nSizes: 36, 37, 38, 39, 40",http://www.myntra.com/sports-shoes/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-navy-blue--black-running-shoes/1432535/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1432535/2016/9/29/11475144304155-HRX-by-Hrithik-Roshan-Women-Navy-Blue-Running-Shoes-7461475144304025-1_mini.jpg",HRX by Hrithik Roshan Women Navy Blue & Black Running Shoes,http://www.myntra.com/sports-shoes/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-navy-blue--black-running-shoes/1432535/buy?src=search,HRX by Hrithik Roshan,http://www.myntra.com/sports-shoes/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-navy-blue--black-running-shoes/1432535/buy?src=search,Women Navy Blue & Black Running Shoes,http://www.myntra.com/sports-shoes/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-navy-blue--black-running-shoes/1432535/buy?src=search,"Rs. 2,799",http://www.myntra.com/sports-shoes/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-navy-blue--black-running-shoes/1432535/buy?src=search,"Rs. 1,399",http://www.myntra.com/sports-shoes/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-navy-blue--black-running-shoes/1432535/buy?src=search,(50% off),http://www.myntra.com/sports-shoes/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-navy-blue--black-running-shoes/1432535/buy?src=search,"Sizes: 36, 37, 38, 39, 40",http://www.myntra.com/sports-shoes/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-navy-blue--black-running-shoes/1432535/buy?src=search,36; 37; 38; 39; 40
http://www.myntra.com/women-footwear,"Reebok\nWomen Black & Pink SONIC RUN Running Shoes\nRs. 2,599Rs. 1,559(40% off)\nSizes: 5, 6, 7",http://www.myntra.com/sports-shoes/reebok/reebok-women-black--pink-sonic-run-running-shoes/1433214/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1433214/2016/8/8/11470640865545-Reebok-Women-Black-SONIC-RUN-Running-Shoes-6621470640865343-1_mini.jpg",Reebok Women Black & Pink SONIC RUN Running Shoes,http://www.myntra.com/sports-shoes/reebok/reebok-women-black--pink-sonic-run-running-shoes/1433214/buy?src=search,Reebok,http://www.myntra.com/sports-shoes/reebok/reebok-women-black--pink-sonic-run-running-shoes/1433214/buy?src=search,Women Black & Pink SONIC RUN Running Shoes,http://www.myntra.com/sports-shoes/reebok/reebok-women-black--pink-sonic-run-running-shoes/1433214/buy?src=search,"Rs. 2,599",http://www.myntra.com/sports-shoes/reebok/reebok-women-black--pink-sonic-run-running-shoes/1433214/buy?src=search,"Rs. 1,559",http://www.myntra.com/sports-shoes/reebok/reebok-women-black--pink-sonic-run-running-shoes/1433214/buy?src=search,(40% off),http://www.myntra.com/sports-shoes/reebok/reebok-women-black--pink-sonic-run-running-shoes/1433214/buy?src=search,"Sizes: 5, 6, 7",http://www.myntra.com/sports-shoes/reebok/reebok-women-black--pink-sonic-run-running-shoes/1433214/buy?src=search,5; 6; 7
http://www.myntra.com/women-footwear,"Adidas\nWomen Black Ezar 3.0 Running Shoes\nRs. 4,299Rs. 2,579(40% off)\nSizes: 4, 5, 6, 7, 8",http://www.myntra.com/sports-shoes/adidas/adidas-women-black-ezar-30-running-shoes/1461604/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1461604/2016/8/30/11472541119788-Adidas-Women-Black-Running-Shoes-2081472541119581-1_mini.jpg",Adidas Women Black Ezar 3.0 Running Shoes,http://www.myntra.com/sports-shoes/adidas/adidas-women-black-ezar-30-running-shoes/1461604/buy?src=search,Adidas,http://www.myntra.com/sports-shoes/adidas/adidas-women-black-ezar-30-running-shoes/1461604/buy?src=search,Women Black Ezar 3.0 Running Shoes,http://www.myntra.com/sports-shoes/adidas/adidas-women-black-ezar-30-running-shoes/1461604/buy?src=search,"Rs. 4,299",http://www.myntra.com/sports-shoes/adidas/adidas-women-black-ezar-30-running-shoes/1461604/buy?src=search,"Rs. 2,579",http://www.myntra.com/sports-shoes/adidas/adidas-women-black-ezar-30-running-shoes/1461604/buy?src=search,(40% off),http://www.myntra.com/sports-shoes/adidas/adidas-women-black-ezar-30-running-shoes/1461604/buy?src=search,"Sizes: 4, 5, 6, 7, 8",http://www.myntra.com/sports-shoes/adidas/adidas-women-black-ezar-30-running-shoes/1461604/buy?src=search,4; 5; 6; 7; 8
http://www.myntra.com/women-footwear,"Nike\nWomen Charcoal Grey & Neon Pink FS Lite Run 3 Running Shoes\nRs. 6,995Rs. 4,197(40% off)\nSizes: 4, 5, 6, 7",http://www.myntra.com/sports-shoes/nike/nike-women-charcoal-grey--neon-pink-fs-lite-run-3-running-shoes/1420935/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1420935/2016/7/27/11469605139183-Nike-Women-Charcoal-Grey--Neon-Pink-FS-Lite-Run-3-Running-Shoes-721469605135246-1_mini.jpg",Nike Women Charcoal Grey & Neon Pink FS Lite Run 3 Running Shoes,http://www.myntra.com/sports-shoes/nike/nike-women-charcoal-grey--neon-pink-fs-lite-run-3-running-shoes/1420935/buy?src=search,Nike,http://www.myntra.com/sports-shoes/nike/nike-women-charcoal-grey--neon-pink-fs-lite-run-3-running-shoes/1420935/buy?src=search,Women Charcoal Grey & Neon Pink FS Lite Run 3 Running Shoes,http://www.myntra.com/sports-shoes/nike/nike-women-charcoal-grey--neon-pink-fs-lite-run-3-running-shoes/1420935/buy?src=search,"Rs. 6,995",http://www.myntra.com/sports-shoes/nike/nike-women-charcoal-grey--neon-pink-fs-lite-run-3-running-shoes/1420935/buy?src=search,"Rs. 4,197",http://www.myntra.com/sports-shoes/nike/nike-women-charcoal-grey--neon-pink-fs-lite-run-3-running-shoes/1420935/buy?src=search,(40% off),http://www.myntra.com/sports-shoes/nike/nike-women-charcoal-grey--neon-pink-fs-lite-run-3-running-shoes/1420935/buy?src=search,"Sizes: 4, 5, 6, 7",http://www.myntra.com/sports-shoes/nike/nike-women-charcoal-grey--neon-pink-fs-lite-run-3-running-shoes/1420935/buy?src=search,4; 5; 6; 7
http://www.myntra.com/women-footwear,"Adidas\nWomen Grey & Fluorescent Green ORSO Sports Sandals\nRs. 2,499Rs. 1,374(45% off)\nSizes: 4, 5, 6, 7",http://www.myntra.com/sports-sandals/adidas/adidas-women-grey--fluorescent-green-orso-sports-sandals/1236896/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1236896/2016/4/1/11459492710502-Adidas-Women-Fluorescent-Green--Grey-ORSO-Sports-Sandals-4471459492708781-1_mini.jpg",Adidas Women Grey & Fluorescent Green ORSO Sports Sandals,http://www.myntra.com/sports-sandals/adidas/adidas-women-grey--fluorescent-green-orso-sports-sandals/1236896/buy?src=search,Adidas,http://www.myntra.com/sports-sandals/adidas/adidas-women-grey--fluorescent-green-orso-sports-sandals/1236896/buy?src=search,Women Grey & Fluorescent Green ORSO Sports Sandals,http://www.myntra.com/sports-sandals/adidas/adidas-women-grey--fluorescent-green-orso-sports-sandals/1236896/buy?src=search,"Rs. 2,499",http://www.myntra.com/sports-sandals/adidas/adidas-women-grey--fluorescent-green-orso-sports-sandals/1236896/buy?src=search,"Rs. 1,374",http://www.myntra.com/sports-sandals/adidas/adidas-women-grey--fluorescent-green-orso-sports-sandals/1236896/buy?src=search,(45% off),http://www.myntra.com/sports-sandals/adidas/adidas-women-grey--fluorescent-green-orso-sports-sandals/1236896/buy?src=search,"Sizes: 4, 5, 6, 7",http://www.myntra.com/sports-sandals/adidas/adidas-women-grey--fluorescent-green-orso-sports-sandals/1236896/buy?src=search,4; 5; 6; 7
http://www.myntra.com/women-footwear,"HRX by Hrithik Roshan\nWomen Grey & Blue Woven Running Shoes\nRs. 2,999Rs. 1,799(40% off)\nSizes: 36, 37, 38, 39, 40",http://www.myntra.com/sports-shoes/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-grey--blue-woven-running-shoes/1432536/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1432536/2016/10/2/11475394442322-HRX-by-Hrithik-Roshan-Women-Grey--Blue-Woven-Running-Shoes-4731475394442148-1_mini.jpg",HRX by Hrithik Roshan Women Grey & Blue Woven Running Shoes,http://www.myntra.com/sports-shoes/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-grey--blue-woven-running-shoes/1432536/buy?src=search,HRX by Hrithik Roshan,http://www.myntra.com/sports-shoes/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-grey--blue-woven-running-shoes/1432536/buy?src=search,Women Grey & Blue Woven Running Shoes,http://www.myntra.com/sports-shoes/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-grey--blue-woven-running-shoes/1432536/buy?src=search,"Rs. 2,999",http://www.myntra.com/sports-shoes/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-grey--blue-woven-running-shoes/1432536/buy?src=search,"Rs. 1,799",http://www.myntra.com/sports-shoes/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-grey--blue-woven-running-shoes/1432536/buy?src=search,(40% off),http://www.myntra.com/sports-shoes/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-grey--blue-woven-running-shoes/1432536/buy?src=search,"Sizes: 36, 37, 38, 39, 40",http://www.myntra.com/sports-shoes/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-grey--blue-woven-running-shoes/1432536/buy?src=search,36; 37; 38; 39; 40
