url,Product link,Product link_link,Thumb image,Thumb image_alt,Thumb image_link,Brand value,Brand value_link,Product value,Product value_link,Strike value,Strike value_link,Price value,Price value_link,Discount value,Discount value_link,Sizes value,Sizes value_link,Selectasize value
http://www.myntra.com/women-watches-wearables-menu,"DressBerry\nWomen Rose Gold-Toned Analogue Watch MFB-PN-WTH-S5786-01\nRs. 2,999Rs. 1,499(50% off)\nSizes: Onesize",http://www.myntra.com/watches/dressberry/dressberry-women-rose-gold-toned-analogue-watch-mfb-pn-wth-s5786-01/1461500/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1461500/2016/10/1/11475306825153-DressBerry-Women-Rose-Gold-Toned-Dial-Watch-MFB-PN-WTH-S5786-01-4571475306824954-1_mini.jpg",DressBerry Women Rose Gold-Toned Analogue Watch MFB-PN-WTH-S5786-01,http://www.myntra.com/watches/dressberry/dressberry-women-rose-gold-toned-analogue-watch-mfb-pn-wth-s5786-01/1461500/buy?src=search,DressBerry,http://www.myntra.com/watches/dressberry/dressberry-women-rose-gold-toned-analogue-watch-mfb-pn-wth-s5786-01/1461500/buy?src=search,Women Rose Gold-Toned Analogue Watch MFB-PN-WTH-S5786-01,http://www.myntra.com/watches/dressberry/dressberry-women-rose-gold-toned-analogue-watch-mfb-pn-wth-s5786-01/1461500/buy?src=search,"Rs. 2,999",http://www.myntra.com/watches/dressberry/dressberry-women-rose-gold-toned-analogue-watch-mfb-pn-wth-s5786-01/1461500/buy?src=search,"Rs. 1,499",http://www.myntra.com/watches/dressberry/dressberry-women-rose-gold-toned-analogue-watch-mfb-pn-wth-s5786-01/1461500/buy?src=search,(50% off),http://www.myntra.com/watches/dressberry/dressberry-women-rose-gold-toned-analogue-watch-mfb-pn-wth-s5786-01/1461500/buy?src=search,Sizes: Onesize,http://www.myntra.com/watches/dressberry/dressberry-women-rose-gold-toned-analogue-watch-mfb-pn-wth-s5786-01/1461500/buy?src=search,Onesize
http://www.myntra.com/women-watches-wearables-menu,"Sonata\nWomen Gold-Toned Embellished Analogue Watch with Ring 8128YM01C\nRs. 2,599Rs. 1,559(40% off)\nSizes: Onesize",http://www.myntra.com/watches/sonata/sonata-women-gold-toned-embellished-analogue-watch-with-ring-8128ym01c/1497343/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1497343/2016/9/23/11474615933997-Sonata-Women-Gold-Toned-Embellished-Analogue-Watch-with-Ring-8128YM01C-9271474615933779-1_mini.jpg",Sonata Women Gold-Toned Embellished Analogue Watch with Ring 8128YM01C,http://www.myntra.com/watches/sonata/sonata-women-gold-toned-embellished-analogue-watch-with-ring-8128ym01c/1497343/buy?src=search,Sonata,http://www.myntra.com/watches/sonata/sonata-women-gold-toned-embellished-analogue-watch-with-ring-8128ym01c/1497343/buy?src=search,Women Gold-Toned Embellished Analogue Watch with Ring 8128YM01C,http://www.myntra.com/watches/sonata/sonata-women-gold-toned-embellished-analogue-watch-with-ring-8128ym01c/1497343/buy?src=search,"Rs. 2,599",http://www.myntra.com/watches/sonata/sonata-women-gold-toned-embellished-analogue-watch-with-ring-8128ym01c/1497343/buy?src=search,"Rs. 1,559",http://www.myntra.com/watches/sonata/sonata-women-gold-toned-embellished-analogue-watch-with-ring-8128ym01c/1497343/buy?src=search,(40% off),http://www.myntra.com/watches/sonata/sonata-women-gold-toned-embellished-analogue-watch-with-ring-8128ym01c/1497343/buy?src=search,Sizes: Onesize,http://www.myntra.com/watches/sonata/sonata-women-gold-toned-embellished-analogue-watch-with-ring-8128ym01c/1497343/buy?src=search,Onesize
http://www.myntra.com/women-watches-wearables-menu,"DressBerry\nWomen Blue Stone-Studded Dial Watch DB18-B\nRs. 2,799Rs. 1,399(50% off)\nSizes: ONESIZE",http://www.myntra.com/watches/dressberry/dressberry-women-blue-stone-studded-dial-watch-db18-b/1487996/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1487996/2016/10/15/11476523506443-DressBerry-Women-Blue-Stone-Studded-Dial-Watch-DB18-B-8401476523506159-1_mini.jpg",DressBerry Women Blue Stone-Studded Dial Watch DB18-B,http://www.myntra.com/watches/dressberry/dressberry-women-blue-stone-studded-dial-watch-db18-b/1487996/buy?src=search,DressBerry,http://www.myntra.com/watches/dressberry/dressberry-women-blue-stone-studded-dial-watch-db18-b/1487996/buy?src=search,Women Blue Stone-Studded Dial Watch DB18-B,http://www.myntra.com/watches/dressberry/dressberry-women-blue-stone-studded-dial-watch-db18-b/1487996/buy?src=search,"Rs. 2,799",http://www.myntra.com/watches/dressberry/dressberry-women-blue-stone-studded-dial-watch-db18-b/1487996/buy?src=search,"Rs. 1,399",http://www.myntra.com/watches/dressberry/dressberry-women-blue-stone-studded-dial-watch-db18-b/1487996/buy?src=search,(50% off),http://www.myntra.com/watches/dressberry/dressberry-women-blue-stone-studded-dial-watch-db18-b/1487996/buy?src=search,Sizes: ONESIZE,http://www.myntra.com/watches/dressberry/dressberry-women-blue-stone-studded-dial-watch-db18-b/1487996/buy?src=search,ONESIZE
http://www.myntra.com/women-watches-wearables-menu,"Anouk\nWomen Rose Gold-Toned Dial Watch A16-B\nRs. 2,499Rs. 1,249(50% off)\nSizes: ONESIZE",http://www.myntra.com/watches/anouk/anouk-women-rose-gold-toned-dial-watch-a16-b/1487941/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1487941/2016/10/15/11476523403843-Anouk-Women-Rose-Gold-Toned-Dial-Watch-A16-B-2061476523403668-1_mini.jpg",Anouk Women Rose Gold-Toned Dial Watch A16-B,http://www.myntra.com/watches/anouk/anouk-women-rose-gold-toned-dial-watch-a16-b/1487941/buy?src=search,Anouk,http://www.myntra.com/watches/anouk/anouk-women-rose-gold-toned-dial-watch-a16-b/1487941/buy?src=search,Women Rose Gold-Toned Dial Watch A16-B,http://www.myntra.com/watches/anouk/anouk-women-rose-gold-toned-dial-watch-a16-b/1487941/buy?src=search,"Rs. 2,499",http://www.myntra.com/watches/anouk/anouk-women-rose-gold-toned-dial-watch-a16-b/1487941/buy?src=search,"Rs. 1,249",http://www.myntra.com/watches/anouk/anouk-women-rose-gold-toned-dial-watch-a16-b/1487941/buy?src=search,(50% off),http://www.myntra.com/watches/anouk/anouk-women-rose-gold-toned-dial-watch-a16-b/1487941/buy?src=search,Sizes: ONESIZE,http://www.myntra.com/watches/anouk/anouk-women-rose-gold-toned-dial-watch-a16-b/1487941/buy?src=search,ONESIZE
http://www.myntra.com/women-watches-wearables-menu,"Camerii\nWomen Black Dial Watch CWL704\nRs. 1,199Rs. 479(60% off)\nSizes: Onesize",http://www.myntra.com/watches/camerii/camerii-women-black-dial-watch-cwl704/1028258/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1028258/2016/9/6/11473156023932-Camerii-Women-Black-Dial-Watch-CWL704-9141473156024097-1_mini.jpg",Camerii Women Black Dial Watch CWL704,http://www.myntra.com/watches/camerii/camerii-women-black-dial-watch-cwl704/1028258/buy?src=search,Camerii,http://www.myntra.com/watches/camerii/camerii-women-black-dial-watch-cwl704/1028258/buy?src=search,Women Black Dial Watch CWL704,http://www.myntra.com/watches/camerii/camerii-women-black-dial-watch-cwl704/1028258/buy?src=search,"Rs. 1,199",http://www.myntra.com/watches/camerii/camerii-women-black-dial-watch-cwl704/1028258/buy?src=search,Rs. 479,http://www.myntra.com/watches/camerii/camerii-women-black-dial-watch-cwl704/1028258/buy?src=search,(60% off),http://www.myntra.com/watches/camerii/camerii-women-black-dial-watch-cwl704/1028258/buy?src=search,Sizes: Onesize,http://www.myntra.com/watches/camerii/camerii-women-black-dial-watch-cwl704/1028258/buy?src=search,Onesize
http://www.myntra.com/women-watches-wearables-menu,"DressBerry\nWomen Silver-Toned Analogue Watch MFB-PN-WTH-S5749-01\nRs. 3,499Rs. 1,749(50% off)\nSizes: Onesize",http://www.myntra.com/watches/dressberry/dressberry-women-silver-toned-analogue-watch-mfb-pn-wth-s5749-01/1461505/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1461505/2016/10/1/11475306838731-DressBerry-Women-Silver-Toned-Dial-Multifunction-Watch-MFB-PN-WTH-S5749-01-2251475306838474-1_mini.jpg",DressBerry Women Silver-Toned Analogue Watch MFB-PN-WTH-S5749-01,http://www.myntra.com/watches/dressberry/dressberry-women-silver-toned-analogue-watch-mfb-pn-wth-s5749-01/1461505/buy?src=search,DressBerry,http://www.myntra.com/watches/dressberry/dressberry-women-silver-toned-analogue-watch-mfb-pn-wth-s5749-01/1461505/buy?src=search,Women Silver-Toned Analogue Watch MFB-PN-WTH-S5749-01,http://www.myntra.com/watches/dressberry/dressberry-women-silver-toned-analogue-watch-mfb-pn-wth-s5749-01/1461505/buy?src=search,"Rs. 3,499",http://www.myntra.com/watches/dressberry/dressberry-women-silver-toned-analogue-watch-mfb-pn-wth-s5749-01/1461505/buy?src=search,"Rs. 1,749",http://www.myntra.com/watches/dressberry/dressberry-women-silver-toned-analogue-watch-mfb-pn-wth-s5749-01/1461505/buy?src=search,(50% off),http://www.myntra.com/watches/dressberry/dressberry-women-silver-toned-analogue-watch-mfb-pn-wth-s5749-01/1461505/buy?src=search,Sizes: Onesize,http://www.myntra.com/watches/dressberry/dressberry-women-silver-toned-analogue-watch-mfb-pn-wth-s5749-01/1461505/buy?src=search,Onesize
http://www.myntra.com/women-watches-wearables-menu,"Daniel Klein\nExclusive Women Silver-Toned Dial Watch DK10697-2\nRs. 6,950Rs. 3,475(50% off)\nSizes: Onesize",http://www.myntra.com/watches/daniel-klein/daniel-klein-exclusive-women-silver-toned-dial-watch-dk10697-2/1506678/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1506678/2016/9/27/11474966736511-Daniel-Klein-Exclusive-Women-Silver-Toned-Dial-Watch-DK10697-2-9251474966736398-1_mini.jpg",Daniel Klein Exclusive Women Silver-Toned Dial Watch DK10697-2,http://www.myntra.com/watches/daniel-klein/daniel-klein-exclusive-women-silver-toned-dial-watch-dk10697-2/1506678/buy?src=search,Daniel Klein,http://www.myntra.com/watches/daniel-klein/daniel-klein-exclusive-women-silver-toned-dial-watch-dk10697-2/1506678/buy?src=search,Exclusive Women Silver-Toned Dial Watch DK10697-2,http://www.myntra.com/watches/daniel-klein/daniel-klein-exclusive-women-silver-toned-dial-watch-dk10697-2/1506678/buy?src=search,"Rs. 6,950",http://www.myntra.com/watches/daniel-klein/daniel-klein-exclusive-women-silver-toned-dial-watch-dk10697-2/1506678/buy?src=search,"Rs. 3,475",http://www.myntra.com/watches/daniel-klein/daniel-klein-exclusive-women-silver-toned-dial-watch-dk10697-2/1506678/buy?src=search,(50% off),http://www.myntra.com/watches/daniel-klein/daniel-klein-exclusive-women-silver-toned-dial-watch-dk10697-2/1506678/buy?src=search,Sizes: Onesize,http://www.myntra.com/watches/daniel-klein/daniel-klein-exclusive-women-silver-toned-dial-watch-dk10697-2/1506678/buy?src=search,Onesize
http://www.myntra.com/women-watches-wearables-menu,"NOISE\nUnisex Black Impulse Bluetooth Smart Watch\nRs. 4,999Rs. 3,999(20% off)\nSizes: Onesize",http://www.myntra.com/smart-watches/noise/noise-unisex-black-impulse-bluetooth-smart-watch/1135435/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1135435/2015/12/23/11450851981954-NOISE-Unisex-Smart-Watches-5151450851981723-1_mini.jpg",NOISE Unisex Black Impulse Bluetooth Smart Watch,http://www.myntra.com/smart-watches/noise/noise-unisex-black-impulse-bluetooth-smart-watch/1135435/buy?src=search,NOISE,http://www.myntra.com/smart-watches/noise/noise-unisex-black-impulse-bluetooth-smart-watch/1135435/buy?src=search,Unisex Black Impulse Bluetooth Smart Watch,http://www.myntra.com/smart-watches/noise/noise-unisex-black-impulse-bluetooth-smart-watch/1135435/buy?src=search,"Rs. 4,999",http://www.myntra.com/smart-watches/noise/noise-unisex-black-impulse-bluetooth-smart-watch/1135435/buy?src=search,"Rs. 3,999",http://www.myntra.com/smart-watches/noise/noise-unisex-black-impulse-bluetooth-smart-watch/1135435/buy?src=search,(20% off),http://www.myntra.com/smart-watches/noise/noise-unisex-black-impulse-bluetooth-smart-watch/1135435/buy?src=search,Sizes: Onesize,http://www.myntra.com/smart-watches/noise/noise-unisex-black-impulse-bluetooth-smart-watch/1135435/buy?src=search,Onesize
http://www.myntra.com/women-watches-wearables-menu,"Sonata\nWomen Black Dial Watch 8120NM01\nRs. 1,799Rs. 1,079(40% off)\nSizes: Onesize",http://www.myntra.com/watches/sonata/sonata-women-black-dial-watch-8120nm01/1493410/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1493410/2016/9/14/11473846570742-Sonata-Women-Watches-8991473846570535-1_mini.jpg",Sonata Women Black Dial Watch 8120NM01,http://www.myntra.com/watches/sonata/sonata-women-black-dial-watch-8120nm01/1493410/buy?src=search,Sonata,http://www.myntra.com/watches/sonata/sonata-women-black-dial-watch-8120nm01/1493410/buy?src=search,Women Black Dial Watch 8120NM01,http://www.myntra.com/watches/sonata/sonata-women-black-dial-watch-8120nm01/1493410/buy?src=search,"Rs. 1,799",http://www.myntra.com/watches/sonata/sonata-women-black-dial-watch-8120nm01/1493410/buy?src=search,"Rs. 1,079",http://www.myntra.com/watches/sonata/sonata-women-black-dial-watch-8120nm01/1493410/buy?src=search,(40% off),http://www.myntra.com/watches/sonata/sonata-women-black-dial-watch-8120nm01/1493410/buy?src=search,Sizes: Onesize,http://www.myntra.com/watches/sonata/sonata-women-black-dial-watch-8120nm01/1493410/buy?src=search,Onesize
http://www.myntra.com/women-watches-wearables-menu,"Camerii\nWomen Blue Dial Watch WM159\nRs. 1,299Rs. 519(60% off)\nSizes: Onesize",http://www.myntra.com/watches/camerii/camerii-women-blue-dial-watch-wm159/979812/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/979812/2016/7/14/11468481076939-Camerii-Women-Blue-Dial-Watch-WM159-5241468481076662-1_mini.jpg",Camerii Women Blue Dial Watch WM159,http://www.myntra.com/watches/camerii/camerii-women-blue-dial-watch-wm159/979812/buy?src=search,Camerii,http://www.myntra.com/watches/camerii/camerii-women-blue-dial-watch-wm159/979812/buy?src=search,Women Blue Dial Watch WM159,http://www.myntra.com/watches/camerii/camerii-women-blue-dial-watch-wm159/979812/buy?src=search,"Rs. 1,299",http://www.myntra.com/watches/camerii/camerii-women-blue-dial-watch-wm159/979812/buy?src=search,Rs. 519,http://www.myntra.com/watches/camerii/camerii-women-blue-dial-watch-wm159/979812/buy?src=search,(60% off),http://www.myntra.com/watches/camerii/camerii-women-blue-dial-watch-wm159/979812/buy?src=search,Sizes: Onesize,http://www.myntra.com/watches/camerii/camerii-women-blue-dial-watch-wm159/979812/buy?src=search,Onesize
